/usr/lib/jvm/java-8-oracle/bin/java -cp /home/gsd/pgs/ycsb/postgrenosql-binding/conf:/home/gsd/pgs/ycsb/conf:/home/gsd/pgs/ycsb/lib/postgresql-9.4.1212.jre7.jar:/home/gsd/pgs/ycsb/lib/json-simple-1.1.1.jar:/home/gsd/pgs/ycsb/lib/postgrenosql-binding-0.18.0-SNAPSHOT.jar:/home/gsd/pgs/ycsb/lib/HdrHistogram-2.1.11.jar:/home/gsd/pgs/ycsb/lib/core-0.18.0-SNAPSHOT.jar:/home/gsd/pgs/ycsb/lib/jackson-mapper-asl-1.9.4.jar:/home/gsd/pgs/ycsb/lib/slf4j-simple-1.7.13.jar:/home/gsd/pgs/ycsb/lib/jackson-core-asl-1.9.4.jar:/home/gsd/pgs/ycsb/lib/htrace-core4-4.1.0-incubating.jar:/home/gsd/pgs/ycsb/lib/slf4j-api-1.7.13.jar site.ycsb.Client -db site.ycsb.postgrenosql.PostgreNoSQLDBClient -s -P workloads/workloada -P postgrenosql.properties -t
Command line: -db site.ycsb.postgrenosql.PostgreNoSQLDBClient -s -P workloads/workloada -P postgrenosql.properties -t
YCSB Client 0.18.0-SNAPSHOT

Loading workload...
Starting test.
Maximum execution time specified as: 2100 secs
2020-03-21 22:54:42:505 0 sec: 0 operations; est completion in 0 second 
2020-03-21 22:54:52:488 10 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-03-21 22:55:02:488 20 sec: 0 operations; est completion in 106751991167300 days 15 hours 
Init soe select init_soe(1, CAST( get_ftw_oid() as INTEGER), 1, CAST (get_original_index_oid() as INTEGER))
2020-03-21 22:55:12:488 30 sec: 0 operations; est completion in 106751991167300 days 15 hours 
Loading oblivious tables.
2020-03-21 22:55:22:488 40 sec: 0 operations; est completion in 106751991167300 days 15 hours 
Load complete
DBWrapper: report latency for each error is false and specific error codes to track for latency are: []
2020-03-21 22:55:32:488 3 sec: 961 operations; 96.1 current ops/sec; est completion in 10 hours 59 minutes [READ: Count=961, Max=9527, Min=3120, Avg=3850.71, 90=4311, 99=4975, 99.9=9527, 99.99=9527] 
2020-03-21 22:55:42:488 13 sec: 3720 operations; 275.9 current ops/sec; est completion in 10 hours 18 minutes [READ: Count=2759, Max=12767, Min=2970, Avg=3599.31, 90=3943, 99=4111, 99.9=9303, 99.99=12767] 
2020-03-21 22:55:52:488 23 sec: 6331 operations; 261.1 current ops/sec; est completion in 10 hours 26 minutes [READ: Count=2611, Max=10495, Min=3044, Avg=3799.83, 90=3947, 99=6039, 99.9=9527, 99.99=10495] 
2020-03-21 22:56:02:488 33 sec: 8962 operations; 263.1 current ops/sec; est completion in 10 hours 28 minutes [READ: Count=2631, Max=9383, Min=2906, Avg=3782.53, 90=3941, 99=4379, 99.9=9047, 99.99=9383] 
2020-03-21 22:56:12:488 43 sec: 11558 operations; 259.6 current ops/sec; est completion in 10 hours 30 minutes [READ: Count=2596, Max=10287, Min=3434, Avg=3835.34, 90=3959, 99=4111, 99.9=4259, 99.99=10287] 
2020-03-21 22:56:22:488 53 sec: 14177 operations; 261.9 current ops/sec; est completion in 10 hours 31 minutes [READ: Count=2619, Max=10591, Min=3210, Avg=3801.17, 90=3941, 99=4093, 99.9=4227, 99.99=10591] 
2020-03-21 22:56:32:488 63 sec: 16774 operations; 259.7 current ops/sec; est completion in 10 hours 32 minutes [READ: Count=2597, Max=10823, Min=3378, Avg=3834.49, 90=3963, 99=4103, 99.9=4223, 99.99=10823] 
2020-03-21 22:56:42:488 73 sec: 19380 operations; 260.6 current ops/sec; est completion in 10 hours 33 minutes [READ: Count=2606, Max=5347, Min=3266, Avg=3821.1, 90=3947, 99=4093, 99.9=4207, 99.99=5347] 
2020-03-21 22:56:52:488 83 sec: 21987 operations; 260.7 current ops/sec; est completion in 10 hours 33 minutes [READ: Count=2607, Max=5603, Min=3418, Avg=3819.69, 90=3949, 99=4103, 99.9=4271, 99.99=5603] 
2020-03-21 22:57:02:488 93 sec: 24580 operations; 259.3 current ops/sec; est completion in 10 hours 34 minutes [READ: Count=2594, Max=9367, Min=3316, Avg=3839.54, 90=3917, 99=6627, 99.9=9303, 99.99=9367] 
2020-03-21 22:57:12:488 103 sec: 27213 operations; 263.3 current ops/sec; est completion in 10 hours 34 minutes [READ: Count=2632, Max=9351, Min=3194, Avg=3781.12, 90=3897, 99=5387, 99.9=9231, 99.99=9351] 
2020-03-21 22:57:22:488 113 sec: 29819 operations; 260.6 current ops/sec; est completion in 10 hours 34 minutes [READ: Count=2606, Max=9543, Min=3326, Avg=3821.35, 90=3915, 99=6535, 99.9=9511, 99.99=9543] 
2020-03-21 22:57:32:488 123 sec: 32461 operations; 264.2 current ops/sec; est completion in 10 hours 33 minutes [READ: Count=2642, Max=9559, Min=2990, Avg=3768.96, 90=3907, 99=5267, 99.9=9199, 99.99=9559] 
2020-03-21 22:57:42:488 133 sec: 35075 operations; 261.4 current ops/sec; est completion in 10 hours 33 minutes [READ: Count=2614, Max=9303, Min=3208, Avg=3809.13, 90=3933, 99=4727, 99.9=9127, 99.99=9303] 
2020-03-21 22:57:52:488 143 sec: 37719 operations; 264.4 current ops/sec; est completion in 10 hours 33 minutes [READ: Count=2644, Max=9239, Min=3126, Avg=3766.71, 90=3895, 99=5463, 99.9=9175, 99.99=9239] 
2020-03-21 22:58:02:488 153 sec: 40352 operations; 263.3 current ops/sec; est completion in 10 hours 32 minutes [READ: Count=2633, Max=9223, Min=3036, Avg=3781.63, 90=3897, 99=5691, 99.9=9135, 99.99=9223] 
2020-03-21 22:58:12:488 163 sec: 42959 operations; 260.7 current ops/sec; est completion in 10 hours 32 minutes [READ: Count=2607, Max=9407, Min=3286, Avg=3819.73, 90=3903, 99=6355, 99.9=9311, 99.99=9407] 
2020-03-21 22:58:22:488 173 sec: 45569 operations; 261 current ops/sec; est completion in 10 hours 32 minutes [READ: Count=2610, Max=9327, Min=3346, Avg=3814.03, 90=3905, 99=6339, 99.9=9271, 99.99=9327] 
2020-03-21 22:58:32:488 183 sec: 48254 operations; 268.5 current ops/sec; est completion in 10 hours 31 minutes [READ: Count=2686, Max=9503, Min=3052, Avg=3709.36, 90=3873, 99=4859, 99.9=9359, 99.99=9503] 
2020-03-21 22:58:42:488 193 sec: 50847 operations; 259.3 current ops/sec; est completion in 10 hours 32 minutes [READ: Count=2592, Max=9495, Min=3228, Avg=3841.32, 90=3931, 99=6655, 99.9=9343, 99.99=9495] 
2020-03-21 22:58:52:488 203 sec: 53535 operations; 268.8 current ops/sec; est completion in 10 hours 31 minutes [READ: Count=2688, Max=9543, Min=2992, Avg=3705.92, 90=3887, 99=5547, 99.9=9359, 99.99=9543] 
2020-03-21 22:59:02:488 213 sec: 56135 operations; 260 current ops/sec; est completion in 10 hours 31 minutes [READ: Count=2601, Max=9359, Min=3370, Avg=3828.78, 90=3915, 99=6551, 99.9=9263, 99.99=9359] 
2020-03-21 22:59:12:488 223 sec: 58743 operations; 260.8 current ops/sec; est completion in 10 hours 31 minutes [READ: Count=2607, Max=9415, Min=3342, Avg=3818.99, 90=3913, 99=6523, 99.9=9383, 99.99=9415] 
2020-03-21 22:59:22:488 233 sec: 61343 operations; 260 current ops/sec; est completion in 10 hours 31 minutes [READ: Count=2600, Max=9719, Min=3274, Avg=3828.96, 90=3945, 99=5419, 99.9=9199, 99.99=9719] 
2020-03-21 22:59:32:488 243 sec: 63960 operations; 261.7 current ops/sec; est completion in 10 hours 31 minutes [READ: Count=2617, Max=6215, Min=3362, Avg=3812.5, 90=3935, 99=4107, 99.9=4267, 99.99=6215] 
2020-03-21 22:59:42:488 253 sec: 66587 operations; 262.7 current ops/sec; est completion in 10 hours 31 minutes [READ: Count=2627, Max=8503, Min=3344, Avg=3798.23, 90=3915, 99=4075, 99.9=5523, 99.99=8503] 
2020-03-21 22:59:52:488 263 sec: 69242 operations; 265.5 current ops/sec; est completion in 10 hours 30 minutes [READ: Count=2655, Max=9311, Min=3084, Avg=3757.74, 90=3891, 99=5463, 99.9=9279, 99.99=9311] 
2020-03-21 23:00:02:488 273 sec: 71869 operations; 262.7 current ops/sec; est completion in 10 hours 30 minutes [READ: Count=2627, Max=9271, Min=3298, Avg=3798.04, 90=3945, 99=4491, 99.9=9175, 99.99=9271] 
2020-03-21 23:00:12:495 283 sec: 74525 operations; 265.6 current ops/sec; est completion in 10 hours 29 minutes [READ: Count=2656, Max=5835, Min=3124, Avg=3759.41, 90=3939, 99=4131, 99.9=4251, 99.99=5835] 
2020-03-21 23:00:22:488 293 sec: 77161 operations; 263.6 current ops/sec; est completion in 10 hours 29 minutes [READ: Count=2637, Max=6007, Min=3192, Avg=3782.01, 90=3945, 99=4143, 99.9=4679, 99.99=6007] 
2020-03-21 23:00:32:488 303 sec: 79821 operations; 266 current ops/sec; est completion in 10 hours 29 minutes [READ: Count=2659, Max=5891, Min=3216, Avg=3752.82, 90=3931, 99=4115, 99.9=4211, 99.99=5891] 
2020-03-21 23:00:42:488 313 sec: 82444 operations; 262.3 current ops/sec; est completion in 10 hours 29 minutes [READ: Count=2623, Max=5487, Min=3410, Avg=3803.19, 90=3953, 99=4123, 99.9=4291, 99.99=5487] 
2020-03-21 23:00:52:488 323 sec: 85095 operations; 265.1 current ops/sec; est completion in 10 hours 28 minutes [READ: Count=2651, Max=5927, Min=3222, Avg=3764.39, 90=3929, 99=4135, 99.9=4251, 99.99=5927] 
2020-03-21 23:01:02:488 333 sec: 87722 operations; 262.7 current ops/sec; est completion in 10 hours 28 minutes [READ: Count=2627, Max=5807, Min=3412, Avg=3798.81, 90=3949, 99=4127, 99.9=5315, 99.99=5807] 
2020-03-21 23:01:12:488 343 sec: 90348 operations; 262.6 current ops/sec; est completion in 10 hours 28 minutes [READ: Count=2626, Max=5871, Min=3396, Avg=3799.46, 90=3959, 99=4127, 99.9=4283, 99.99=5871] 
2020-03-21 23:01:22:488 353 sec: 93004 operations; 265.6 current ops/sec; est completion in 10 hours 28 minutes [READ: Count=2656, Max=5503, Min=3150, Avg=3757.07, 90=3951, 99=4119, 99.9=4235, 99.99=5503] 
2020-03-21 23:01:32:488 363 sec: 95633 operations; 262.9 current ops/sec; est completion in 10 hours 27 minutes [READ: Count=2629, Max=9343, Min=3132, Avg=3795.62, 90=3913, 99=4835, 99.9=9183, 99.99=9343] 
2020-03-21 23:01:42:488 373 sec: 98269 operations; 263.6 current ops/sec; est completion in 10 hours 27 minutes [READ: Count=2636, Max=9375, Min=3358, Avg=3783.73, 90=3881, 99=5551, 99.9=9191, 99.99=9375] 
2020-03-21 23:01:52:488 383 sec: 100914 operations; 264.5 current ops/sec; est completion in 10 hours 27 minutes [READ: Count=2646, Max=9287, Min=3194, Avg=3772.5, 90=3883, 99=5455, 99.9=9151, 99.99=9287] 
2020-03-21 23:02:02:488 393 sec: 103531 operations; 261.7 current ops/sec; est completion in 10 hours 27 minutes [READ: Count=2616, Max=9343, Min=3370, Avg=3813.33, 90=3919, 99=6271, 99.9=9247, 99.99=9343] 
2020-03-21 23:02:12:488 403 sec: 106215 operations; 268.4 current ops/sec; est completion in 10 hours 26 minutes [READ: Count=2684, Max=9375, Min=3008, Avg=3718.3, 90=3859, 99=5427, 99.9=9295, 99.99=9375] 
2020-03-21 23:02:22:488 413 sec: 108864 operations; 264.9 current ops/sec; est completion in 10 hours 26 minutes [READ: Count=2649, Max=9463, Min=2984, Avg=3766.76, 90=3889, 99=6295, 99.9=9303, 99.99=9463] 
2020-03-21 23:02:32:488 423 sec: 111479 operations; 261.5 current ops/sec; est completion in 10 hours 26 minutes [READ: Count=2615, Max=9415, Min=3326, Avg=3813.13, 90=3901, 99=6447, 99.9=9359, 99.99=9415] 
2020-03-21 23:02:42:488 433 sec: 114113 operations; 263.4 current ops/sec; est completion in 10 hours 26 minutes [READ: Count=2634, Max=9471, Min=3278, Avg=3788.8, 90=3881, 99=5511, 99.9=9295, 99.99=9471] 
2020-03-21 23:02:52:488 443 sec: 116744 operations; 263.1 current ops/sec; est completion in 10 hours 26 minutes [READ: Count=2631, Max=9671, Min=2978, Avg=3793.07, 90=3897, 99=6343, 99.9=9287, 99.99=9671] 
2020-03-21 23:03:02:488 453 sec: 119419 operations; 267.5 current ops/sec; est completion in 10 hours 25 minutes [READ: Count=2675, Max=9343, Min=2916, Avg=3731.22, 90=3891, 99=4475, 99.9=9127, 99.99=9343] 
2020-03-21 23:03:12:488 463 sec: 122029 operations; 261 current ops/sec; est completion in 10 hours 25 minutes [READ: Count=2610, Max=9223, Min=3416, Avg=3823.69, 90=3933, 99=4211, 99.9=9159, 99.99=9223] 
2020-03-21 23:03:22:488 473 sec: 124672 operations; 264.3 current ops/sec; est completion in 10 hours 25 minutes [READ: Count=2643, Max=9447, Min=3362, Avg=3776.97, 90=3875, 99=5671, 99.9=9335, 99.99=9447] 
2020-03-21 23:03:32:488 483 sec: 127343 operations; 267.1 current ops/sec; est completion in 10 hours 25 minutes [READ: Count=2671, Max=9319, Min=3092, Avg=3736.27, 90=3865, 99=5283, 99.9=9215, 99.99=9319] 
2020-03-21 23:03:42:488 493 sec: 130001 operations; 265.8 current ops/sec; est completion in 10 hours 24 minutes [READ: Count=2658, Max=9295, Min=3034, Avg=3755.71, 90=3871, 99=5487, 99.9=9199, 99.99=9295] 
2020-03-21 23:03:52:488 503 sec: 132665 operations; 266.4 current ops/sec; est completion in 10 hours 24 minutes [READ: Count=2664, Max=9143, Min=3134, Avg=3746.04, 90=3893, 99=4119, 99.9=8671, 99.99=9143] 
2020-03-21 23:04:02:488 513 sec: 135291 operations; 262.6 current ops/sec; est completion in 10 hours 24 minutes [READ: Count=2626, Max=9335, Min=3354, Avg=3800.96, 90=3927, 99=4107, 99.9=8879, 99.99=9335] 
2020-03-21 23:04:12:488 523 sec: 137919 operations; 262.8 current ops/sec; est completion in 10 hours 24 minutes [READ: Count=2628, Max=9423, Min=3342, Avg=3797.8, 90=3879, 99=6607, 99.9=9303, 99.99=9423] 
2020-03-21 23:04:22:488 533 sec: 140571 operations; 265.2 current ops/sec; est completion in 10 hours 24 minutes [READ: Count=2652, Max=9231, Min=3168, Avg=3763.22, 90=3869, 99=5515, 99.9=9199, 99.99=9231] 
2020-03-21 23:04:32:488 543 sec: 143214 operations; 264.3 current ops/sec; est completion in 10 hours 23 minutes [READ: Count=2643, Max=10687, Min=3082, Avg=3775.76, 90=3887, 99=6355, 99.9=9279, 99.99=10687] 
2020-03-21 23:04:42:488 553 sec: 145863 operations; 264.9 current ops/sec; est completion in 10 hours 23 minutes [READ: Count=2649, Max=9343, Min=3086, Avg=3767.71, 90=3875, 99=5659, 99.9=9231, 99.99=9343] 
2020-03-21 23:04:52:488 563 sec: 148487 operations; 262.4 current ops/sec; est completion in 10 hours 23 minutes [READ: Count=2624, Max=9399, Min=2990, Avg=3804.14, 90=3913, 99=6755, 99.9=9351, 99.99=9399] 
2020-03-21 23:05:02:488 573 sec: 151114 operations; 262.7 current ops/sec; est completion in 10 hours 23 minutes [READ: Count=2627, Max=9351, Min=3320, Avg=3798.15, 90=3891, 99=6419, 99.9=9215, 99.99=9351] 
2020-03-21 23:05:12:488 583 sec: 153768 operations; 265.4 current ops/sec; est completion in 10 hours 23 minutes [READ: Count=2654, Max=9279, Min=3080, Avg=3760.46, 90=3867, 99=5323, 99.9=9143, 99.99=9279] 
2020-03-21 23:05:22:490 593 sec: 156440 operations; 267.2 current ops/sec; est completion in 10 hours 22 minutes [READ: Count=2672, Max=9391, Min=3132, Avg=3735.4, 90=3869, 99=4567, 99.9=9223, 99.99=9391] 
2020-03-21 23:05:32:488 603 sec: 159106 operations; 266.6 current ops/sec; est completion in 10 hours 22 minutes [READ: Count=2666, Max=9239, Min=3210, Avg=3743.67, 90=3871, 99=4783, 99.9=9103, 99.99=9239] 
2020-03-21 23:05:42:488 613 sec: 161763 operations; 265.7 current ops/sec; est completion in 10 hours 22 minutes [READ: Count=2658, Max=9391, Min=3076, Avg=3755.34, 90=3871, 99=5503, 99.9=9351, 99.99=9391] 
2020-03-21 23:05:52:488 623 sec: 164376 operations; 261.3 current ops/sec; est completion in 10 hours 22 minutes [READ: Count=2612, Max=9423, Min=3374, Avg=3820.18, 90=3895, 99=6603, 99.9=9335, 99.99=9423] 
2020-03-21 23:06:02:488 633 sec: 166983 operations; 260.7 current ops/sec; est completion in 10 hours 22 minutes [READ: Count=2607, Max=9639, Min=3224, Avg=3828.23, 90=3901, 99=6587, 99.9=9351, 99.99=9639] 
2020-03-21 23:06:12:488 643 sec: 169627 operations; 264.4 current ops/sec; est completion in 10 hours 21 minutes [READ: Count=2644, Max=9407, Min=3028, Avg=3775.27, 90=3905, 99=5755, 99.9=9351, 99.99=9407] 
2020-03-21 23:06:22:488 653 sec: 172247 operations; 262 current ops/sec; est completion in 10 hours 21 minutes [READ: Count=2620, Max=5579, Min=3320, Avg=3809.29, 90=3937, 99=4095, 99.9=5367, 99.99=5579] 
2020-03-21 23:06:32:488 663 sec: 174861 operations; 261.4 current ops/sec; est completion in 10 hours 21 minutes [READ: Count=2614, Max=5919, Min=3462, Avg=3817.65, 90=3933, 99=4073, 99.9=4287, 99.99=5919] 
2020-03-21 23:06:42:488 673 sec: 177482 operations; 262.1 current ops/sec; est completion in 10 hours 21 minutes [READ: Count=2621, Max=5911, Min=3314, Avg=3808.8, 90=3929, 99=4059, 99.9=4215, 99.99=5911] 
2020-03-21 23:06:52:488 683 sec: 180093 operations; 261.1 current ops/sec; est completion in 10 hours 21 minutes [READ: Count=2611, Max=5539, Min=3388, Avg=3822.38, 90=3937, 99=4099, 99.9=4635, 99.99=5539] 
2020-03-21 23:07:02:488 693 sec: 182701 operations; 260.8 current ops/sec; est completion in 10 hours 21 minutes [READ: Count=2608, Max=5719, Min=3458, Avg=3826.32, 90=3935, 99=4075, 99.9=5503, 99.99=5719] 
2020-03-21 23:07:12:490 703 sec: 185358 operations; 265.7 current ops/sec; est completion in 10 hours 21 minutes [READ: Count=2657, Max=5811, Min=3244, Avg=3759.01, 90=3923, 99=4037, 99.9=4243, 99.99=5811] 
2020-03-21 23:07:22:488 713 sec: 187993 operations; 263.5 current ops/sec; est completion in 10 hours 20 minutes [READ: Count=2635, Max=9367, Min=3176, Avg=3786.72, 90=3901, 99=5443, 99.9=9335, 99.99=9367] 
2020-03-21 23:07:32:488 723 sec: 190780 operations; 278.7 current ops/sec; est completion in 10 hours 20 minutes [READ: Count=2787, Max=9415, Min=2974, Avg=3582.3, 90=3841, 99=4655, 99.9=9271, 99.99=9415] 
2020-03-21 23:07:42:488 733 sec: 193424 operations; 264.4 current ops/sec; est completion in 10 hours 20 minutes [READ: Count=2644, Max=9431, Min=3032, Avg=3775.1, 90=3891, 99=5547, 99.9=9255, 99.99=9431] 
2020-03-21 23:07:52:488 743 sec: 196031 operations; 260.7 current ops/sec; est completion in 10 hours 20 minutes [READ: Count=2607, Max=9423, Min=3348, Avg=3828.53, 90=3913, 99=6631, 99.9=9247, 99.99=9423] 
2020-03-21 23:08:02:488 753 sec: 198647 operations; 261.6 current ops/sec; est completion in 10 hours 19 minutes [READ: Count=2616, Max=9383, Min=3300, Avg=3814.67, 90=3917, 99=6075, 99.9=9359, 99.99=9383] 
2020-03-21 23:08:12:488 763 sec: 201420 operations; 277.3 current ops/sec; est completion in 10 hours 19 minutes [READ: Count=2773, Max=9351, Min=2986, Avg=3600.5, 90=3859, 99=5551, 99.9=9271, 99.99=9351] 
