/usr/lib/jvm/java-8-oracle/bin/java -cp /home/gsd/pgs/ycsb/postgrenosql-binding/conf:/home/gsd/pgs/ycsb/conf:/home/gsd/pgs/ycsb/lib/postgresql-9.4.1212.jre7.jar:/home/gsd/pgs/ycsb/lib/json-simple-1.1.1.jar:/home/gsd/pgs/ycsb/lib/postgrenosql-binding-0.18.0-SNAPSHOT.jar:/home/gsd/pgs/ycsb/lib/HdrHistogram-2.1.11.jar:/home/gsd/pgs/ycsb/lib/core-0.18.0-SNAPSHOT.jar:/home/gsd/pgs/ycsb/lib/jackson-mapper-asl-1.9.4.jar:/home/gsd/pgs/ycsb/lib/slf4j-simple-1.7.13.jar:/home/gsd/pgs/ycsb/lib/jackson-core-asl-1.9.4.jar:/home/gsd/pgs/ycsb/lib/htrace-core4-4.1.0-incubating.jar:/home/gsd/pgs/ycsb/lib/slf4j-api-1.7.13.jar site.ycsb.Client -db site.ycsb.postgrenosql.PostgreNoSQLDBClient -s -P workloads/workloada -P postgrenosql.properties -t
Command line: -db site.ycsb.postgrenosql.PostgreNoSQLDBClient -s -P workloads/workloada -P postgrenosql.properties -t
YCSB Client 0.18.0-SNAPSHOT

Loading workload...
Starting test.
Maximum execution time specified as: 2100 secs
2020-03-20 21:22:30:025 0 sec: 0 operations; est completion in 0 second 
2020-03-20 21:22:40:009 10 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-03-20 21:22:50:009 20 sec: 0 operations; est completion in 106751991167300 days 15 hours 
Init soe select init_soe(1, CAST( get_ftw_oid() as INTEGER), 1, CAST (get_original_index_oid() as INTEGER))
2020-03-20 21:23:00:009 30 sec: 0 operations; est completion in 106751991167300 days 15 hours 
Loading oblivious tables.
2020-03-20 21:23:10:009 40 sec: 0 operations; est completion in 106751991167300 days 15 hours 
Load complete
DBWrapper: report latency for each error is false and specific error codes to track for latency are: []
2020-03-20 21:26:30:009 193 sec: 51443 operations; 264.4 current ops/sec; est completion in 10 hours 25 minutes [READ: Count=2644, Max=9255, Min=3160, Avg=3765.96, 90=3871, 99=6135, 99.9=9191, 99.99=9255] 
2020-03-20 21:26:40:009 203 sec: 54084 operations; 264.1 current ops/sec; est completion in 10 hours 25 minutes [READ: Count=2641, Max=9183, Min=3362, Avg=3769.83, 90=3877, 99=5495, 99.9=9175, 99.99=9183] 
2020-03-20 21:26:50:009 213 sec: 56721 operations; 263.73 current ops/sec; est completion in 10 hours 25 minutes [READ: Count=2637, Max=11119, Min=3274, Avg=3774.56, 90=3881, 99=5459, 99.9=9239, 99.99=11119] 
2020-03-20 21:27:00:009 223 sec: 59337 operations; 261.57 current ops/sec; est completion in 10 hours 25 minutes [READ: Count=2616, Max=9367, Min=3352, Avg=3806.48, 90=3893, 99=6495, 99.9=9303, 99.99=9367] 
2020-03-20 21:27:10:009 233 sec: 61993 operations; 265.6 current ops/sec; est completion in 10 hours 25 minutes [READ: Count=2656, Max=9279, Min=3242, Avg=3748.39, 90=3855, 99=5055, 99.9=9063, 99.99=9279] 
2020-03-20 21:27:20:009 243 sec: 64626 operations; 263.33 current ops/sec; est completion in 10 hours 25 minutes [READ: Count=2633, Max=9559, Min=3244, Avg=3789.09, 90=3875, 99=6611, 99.9=9311, 99.99=9559] 
2020-03-20 21:27:30:009 253 sec: 67268 operations; 264.17 current ops/sec; est completion in 10 hours 24 minutes [READ: Count=2642, Max=9239, Min=3218, Avg=3775.37, 90=3857, 99=6423, 99.9=9175, 99.99=9239] 
2020-03-20 21:27:40:009 263 sec: 69924 operations; 265.6 current ops/sec; est completion in 10 hours 24 minutes [READ: Count=2656, Max=9263, Min=3116, Avg=3755.86, 90=3887, 99=5615, 99.9=9239, 99.99=9263] 
2020-03-20 21:27:50:009 273 sec: 72583 operations; 265.9 current ops/sec; est completion in 10 hours 24 minutes [READ: Count=2659, Max=9407, Min=3280, Avg=3751.33, 90=3859, 99=5127, 99.9=9207, 99.99=9407] 
2020-03-20 21:28:00:016 283 sec: 75212 operations; 262.9 current ops/sec; est completion in 10 hours 24 minutes [READ: Count=2632, Max=9383, Min=3192, Avg=3794.12, 90=3883, 99=6511, 99.9=9239, 99.99=9383] 
2020-03-20 21:28:10:009 293 sec: 77887 operations; 267.53 current ops/sec; est completion in 10 hours 24 minutes [READ: Count=2673, Max=9431, Min=3004, Avg=3728.61, 90=3841, 99=5307, 99.9=9319, 99.99=9431] 
2020-03-20 21:28:20:009 303 sec: 80536 operations; 264.87 current ops/sec; est completion in 10 hours 23 minutes [READ: Count=2648, Max=9223, Min=3316, Avg=3765.96, 90=3873, 99=5395, 99.9=9167, 99.99=9223] 
2020-03-20 21:28:30:009 313 sec: 83213 operations; 267.7 current ops/sec; est completion in 10 hours 23 minutes [READ: Count=2678, Max=9327, Min=3092, Avg=3725.49, 90=3847, 99=5435, 99.9=9311, 99.99=9327] 
2020-03-20 21:28:40:009 323 sec: 85890 operations; 267.7 current ops/sec; est completion in 10 hours 23 minutes [READ: Count=2677, Max=9471, Min=3010, Avg=3727.04, 90=3873, 99=5283, 99.9=9311, 99.99=9471] 
2020-03-20 21:28:50:009 333 sec: 88565 operations; 267.5 current ops/sec; est completion in 10 hours 22 minutes [READ: Count=2675, Max=9279, Min=2902, Avg=3729.25, 90=3859, 99=5551, 99.9=9239, 99.99=9279] 
2020-03-20 21:29:00:009 343 sec: 91197 operations; 263.2 current ops/sec; est completion in 10 hours 22 minutes [READ: Count=2631, Max=9487, Min=3308, Avg=3790.33, 90=3883, 99=5811, 99.9=9295, 99.99=9487] 
2020-03-20 21:29:10:009 353 sec: 93867 operations; 267 current ops/sec; est completion in 10 hours 22 minutes [READ: Count=2670, Max=9407, Min=3038, Avg=3736.67, 90=3865, 99=5503, 99.9=9247, 99.99=9407] 
2020-03-20 21:29:20:009 363 sec: 96539 operations; 267.2 current ops/sec; est completion in 10 hours 22 minutes [READ: Count=2672, Max=9311, Min=3044, Avg=3732.67, 90=3857, 99=4903, 99.9=9143, 99.99=9311] 
2020-03-20 21:29:30:009 373 sec: 99181 operations; 264.2 current ops/sec; est completion in 10 hours 22 minutes [READ: Count=2642, Max=9415, Min=3106, Avg=3776.23, 90=3875, 99=6467, 99.9=9335, 99.99=9415] 
2020-03-20 21:29:40:009 383 sec: 101874 operations; 269.3 current ops/sec; est completion in 10 hours 21 minutes [READ: Count=2693, Max=9327, Min=2974, Avg=3705.95, 90=3861, 99=6491, 99.9=9311, 99.99=9327] 
2020-03-20 21:29:50:009 393 sec: 104505 operations; 263.1 current ops/sec; est completion in 10 hours 21 minutes [READ: Count=2631, Max=9511, Min=3312, Avg=3790.73, 90=3883, 99=6547, 99.9=9367, 99.99=9511] 
2020-03-20 21:30:00:009 403 sec: 107140 operations; 263.5 current ops/sec; est completion in 10 hours 21 minutes [READ: Count=2635, Max=9519, Min=3278, Avg=3785.93, 90=3863, 99=6659, 99.9=9263, 99.99=9519] 
2020-03-20 21:30:10:009 413 sec: 109776 operations; 263.6 current ops/sec; est completion in 10 hours 21 minutes [READ: Count=2636, Max=9463, Min=3364, Avg=3784.36, 90=3867, 99=6459, 99.9=9183, 99.99=9463] 
2020-03-20 21:30:20:009 423 sec: 112432 operations; 265.6 current ops/sec; est completion in 10 hours 21 minutes [READ: Count=2656, Max=9887, Min=2976, Avg=3754.77, 90=3861, 99=6691, 99.9=9215, 99.99=9887] 
2020-03-20 21:30:30:009 433 sec: 115077 operations; 264.5 current ops/sec; est completion in 10 hours 21 minutes [READ: Count=2645, Max=9383, Min=3250, Avg=3773.55, 90=3857, 99=6435, 99.9=9335, 99.99=9383] 
2020-03-20 21:30:40:009 443 sec: 117763 operations; 268.6 current ops/sec; est completion in 10 hours 20 minutes [READ: Count=2687, Max=9735, Min=3050, Avg=3714.43, 90=3859, 99=5459, 99.9=9287, 99.99=9735] 
2020-03-20 21:30:50:009 453 sec: 120422 operations; 265.9 current ops/sec; est completion in 10 hours 20 minutes [READ: Count=2658, Max=9423, Min=3330, Avg=3754, 90=3853, 99=4971, 99.9=9191, 99.99=9423] 
2020-03-20 21:31:00:009 463 sec: 123091 operations; 266.9 current ops/sec; est completion in 10 hours 20 minutes [READ: Count=2669, Max=9359, Min=3046, Avg=3737.91, 90=3855, 99=5491, 99.9=9207, 99.99=9359] 
2020-03-20 21:31:10:009 473 sec: 125739 operations; 264.8 current ops/sec; est completion in 10 hours 20 minutes [READ: Count=2648, Max=9239, Min=3326, Avg=3768.7, 90=3869, 99=5547, 99.9=9095, 99.99=9239] 
2020-03-20 21:31:20:009 483 sec: 128384 operations; 264.5 current ops/sec; est completion in 10 hours 20 minutes [READ: Count=2645, Max=9215, Min=3338, Avg=3773.33, 90=3889, 99=5343, 99.9=9111, 99.99=9215] 
2020-03-20 21:31:30:009 493 sec: 131014 operations; 263 current ops/sec; est completion in 10 hours 20 minutes [READ: Count=2630, Max=9383, Min=3360, Avg=3793.73, 90=3915, 99=4067, 99.9=6695, 99.99=9383] 
2020-03-20 21:31:40:009 503 sec: 133670 operations; 265.6 current ops/sec; est completion in 10 hours 19 minutes [READ: Count=2656, Max=9415, Min=3042, Avg=3757.14, 90=3873, 99=4943, 99.9=9215, 99.99=9415] 
2020-03-20 21:31:50:009 513 sec: 136308 operations; 263.8 current ops/sec; est completion in 10 hours 19 minutes [READ: Count=2638, Max=9383, Min=3300, Avg=3782.65, 90=3889, 99=6339, 99.9=9271, 99.99=9383] 
2020-03-20 21:32:00:009 523 sec: 138954 operations; 264.6 current ops/sec; est completion in 10 hours 19 minutes [READ: Count=2646, Max=9247, Min=3254, Avg=3771.14, 90=3865, 99=6475, 99.9=9143, 99.99=9247] 
2020-03-20 21:32:10:009 533 sec: 141644 operations; 269 current ops/sec; est completion in 10 hours 19 minutes [READ: Count=2690, Max=9535, Min=2974, Avg=3710, 90=3839, 99=6443, 99.9=9383, 99.99=9535] 
2020-03-20 21:32:20:009 543 sec: 144344 operations; 270 current ops/sec; est completion in 10 hours 18 minutes [READ: Count=2700, Max=9343, Min=3060, Avg=3696.02, 90=3837, 99=4183, 99.9=9279, 99.99=9343] 
2020-03-20 21:32:30:009 553 sec: 146973 operations; 262.9 current ops/sec; est completion in 10 hours 18 minutes [READ: Count=2629, Max=9487, Min=3326, Avg=3795.44, 90=3873, 99=6603, 99.9=9303, 99.99=9487] 
2020-03-20 21:32:40:009 563 sec: 149630 operations; 265.7 current ops/sec; est completion in 10 hours 18 minutes [READ: Count=2658, Max=9255, Min=2994, Avg=3755.12, 90=3861, 99=6323, 99.9=9167, 99.99=9255] 
2020-03-20 21:32:50:009 573 sec: 152304 operations; 267.4 current ops/sec; est completion in 10 hours 18 minutes [READ: Count=2673, Max=9407, Min=3352, Avg=3731.68, 90=3861, 99=4035, 99.9=9167, 99.99=9407] 
