2020-03-22 16:26:41:163 247 sec: 38973 operations; 157.8 current ops/sec; est completion in 17 hours 34 minutes [READ: Count=1579, Max=14439, Min=5608, Avg=6318.23, 90=6451, 99=9167, 99.9=14279, 99.99=14439] 
2020-03-22 16:26:51:163 257 sec: 40552 operations; 157.9 current ops/sec; est completion in 17 hours 33 minutes [READ: Count=1578, Max=14503, Min=5652, Avg=6319.8, 90=6435, 99=9207, 99.9=14407, 99.99=14503] 
2020-03-22 16:27:01:162 267 sec: 42122 operations; 157 current ops/sec; est completion in 17 hours 33 minutes [READ: Count=1570, Max=20511, Min=5792, Avg=6353.96, 90=6439, 99=9183, 99.9=14407, 99.99=20511] 
2020-03-22 16:27:11:162 277 sec: 43701 operations; 157.9 current ops/sec; est completion in 17 hours 33 minutes [READ: Count=1579, Max=14367, Min=5868, Avg=6314.68, 90=6431, 99=8951, 99.9=14231, 99.99=14367] 
2020-03-22 16:27:21:162 287 sec: 45277 operations; 157.6 current ops/sec; est completion in 17 hours 33 minutes [READ: Count=1576, Max=14487, Min=5704, Avg=6330.07, 90=6427, 99=9103, 99.9=14375, 99.99=14487] 
2020-03-22 16:27:31:162 297 sec: 46854 operations; 157.7 current ops/sec; est completion in 17 hours 33 minutes [READ: Count=1577, Max=14551, Min=5740, Avg=6324.24, 90=6423, 99=9271, 99.9=14287, 99.99=14551] 
2020-03-22 16:27:41:162 307 sec: 48431 operations; 157.7 current ops/sec; est completion in 17 hours 32 minutes [READ: Count=1578, Max=14439, Min=5836, Avg=6324.71, 90=6431, 99=9015, 99.9=14343, 99.99=14439] 
2020-03-22 16:27:51:162 317 sec: 50015 operations; 158.4 current ops/sec; est completion in 17 hours 32 minutes [READ: Count=1583, Max=14559, Min=5160, Avg=6300.81, 90=6419, 99=9191, 99.9=14551, 99.99=14559] 
2020-03-22 16:28:01:162 327 sec: 51595 operations; 158 current ops/sec; est completion in 17 hours 32 minutes [READ: Count=1580, Max=14399, Min=5720, Avg=6310.76, 90=6423, 99=8463, 99.9=14279, 99.99=14399] 
2020-03-22 16:28:11:163 337 sec: 53170 operations; 157.5 current ops/sec; est completion in 17 hours 32 minutes [READ: Count=1576, Max=14455, Min=5756, Avg=6332.58, 90=6439, 99=9135, 99.9=14439, 99.99=14455] 
2020-03-22 16:28:21:162 347 sec: 54742 operations; 157.2 current ops/sec; est completion in 17 hours 32 minutes [READ: Count=1571, Max=14423, Min=5756, Avg=6345.94, 90=6463, 99=9119, 99.9=14271, 99.99=14423] 
2020-03-22 16:28:31:162 357 sec: 56324 operations; 158.2 current ops/sec; est completion in 17 hours 31 minutes [READ: Count=1582, Max=14319, Min=5720, Avg=6307.46, 90=6475, 99=7579, 99.9=13975, 99.99=14319] 
2020-03-22 16:28:41:162 367 sec: 57898 operations; 157.4 current ops/sec; est completion in 17 hours 31 minutes [READ: Count=1574, Max=14479, Min=5752, Avg=6336.56, 90=6439, 99=9039, 99.9=14423, 99.99=14479] 
2020-03-22 16:28:51:163 377 sec: 59471 operations; 157.3 current ops/sec; est completion in 17 hours 31 minutes [READ: Count=1573, Max=14335, Min=5736, Avg=6339.96, 90=6443, 99=9127, 99.9=14151, 99.99=14335] 
2020-03-22 16:29:01:162 387 sec: 61052 operations; 158.1 current ops/sec; est completion in 17 hours 31 minutes [READ: Count=1581, Max=14687, Min=5756, Avg=6309.85, 90=6443, 99=7527, 99.9=14263, 99.99=14687] 
2020-03-22 16:29:11:163 397 sec: 62628 operations; 157.6 current ops/sec; est completion in 17 hours 31 minutes [READ: Count=1577, Max=14423, Min=5804, Avg=6331.4, 90=6431, 99=9071, 99.9=14287, 99.99=14423] 
2020-03-22 16:29:21:162 407 sec: 64210 operations; 158.2 current ops/sec; est completion in 17 hours 30 minutes [READ: Count=1581, Max=14495, Min=5780, Avg=6315.34, 90=6427, 99=9071, 99.9=14231, 99.99=14495] 
2020-03-22 16:29:31:162 417 sec: 65791 operations; 158.1 current ops/sec; est completion in 17 hours 30 minutes [READ: Count=1581, Max=14559, Min=5816, Avg=6315.57, 90=6431, 99=8823, 99.9=14087, 99.99=14559] 
