/usr/lib/jvm/java-8-oracle/bin/java -cp /home/gsd/pgs/ycsb/postgrenosql-binding/conf:/home/gsd/pgs/ycsb/conf:/home/gsd/pgs/ycsb/lib/postgresql-9.4.1212.jre7.jar:/home/gsd/pgs/ycsb/lib/json-simple-1.1.1.jar:/home/gsd/pgs/ycsb/lib/postgrenosql-binding-0.18.0-SNAPSHOT.jar:/home/gsd/pgs/ycsb/lib/HdrHistogram-2.1.11.jar:/home/gsd/pgs/ycsb/lib/core-0.18.0-SNAPSHOT.jar:/home/gsd/pgs/ycsb/lib/jackson-mapper-asl-1.9.4.jar:/home/gsd/pgs/ycsb/lib/slf4j-simple-1.7.13.jar:/home/gsd/pgs/ycsb/lib/jackson-core-asl-1.9.4.jar:/home/gsd/pgs/ycsb/lib/htrace-core4-4.1.0-incubating.jar:/home/gsd/pgs/ycsb/lib/slf4j-api-1.7.13.jar site.ycsb.Client -db site.ycsb.postgrenosql.PostgreNoSQLDBClient -s -P workloads/workloada -P postgrenosql.properties -t
Command line: -db site.ycsb.postgrenosql.PostgreNoSQLDBClient -s -P workloads/workloada -P postgrenosql.properties -t
YCSB Client 0.18.0-SNAPSHOT

Loading workload...
Starting test.
Maximum execution time specified as: 2100 secs
2020-03-20 20:12:16:535 0 sec: 0 operations; est completion in 0 second 
2020-03-20 20:12:26:519 10 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-03-20 20:12:36:519 20 sec: 0 operations; est completion in 106751991167300 days 15 hours 
Init soe select init_soe(1, CAST( get_ftw_oid() as INTEGER), 1, CAST (get_original_index_oid() as INTEGER))
Loading oblivious tables.
2020-03-20 20:12:46:519 30 sec: 0 operations; est completion in 106751991167300 days 15 hours 
Load complete
DBWrapper: report latency for each error is false and specific error codes to track for latency are: []
2020-03-20 20:12:56:518 8 sec: 2993 operations; 299.3 current ops/sec; est completion in 8 hours [READ: Count=2993, Max=6639, Min=2264, Avg=2838.85, 90=3165, 99=3555, 99.9=6395, 99.99=6639] 
2020-03-20 20:13:06:519 18 sec: 6469 operations; 347.6 current ops/sec; est completion in 7 hours 59 minutes [READ: Count=3477, Max=8607, Min=2296, Avg=2850.81, 90=3043, 99=3333, 99.9=7235, 99.99=8607] 
2020-03-20 20:13:16:519 28 sec: 9853 operations; 338.4 current ops/sec; est completion in 8 hours 3 minutes [READ: Count=3383, Max=10239, Min=2222, Avg=2938.98, 90=3069, 99=4635, 99.9=7343, 99.99=10239] 
2020-03-20 20:13:26:519 38 sec: 13256 operations; 340.3 current ops/sec; est completion in 8 hours 5 minutes [READ: Count=3403, Max=9455, Min=2212, Avg=2921.47, 90=3055, 99=3959, 99.9=7291, 99.99=9455] 
2020-03-20 20:13:36:519 48 sec: 16673 operations; 341.7 current ops/sec; est completion in 8 hours 5 minutes [READ: Count=3417, Max=11247, Min=2270, Avg=2910.23, 90=3047, 99=4057, 99.9=7395, 99.99=11247] 
2020-03-20 20:13:46:518 58 sec: 20071 operations; 339.8 current ops/sec; est completion in 8 hours 5 minutes [READ: Count=3398, Max=7471, Min=2342, Avg=2927.01, 90=3057, 99=3501, 99.9=7155, 99.99=7471] 
2020-03-20 20:13:56:519 68 sec: 23691 operations; 362 current ops/sec; est completion in 8 hours 1 minute [READ: Count=3620, Max=7267, Min=2272, Avg=2752.74, 90=2953, 99=3095, 99.9=5419, 99.99=7267] 
2020-03-20 20:14:06:519 78 sec: 27200 operations; 350.9 current ops/sec; est completion in 8 hours [READ: Count=3510, Max=7271, Min=2252, Avg=2836.25, 90=3037, 99=3417, 99.9=7167, 99.99=7271] 
2020-03-20 20:14:16:519 88 sec: 30708 operations; 350.8 current ops/sec; est completion in 7 hours 59 minutes [READ: Count=3507, Max=7383, Min=2230, Avg=2837.66, 90=3023, 99=3605, 99.9=7255, 99.99=7383] 
2020-03-20 20:14:26:518 98 sec: 34192 operations; 348.4 current ops/sec; est completion in 7 hours 59 minutes [READ: Count=3484, Max=7343, Min=2116, Avg=2857.2, 90=3047, 99=3927, 99.9=7231, 99.99=7343] 
2020-03-20 20:14:36:519 108 sec: 37660 operations; 346.8 current ops/sec; est completion in 7 hours 58 minutes [READ: Count=3468, Max=7467, Min=2252, Avg=2870.66, 90=3029, 99=4503, 99.9=7395, 99.99=7467] 
2020-03-20 20:14:46:519 118 sec: 41167 operations; 350.7 current ops/sec; est completion in 7 hours 58 minutes [READ: Count=3507, Max=7347, Min=2276, Avg=2838.24, 90=3035, 99=3681, 99.9=7203, 99.99=7347] 
2020-03-20 20:14:56:519 128 sec: 44548 operations; 338.1 current ops/sec; est completion in 7 hours 59 minutes [READ: Count=3381, Max=7431, Min=2450, Avg=2941.23, 90=3069, 99=3479, 99.9=7223, 99.99=7431] 
2020-03-20 20:15:06:518 138 sec: 47959 operations; 341.1 current ops/sec; est completion in 7 hours 59 minutes [READ: Count=3412, Max=7607, Min=2366, Avg=2915.92, 90=3049, 99=3837, 99.9=7211, 99.99=7607] 
2020-03-20 20:15:16:519 148 sec: 51397 operations; 343.8 current ops/sec; est completion in 7 hours 59 minutes [READ: Count=3437, Max=7591, Min=2222, Avg=2895.51, 90=3055, 99=4699, 99.9=7379, 99.99=7591] 
2020-03-20 20:15:26:519 158 sec: 54851 operations; 345.4 current ops/sec; est completion in 7 hours 59 minutes [READ: Count=3455, Max=7591, Min=2284, Avg=2880.91, 90=3043, 99=4339, 99.9=7307, 99.99=7591] 
2020-03-20 20:15:36:518 168 sec: 58338 operations; 348.7 current ops/sec; est completion in 7 hours 58 minutes [READ: Count=3486, Max=7315, Min=2194, Avg=2854.8, 90=3033, 99=3441, 99.9=7131, 99.99=7315] 
2020-03-20 20:15:46:518 178 sec: 61764 operations; 342.6 current ops/sec; est completion in 7 hours 59 minutes [READ: Count=3427, Max=7503, Min=2280, Avg=2904.01, 90=3059, 99=3883, 99.9=7255, 99.99=7503] 
2020-03-20 20:15:56:519 188 sec: 65223 operations; 345.9 current ops/sec; est completion in 7 hours 58 minutes [READ: Count=3458, Max=7519, Min=2284, Avg=2884.1, 90=3051, 99=4651, 99.9=7323, 99.99=7519] 
