/usr/lib/jvm/java-8-oracle/bin/java -cp /home/gsd/pgs/ycsb/postgrenosql-binding/conf:/home/gsd/pgs/ycsb/conf:/home/gsd/pgs/ycsb/lib/postgresql-9.4.1212.jre7.jar:/home/gsd/pgs/ycsb/lib/json-simple-1.1.1.jar:/home/gsd/pgs/ycsb/lib/postgrenosql-binding-0.18.0-SNAPSHOT.jar:/home/gsd/pgs/ycsb/lib/HdrHistogram-2.1.11.jar:/home/gsd/pgs/ycsb/lib/core-0.18.0-SNAPSHOT.jar:/home/gsd/pgs/ycsb/lib/jackson-mapper-asl-1.9.4.jar:/home/gsd/pgs/ycsb/lib/slf4j-simple-1.7.13.jar:/home/gsd/pgs/ycsb/lib/jackson-core-asl-1.9.4.jar:/home/gsd/pgs/ycsb/lib/htrace-core4-4.1.0-incubating.jar:/home/gsd/pgs/ycsb/lib/slf4j-api-1.7.13.jar site.ycsb.Client -db site.ycsb.postgrenosql.PostgreNoSQLDBClient -s -P workloads/workloada -P postgrenosql.properties -t
Command line: -db site.ycsb.postgrenosql.PostgreNoSQLDBClient -s -P workloads/workloada -P postgrenosql.properties -t
YCSB Client 0.18.0-SNAPSHOT

Loading workload...
Starting test.
Maximum execution time specified as: 2100 secs
2020-03-21 12:47:11:181 0 sec: 0 operations; est completion in 0 second 
2020-03-21 12:47:21:142 10 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-03-21 12:47:31:142 20 sec: 0 operations; est completion in 106751991167300 days 15 hours 
Init soe select init_soe(1, CAST( get_ftw_oid() as INTEGER), 1, CAST (get_original_index_oid() as INTEGER))
Loading oblivious tables.
Load complete
DBWrapper: report latency for each error is false and specific error codes to track for latency are: []
2020-03-21 12:47:41:141 1 sec: 680 operations; 68 current ops/sec; est completion in 7 hours 31 minutes [READ: Count=681, Max=5159, Min=2106, Avg=2571.93, 90=2755, 99=4903, 99.9=5159, 99.99=5159] 
2020-03-21 12:47:51:141 11 sec: 4855 operations; 417.5 current ops/sec; est completion in 6 hours 46 minutes [READ: Count=4174, Max=7675, Min=1888, Avg=2376.79, 90=2693, 99=2907, 99.9=5211, 99.99=7675] 
2020-03-21 12:48:01:142 21 sec: 9015 operations; 416 current ops/sec; est completion in 6 hours 43 minutes [READ: Count=4160, Max=8139, Min=1907, Avg=2389.26, 90=2607, 99=2929, 99.9=6239, 99.99=8139] 
2020-03-21 12:48:11:142 31 sec: 13092 operations; 407.7 current ops/sec; est completion in 6 hours 44 minutes [READ: Count=4077, Max=15919, Min=1904, Avg=2439.56, 90=2623, 99=3191, 99.9=6511, 99.99=15919] 
2020-03-21 12:48:21:141 41 sec: 17107 operations; 401.5 current ops/sec; est completion in 6 hours 46 minutes [READ: Count=4015, Max=6691, Min=1923, Avg=2476.85, 90=2623, 99=3209, 99.9=6283, 99.99=6691] 
2020-03-21 12:48:31:141 51 sec: 21267 operations; 416 current ops/sec; est completion in 6 hours 45 minutes [READ: Count=4160, Max=6691, Min=1860, Avg=2392.89, 90=2599, 99=3165, 99.9=6327, 99.99=6691] 
2020-03-21 12:48:41:141 61 sec: 25338 operations; 407.1 current ops/sec; est completion in 6 hours 45 minutes [READ: Count=4071, Max=6359, Min=1906, Avg=2443.6, 90=2621, 99=2833, 99.9=6079, 99.99=6359] 
2020-03-21 12:48:51:142 71 sec: 29380 operations; 404.2 current ops/sec; est completion in 6 hours 46 minutes [READ: Count=4042, Max=6419, Min=1912, Avg=2461.37, 90=2619, 99=3209, 99.9=6235, 99.99=6419] 
2020-03-21 12:49:01:141 81 sec: 33421 operations; 404.1 current ops/sec; est completion in 6 hours 46 minutes [READ: Count=4041, Max=6395, Min=1905, Avg=2461.81, 90=2629, 99=3401, 99.9=6227, 99.99=6395] 
2020-03-21 12:49:11:142 91 sec: 37565 operations; 414.4 current ops/sec; est completion in 6 hours 45 minutes [READ: Count=4144, Max=6375, Min=1804, Avg=2402.22, 90=2603, 99=3127, 99.9=6207, 99.99=6375] 
