/usr/lib/jvm/java-8-oracle/bin/java -cp /home/gsd/pgs/ycsb/postgrenosql-binding/conf:/home/gsd/pgs/ycsb/conf:/home/gsd/pgs/ycsb/lib/postgresql-9.4.1212.jre7.jar:/home/gsd/pgs/ycsb/lib/json-simple-1.1.1.jar:/home/gsd/pgs/ycsb/lib/postgrenosql-binding-0.18.0-SNAPSHOT.jar:/home/gsd/pgs/ycsb/lib/HdrHistogram-2.1.11.jar:/home/gsd/pgs/ycsb/lib/core-0.18.0-SNAPSHOT.jar:/home/gsd/pgs/ycsb/lib/jackson-mapper-asl-1.9.4.jar:/home/gsd/pgs/ycsb/lib/slf4j-simple-1.7.13.jar:/home/gsd/pgs/ycsb/lib/jackson-core-asl-1.9.4.jar:/home/gsd/pgs/ycsb/lib/htrace-core4-4.1.0-incubating.jar:/home/gsd/pgs/ycsb/lib/slf4j-api-1.7.13.jar site.ycsb.Client -db site.ycsb.postgrenosql.PostgreNoSQLDBClient -s -P workloads/workloada -P postgrenosql.properties -t
Command line: -db site.ycsb.postgrenosql.PostgreNoSQLDBClient -s -P workloads/workloada -P postgrenosql.properties -t
YCSB Client 0.18.0-SNAPSHOT

Loading workload...
Starting test.
Maximum execution time specified as: 2100 secs
2020-03-20 20:47:22:559 0 sec: 0 operations; est completion in 0 second 
2020-03-20 20:47:32:542 10 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-03-20 20:47:42:542 20 sec: 0 operations; est completion in 106751991167300 days 15 hours 
Init soe select init_soe(1, CAST( get_ftw_oid() as INTEGER), 1, CAST (get_original_index_oid() as INTEGER))
2020-03-20 20:47:52:542 30 sec: 0 operations; est completion in 106751991167300 days 15 hours 
Loading oblivious tables.
2020-03-20 20:48:02:542 40 sec: 0 operations; est completion in 106751991167300 days 15 hours 
Load complete
DBWrapper: report latency for each error is false and specific error codes to track for latency are: []
2020-03-20 20:48:12:542 3 sec: 993 operations; 99.3 current ops/sec; est completion in 10 hours 54 minutes [READ: Count=993, Max=9279, Min=3140, Avg=3820.79, 90=4099, 99=5051, 99.9=9279, 99.99=9279] 
2020-03-20 20:48:22:542 13 sec: 3684 operations; 269.1 current ops/sec; est completion in 10 hours 28 minutes [READ: Count=2691, Max=9471, Min=2932, Avg=3686.12, 90=3987, 99=4343, 99.9=9271, 99.99=9471] 
2020-03-20 20:48:32:542 23 sec: 6311 operations; 262.7 current ops/sec; est completion in 10 hours 30 minutes [READ: Count=2628, Max=11871, Min=2992, Avg=3778.12, 90=3933, 99=6571, 99.9=9327, 99.99=11871] 
2020-03-20 20:48:42:542 33 sec: 8942 operations; 263.1 current ops/sec; est completion in 10 hours 31 minutes [READ: Count=2631, Max=13903, Min=3060, Avg=3781.65, 90=3897, 99=5423, 99.9=9311, 99.99=13903] 
2020-03-20 20:48:52:542 43 sec: 11624 operations; 268.2 current ops/sec; est completion in 10 hours 28 minutes [READ: Count=2681, Max=9335, Min=3006, Avg=3713.13, 90=3891, 99=4703, 99.9=9255, 99.99=9335] 
2020-03-20 20:49:02:542 53 sec: 14218 operations; 259.4 current ops/sec; est completion in 10 hours 30 minutes [READ: Count=2594, Max=11855, Min=3374, Avg=3837.18, 90=3905, 99=6519, 99.9=9375, 99.99=11855] 
2020-03-20 20:49:12:542 63 sec: 16816 operations; 259.8 current ops/sec; est completion in 10 hours 32 minutes [READ: Count=2598, Max=10823, Min=3278, Avg=3831.5, 90=3915, 99=6567, 99.9=9343, 99.99=10823] 
2020-03-20 20:49:22:542 73 sec: 19435 operations; 261.9 current ops/sec; est completion in 10 hours 32 minutes [READ: Count=2620, Max=9447, Min=3278, Avg=3799.52, 90=3901, 99=5563, 99.9=9343, 99.99=9447] 
2020-03-20 20:49:32:542 83 sec: 22039 operations; 260.4 current ops/sec; est completion in 10 hours 33 minutes [READ: Count=2603, Max=9439, Min=3044, Avg=3823.81, 90=3907, 99=6607, 99.9=9367, 99.99=9439] 
2020-03-20 20:49:42:542 93 sec: 24651 operations; 261.2 current ops/sec; est completion in 10 hours 33 minutes [READ: Count=2612, Max=9471, Min=3284, Avg=3810.96, 90=3901, 99=6443, 99.9=9343, 99.99=9471] 
2020-03-20 20:49:52:542 103 sec: 27315 operations; 266.37 current ops/sec; est completion in 10 hours 32 minutes [READ: Count=2664, Max=9239, Min=3034, Avg=3737.86, 90=3883, 99=4843, 99.9=9175, 99.99=9239] 
2020-03-20 20:50:02:542 113 sec: 29927 operations; 261.23 current ops/sec; est completion in 10 hours 32 minutes [READ: Count=2612, Max=9367, Min=3350, Avg=3810.92, 90=3899, 99=6495, 99.9=9255, 99.99=9367] 
2020-03-20 20:50:12:542 123 sec: 32547 operations; 262 current ops/sec; est completion in 10 hours 32 minutes [READ: Count=2620, Max=9367, Min=3312, Avg=3800.29, 90=3893, 99=6363, 99.9=9327, 99.99=9367] 
2020-03-20 20:50:22:542 133 sec: 35150 operations; 260.3 current ops/sec; est completion in 10 hours 32 minutes [READ: Count=2603, Max=9447, Min=3220, Avg=3824.91, 90=3919, 99=6511, 99.9=9439, 99.99=9447] 
2020-03-20 20:50:32:542 143 sec: 37741 operations; 259.1 current ops/sec; est completion in 10 hours 33 minutes [READ: Count=2591, Max=9431, Min=3264, Avg=3841.9, 90=3927, 99=6623, 99.9=9303, 99.99=9431] 
2020-03-20 20:50:42:542 153 sec: 40358 operations; 261.7 current ops/sec; est completion in 10 hours 33 minutes [READ: Count=2617, Max=9415, Min=3166, Avg=3803.58, 90=3901, 99=6487, 99.9=9271, 99.99=9415] 
2020-03-20 20:50:52:542 163 sec: 42961 operations; 260.3 current ops/sec; est completion in 10 hours 33 minutes [READ: Count=2603, Max=9567, Min=3106, Avg=3824.55, 90=3935, 99=6519, 99.9=9327, 99.99=9567] 
2020-03-20 20:51:02:542 173 sec: 45572 operations; 261.1 current ops/sec; est completion in 10 hours 33 minutes [READ: Count=2612, Max=9471, Min=3428, Avg=3812.21, 90=3907, 99=6151, 99.9=9391, 99.99=9471] 
2020-03-20 20:51:12:542 183 sec: 48197 operations; 262.5 current ops/sec; est completion in 10 hours 32 minutes [READ: Count=2624, Max=9463, Min=3240, Avg=3793.64, 90=3909, 99=5551, 99.9=9351, 99.99=9463] 
2020-03-20 20:51:22:542 193 sec: 50801 operations; 260.4 current ops/sec; est completion in 10 hours 32 minutes [READ: Count=2605, Max=9663, Min=3398, Avg=3821.73, 90=3903, 99=6343, 99.9=9287, 99.99=9663] 
2020-03-20 20:51:32:542 203 sec: 53478 operations; 267.7 current ops/sec; est completion in 10 hours 32 minutes [READ: Count=2676, Max=9527, Min=2912, Avg=3720.51, 90=3891, 99=5375, 99.9=9303, 99.99=9527] 
2020-03-20 20:51:42:542 213 sec: 56052 operations; 257.4 current ops/sec; est completion in 10 hours 32 minutes [READ: Count=2575, Max=9351, Min=3388, Avg=3867.14, 90=3917, 99=6859, 99.9=9295, 99.99=9351] 
2020-03-20 20:51:52:542 223 sec: 58657 operations; 260.5 current ops/sec; est completion in 10 hours 32 minutes [READ: Count=2604, Max=9415, Min=3236, Avg=3821.7, 90=3911, 99=6495, 99.9=9311, 99.99=9415] 
2020-03-20 20:52:02:542 233 sec: 61278 operations; 262.1 current ops/sec; est completion in 10 hours 32 minutes [READ: Count=2621, Max=9351, Min=3220, Avg=3799.16, 90=3905, 99=6491, 99.9=9335, 99.99=9351] 
2020-03-20 20:52:12:542 243 sec: 63914 operations; 263.6 current ops/sec; est completion in 10 hours 31 minutes [READ: Count=2636, Max=9383, Min=3046, Avg=3785.66, 90=3889, 99=6375, 99.9=9359, 99.99=9383] 
2020-03-20 20:52:22:542 253 sec: 66564 operations; 265 current ops/sec; est completion in 10 hours 31 minutes [READ: Count=2650, Max=9391, Min=3056, Avg=3765.37, 90=3907, 99=4863, 99.9=9247, 99.99=9391] 
2020-03-20 20:52:32:544 263 sec: 69251 operations; 268.7 current ops/sec; est completion in 10 hours 30 minutes [READ: Count=2687, Max=9447, Min=2986, Avg=3715.92, 90=3889, 99=6411, 99.9=9263, 99.99=9447] 
2020-03-20 20:52:42:544 273 sec: 71881 operations; 263 current ops/sec; est completion in 10 hours 30 minutes [READ: Count=2630, Max=9495, Min=3294, Avg=3794.13, 90=3883, 99=6307, 99.9=9415, 99.99=9495] 
2020-03-20 20:52:52:545 283 sec: 74504 operations; 262.3 current ops/sec; est completion in 10 hours 30 minutes [READ: Count=2624, Max=9455, Min=3232, Avg=3802.58, 90=3903, 99=6463, 99.9=9439, 99.99=9455] 
