/usr/lib/jvm/java-8-oracle/bin/java -cp /home/gsd/pgs/ycsb/postgrenosql-binding/conf:/home/gsd/pgs/ycsb/conf:/home/gsd/pgs/ycsb/lib/postgresql-9.4.1212.jre7.jar:/home/gsd/pgs/ycsb/lib/json-simple-1.1.1.jar:/home/gsd/pgs/ycsb/lib/postgrenosql-binding-0.18.0-SNAPSHOT.jar:/home/gsd/pgs/ycsb/lib/HdrHistogram-2.1.11.jar:/home/gsd/pgs/ycsb/lib/core-0.18.0-SNAPSHOT.jar:/home/gsd/pgs/ycsb/lib/jackson-mapper-asl-1.9.4.jar:/home/gsd/pgs/ycsb/lib/slf4j-simple-1.7.13.jar:/home/gsd/pgs/ycsb/lib/jackson-core-asl-1.9.4.jar:/home/gsd/pgs/ycsb/lib/htrace-core4-4.1.0-incubating.jar:/home/gsd/pgs/ycsb/lib/slf4j-api-1.7.13.jar site.ycsb.Client -db site.ycsb.postgrenosql.PostgreNoSQLDBClient -s -P workloads/workloada -P postgrenosql.properties -t
Command line: -db site.ycsb.postgrenosql.PostgreNoSQLDBClient -s -P workloads/workloada -P postgrenosql.properties -t
YCSB Client 0.18.0-SNAPSHOT

Loading workload...
Starting test.
Maximum execution time specified as: 2100 secs
2020-03-20 13:43:41:026 0 sec: 0 operations; est completion in 0 second 
2020-03-20 13:43:51:012 10 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-03-20 13:44:01:012 20 sec: 0 operations; est completion in 106751991167300 days 15 hours 
Init soe select init_soe(1, CAST( get_ftw_oid() as INTEGER), 1, CAST (get_original_index_oid() as INTEGER))
Loading oblivious tables.
Load complete
DBWrapper: report latency for each error is false and specific error codes to track for latency are: []
2020-03-20 13:44:11:012 2 sec: 1496 operations; 149.6 current ops/sec; est completion in 4 hours 16 minutes [READ: Count=1497, Max=4219, Min=1077, Avg=1485, 90=1760, 99=2699, 99.9=3251, 99.99=4219] 
2020-03-20 13:44:21:012 12 sec: 9477 operations; 798.1 current ops/sec; est completion in 3 hours 36 minutes [READ: Count=7980, Max=9263, Min=958, Avg=1247.05, 90=1444, 99=1701, 99.9=3815, 99.99=9263] 
2020-03-20 13:44:31:012 22 sec: 16994 operations; 751.7 current ops/sec; est completion in 3 hours 38 minutes [READ: Count=7518, Max=8135, Min=954, Avg=1323.68, 90=1523, 99=1730, 99.9=4563, 99.99=8135] 
2020-03-20 13:44:41:012 32 sec: 24566 operations; 757.2 current ops/sec; est completion in 3 hours 38 minutes [READ: Count=7572, Max=4875, Min=985, Avg=1313.78, 90=1525, 99=1747, 99.9=3385, 99.99=4875] 
2020-03-20 13:44:51:012 42 sec: 31988 operations; 742.2 current ops/sec; est completion in 3 hours 39 minutes [READ: Count=7422, Max=4743, Min=973, Avg=1339.86, 90=1548, 99=1767, 99.9=3179, 99.99=4743] 
2020-03-20 13:45:01:012 52 sec: 39170 operations; 718.2 current ops/sec; est completion in 3 hours 41 minutes [READ: Count=7182, Max=4871, Min=1026, Avg=1383.7, 90=1576, 99=1787, 99.9=3601, 99.99=4871] 
2020-03-20 13:45:11:012 62 sec: 46668 operations; 749.8 current ops/sec; est completion in 3 hours 41 minutes [READ: Count=7498, Max=4731, Min=996, Avg=1326.11, 90=1549, 99=1761, 99.9=3581, 99.99=4731] 
2020-03-20 13:45:21:012 72 sec: 54039 operations; 737.1 current ops/sec; est completion in 3 hours 41 minutes [READ: Count=7370, Max=5007, Min=965, Avg=1349.16, 90=1550, 99=1742, 99.9=3353, 99.99=5007] 
2020-03-20 13:45:31:012 82 sec: 61202 operations; 716.3 current ops/sec; est completion in 3 hours 42 minutes [READ: Count=7163, Max=4603, Min=965, Avg=1387.28, 90=1573, 99=1813, 99.9=3563, 99.99=4603] 
2020-03-20 13:45:41:012 92 sec: 68841 operations; 763.9 current ops/sec; est completion in 3 hours 41 minutes [READ: Count=7639, Max=6259, Min=972, Avg=1304.99, 90=1535, 99=1752, 99.9=4499, 99.99=6259] 
2020-03-20 13:45:51:012 102 sec: 76339 operations; 749.8 current ops/sec; est completion in 3 hours 41 minutes [READ: Count=7499, Max=4703, Min=963, Avg=1329.26, 90=1542, 99=1770, 99.9=3439, 99.99=4703] 
2020-03-20 13:46:01:012 112 sec: 84018 operations; 767.9 current ops/sec; est completion in 3 hours 40 minutes [READ: Count=7678, Max=7335, Min=964, Avg=1298.29, 90=1492, 99=1823, 99.9=4571, 99.99=7335] 
2020-03-20 13:46:11:012 122 sec: 92201 operations; 818.3 current ops/sec; est completion in 3 hours 39 minutes [READ: Count=8184, Max=4647, Min=940, Avg=1219.55, 90=1404, 99=1629, 99.9=3147, 99.99=4647] 
2020-03-20 13:46:21:012 132 sec: 99706 operations; 750.5 current ops/sec; est completion in 3 hours 38 minutes [READ: Count=7505, Max=4939, Min=972, Avg=1327.96, 90=1531, 99=1716, 99.9=3199, 99.99=4939] 
2020-03-20 13:46:31:012 142 sec: 107492 operations; 778.6 current ops/sec; est completion in 3 hours 38 minutes [READ: Count=7786, Max=4683, Min=943, Avg=1280.8, 90=1481, 99=1680, 99.9=2699, 99.99=4683] 
2020-03-20 13:46:41:012 152 sec: 114952 operations; 746 current ops/sec; est completion in 3 hours 38 minutes [READ: Count=7460, Max=4723, Min=970, Avg=1335.8, 90=1532, 99=1754, 99.9=3417, 99.99=4723] 
2020-03-20 13:46:51:012 162 sec: 122352 operations; 740 current ops/sec; est completion in 3 hours 38 minutes [READ: Count=7400, Max=4731, Min=996, Avg=1346.87, 90=1559, 99=1962, 99.9=3981, 99.99=4731] 
2020-03-20 13:47:01:012 172 sec: 129915 operations; 756.3 current ops/sec; est completion in 3 hours 38 minutes [READ: Count=7564, Max=6211, Min=990, Avg=1318.39, 90=1531, 99=1812, 99.9=3567, 99.99=6211] 
2020-03-20 13:47:11:012 182 sec: 137251 operations; 733.6 current ops/sec; est completion in 3 hours 38 minutes [READ: Count=7335, Max=4247, Min=1034, Avg=1358.55, 90=1555, 99=1723, 99.9=3099, 99.99=4247] 
2020-03-20 13:47:21:012 192 sec: 144946 operations; 769.5 current ops/sec; est completion in 3 hours 37 minutes [READ: Count=7695, Max=4915, Min=974, Avg=1295.77, 90=1534, 99=1726, 99.9=3353, 99.99=4915] 
2020-03-20 13:47:31:012 202 sec: 152607 operations; 766.1 current ops/sec; est completion in 3 hours 37 minutes [READ: Count=7660, Max=4631, Min=967, Avg=1301.76, 90=1536, 99=1725, 99.9=3337, 99.99=4631] 
2020-03-20 13:47:41:012 212 sec: 160040 operations; 743.3 current ops/sec; est completion in 3 hours 37 minutes [READ: Count=7434, Max=4555, Min=994, Avg=1340.95, 90=1543, 99=1740, 99.9=3281, 99.99=4555] 
2020-03-20 13:47:51:012 222 sec: 167233 operations; 719.3 current ops/sec; est completion in 3 hours 37 minutes [READ: Count=7193, Max=4755, Min=993, Avg=1385.18, 90=1571, 99=1724, 99.9=3263, 99.99=4755] 
2020-03-20 13:48:01:012 232 sec: 174462 operations; 722.9 current ops/sec; est completion in 3 hours 38 minutes [READ: Count=7228, Max=4799, Min=969, Avg=1378.37, 90=1581, 99=1765, 99.9=3483, 99.99=4799] 
2020-03-20 13:48:11:012 242 sec: 182025 operations; 756.3 current ops/sec; est completion in 3 hours 37 minutes [READ: Count=7563, Max=3447, Min=917, Avg=1318.48, 90=1513, 99=1674, 99.9=2845, 99.99=3447] 
2020-03-20 13:48:21:012 252 sec: 189217 operations; 719.2 current ops/sec; est completion in 3 hours 38 minutes [READ: Count=7193, Max=4991, Min=1000, Avg=1385.27, 90=1589, 99=1849, 99.9=3591, 99.99=4991] 
2020-03-20 13:48:31:012 262 sec: 196478 operations; 726.1 current ops/sec; est completion in 3 hours 38 minutes [READ: Count=7261, Max=4683, Min=1006, Avg=1372.63, 90=1585, 99=1950, 99.9=4355, 99.99=4683] 
2020-03-20 13:48:41:012 272 sec: 204010 operations; 753.2 current ops/sec; est completion in 3 hours 37 minutes [READ: Count=7531, Max=4651, Min=987, Avg=1323.6, 90=1543, 99=1738, 99.9=3365, 99.99=4651] 
2020-03-20 13:48:51:012 282 sec: 211249 operations; 723.9 current ops/sec; est completion in 3 hours 38 minutes [READ: Count=7240, Max=4843, Min=1017, Avg=1376.57, 90=1566, 99=1805, 99.9=3607, 99.99=4843] 
2020-03-20 13:49:01:012 292 sec: 218519 operations; 727 current ops/sec; est completion in 3 hours 38 minutes [READ: Count=7269, Max=4647, Min=949, Avg=1370.87, 90=1579, 99=1727, 99.9=3147, 99.99=4647] 
2020-03-20 13:49:11:020 302 sec: 225877 operations; 735.29 current ops/sec; est completion in 3 hours 38 minutes [READ: Count=7358, Max=4815, Min=994, Avg=1355.66, 90=1586, 99=1798, 99.9=3521, 99.99=4815] 
