0.835 33407.000
10.835 28111.000
20.835 27583.000
30.835 26959.000
40.835 26911.000
50.835 26751.000
60.835 26639.000
70.835 26751.000
80.835 26703.000
90.835 26623.000
100.835 26575.000
110.835 26575.000
120.835 26543.000
130.835 26527.000
140.835 26495.000
150.835 26479.000
160.835 26479.000
170.835 26431.000
180.835 26367.000
190.835 26431.000
200.835 26367.000
210.835 26367.000
220.835 26367.000
230.835 26367.000
240.835 26351.000
250.835 26351.000
260.835 26351.000
270.835 26351.000
280.835 26351.000
290.835 26335.000
300.835 26319.000
310.835 26335.000
320.835 26335.000
330.835 26319.000
340.835 26319.000
350.835 26303.000
360.835 26287.000
370.835 26303.000
380.835 26271.000
390.835 26303.000
400.835 26255.000
410.835 26255.000
420.835 26239.000
430.835 26255.000
440.835 26255.000
450.835 26255.000
460.835 26255.000
470.835 26255.000
480.835 26239.000
490.835 26239.000
500.835 26223.000
510.835 26223.000
520.835 26223.000
530.835 26223.000
540.835 26207.000
550.835 26223.000
560.835 26223.000
570.835 26207.000
580.835 26207.000
590.835 26207.000
600.835 26191.000
610.835 26191.000
620.835 26191.000
630.835 26191.000
640.835 26175.000
650.835 26175.000
660.835 26159.000
670.835 26175.000
680.835 26175.000
690.835 26175.000
700.835 26175.000
710.835 26159.000
720.835 26159.000
730.835 26175.000
740.835 26175.000
750.835 26159.000
760.835 26159.000
770.835 26159.000
780.835 26127.000
790.835 26127.000
800.835 26127.000
810.835 26127.000
820.835 26127.000
830.834 26111.000
840.835 26111.000
850.835 26111.000
860.837 26111.000
870.834 26095.000
880.835 26095.000
890.835 26079.000
900.835 26079.000
910.835 26079.000
920.835 26079.000
930.835 26079.000
940.835 26079.000
950.835 26063.000
960.835 26047.000
970.835 26047.000
980.835 26047.000
990.835 26047.000
1000.835 26047.000
1010.835 26047.000
1020.835 26031.000
1030.835 26063.000
1040.835 26047.000
1050.835 26047.000
1060.835 26047.000
1070.835 26047.000
1080.835 26047.000
1090.835 26047.000
1100.835 26047.000
1110.835 26031.000
1120.835 26031.000
1130.835 26015.000
1140.834 26015.000
1150.835 26015.000
1160.835 26015.000
1170.835 26015.000
1180.835 26015.000
1190.835 26015.000
1200.834 26015.000
1210.835 26015.000
1220.835 25999.000
1230.835 25999.000
1240.835 25999.000
1250.835 25983.000
1260.835 25967.000
1270.835 25983.000
1280.835 25967.000
1290.835 25967.000
1300.835 25967.000
1310.835 25967.000
1320.835 25967.000
1330.835 25967.000
1340.835 25967.000
1350.835 25967.000
1360.835 25967.000
1370.835 25951.000
1380.835 25951.000
1390.835 25967.000
1400.835 25951.000
1410.834 25951.000
1420.834 25967.000
1430.834 25967.000
1440.834 25951.000
1450.834 25951.000
1460.835 25951.000
1470.835 25951.000
1480.835 25951.000
1490.834 25951.000
1500.835 25951.000
1510.835 25951.000
1520.835 25951.000
1530.835 25951.000
1540.834 25951.000
1550.834 25935.000
1560.834 25935.000
1570.834 25951.000
1580.834 25951.000
1590.835 25935.000
1591.092 25935.000
1591.115 25935.000
