2020-03-27 14:22:34:566 167 sec: 1896 operations; 11.2 current ops/sec; est completion in 10 days 4 hours [SCAN: Count=112, Max=160895, Min=15720, Avg=89881.54, 90=157183, 99=158847, 99.9=160895, 99.99=160895] 
2020-03-27 14:22:44:566 177 sec: 2011 operations; 11.5 current ops/sec; est completion in 10 days 4 hours [SCAN: Count=115, Max=159231, Min=15688, Avg=86373.25, 90=142847, 99=158975, 99.9=159231, 99.99=159231] 
2020-03-27 14:22:54:566 187 sec: 2110 operations; 9.9 current ops/sec; est completion in 10 days 6 hours [SCAN: Count=99, Max=170879, Min=15800, Avg=100148.69, 90=157823, 99=170879, 99.9=170879, 99.99=170879] 
2020-03-27 14:23:04:566 197 sec: 2228 operations; 11.8 current ops/sec; est completion in 10 days 5 hours [SCAN: Count=118, Max=158975, Min=15552, Avg=85680.1, 90=157567, 99=158847, 99.9=158975, 99.99=158975] 
2020-03-27 14:23:14:566 207 sec: 2353 operations; 12.5 current ops/sec; est completion in 10 days 4 hours [SCAN: Count=125, Max=158847, Min=15656, Avg=79734.98, 90=157567, 99=158463, 99.9=158847, 99.99=158847] 
2020-03-27 14:23:24:574 217 sec: 2468 operations; 11.49 current ops/sec; est completion in 10 days 4 hours [SCAN: Count=115, Max=158207, Min=15560, Avg=87348.56, 90=155007, 99=158207, 99.9=158207, 99.99=158207] 
2020-03-27 14:23:34:566 227 sec: 2590 operations; 12.21 current ops/sec; est completion in 10 days 3 hours [SCAN: Count=122, Max=166271, Min=15408, Avg=81958.98, 90=142079, 99=157951, 99.9=166271, 99.99=166271] 
2020-03-27 14:23:44:566 237 sec: 2706 operations; 11.6 current ops/sec; est completion in 10 days 3 hours [SCAN: Count=116, Max=158847, Min=15552, Avg=86181.21, 90=157055, 99=157951, 99.9=158847, 99.99=158847] 
2020-03-27 14:23:54:566 247 sec: 2827 operations; 12.1 current ops/sec; est completion in 10 days 2 hours [SCAN: Count=121, Max=171263, Min=15640, Avg=82094.02, 90=142847, 99=158975, 99.9=171263, 99.99=171263] 
2020-03-27 14:24:04:566 257 sec: 2946 operations; 11.9 current ops/sec; est completion in 10 days 2 hours [SCAN: Count=119, Max=159487, Min=15680, Avg=83840.57, 90=142847, 99=158719, 99.9=159487, 99.99=159487] 
2020-03-27 14:24:14:566 267 sec: 3059 operations; 11.3 current ops/sec; est completion in 10 days 2 hours [SCAN: Count=113, Max=158847, Min=15616, Avg=88819.5, 90=158207, 99=158719, 99.9=158847, 99.99=158847] 
2020-03-27 14:24:24:566 277 sec: 3170 operations; 11.1 current ops/sec; est completion in 10 days 2 hours [SCAN: Count=112, Max=159487, Min=15672, Avg=89644.64, 90=157695, 99=159231, 99.9=159487, 99.99=159487] 
2020-03-27 14:24:34:566 287 sec: 3290 operations; 12 current ops/sec; est completion in 10 days 2 hours [SCAN: Count=119, Max=158847, Min=15720, Avg=83469.08, 90=158079, 99=158719, 99.9=158847, 99.99=158847] 
2020-03-27 14:24:44:566 297 sec: 3402 operations; 11.2 current ops/sec; est completion in 10 days 2 hours [SCAN: Count=112, Max=158591, Min=15624, Avg=89170.96, 90=142847, 99=158591, 99.9=158591, 99.99=158591] 
2020-03-27 14:24:54:566 307 sec: 3519 operations; 11.7 current ops/sec; est completion in 10 days 2 hours [SCAN: Count=117, Max=158847, Min=15656, Avg=85306.46, 90=143487, 99=158719, 99.9=158847, 99.99=158847] 
2020-03-27 14:25:04:566 317 sec: 3630 operations; 11.1 current ops/sec; est completion in 10 days 2 hours [SCAN: Count=111, Max=170751, Min=15680, Avg=90700.07, 90=157311, 99=158847, 99.9=170751, 99.99=170751] 
2020-03-27 14:25:14:566 327 sec: 3744 operations; 11.4 current ops/sec; est completion in 10 days 2 hours [SCAN: Count=114, Max=158847, Min=15696, Avg=87544.32, 90=143103, 99=158847, 99.9=158847, 99.99=158847] 
2020-03-27 14:25:24:566 337 sec: 3854 operations; 11 current ops/sec; est completion in 10 days 2 hours [SCAN: Count=110, Max=159231, Min=15640, Avg=90713.71, 90=157823, 99=158847, 99.9=159231, 99.99=159231] 
2020-03-27 14:25:34:566 347 sec: 3973 operations; 11.9 current ops/sec; est completion in 10 days 2 hours [SCAN: Count=119, Max=158719, Min=15608, Avg=83651.66, 90=157055, 99=158591, 99.9=158719, 99.99=158719] 
2020-03-27 14:25:44:566 357 sec: 4091 operations; 11.8 current ops/sec; est completion in 10 days 2 hours [SCAN: Count=118, Max=158591, Min=15608, Avg=84997.9, 90=142975, 99=158463, 99.9=158591, 99.99=158591] 
2020-03-27 14:25:54:566 367 sec: 4206 operations; 11.5 current ops/sec; est completion in 10 days 2 hours [SCAN: Count=115, Max=158719, Min=15592, Avg=87206.47, 90=142463, 99=158463, 99.9=158719, 99.99=158719] 
2020-03-27 14:26:04:566 377 sec: 4317 operations; 11.1 current ops/sec; est completion in 10 days 2 hours [SCAN: Count=111, Max=158847, Min=15584, Avg=90006.63, 90=157695, 99=158847, 99.9=158847, 99.99=158847] 
2020-03-27 14:26:14:566 387 sec: 4431 operations; 11.4 current ops/sec; est completion in 10 days 2 hours [SCAN: Count=114, Max=159231, Min=15712, Avg=87852.46, 90=157823, 99=158719, 99.9=159231, 99.99=159231] 
2020-03-27 14:26:24:566 397 sec: 4549 operations; 11.8 current ops/sec; est completion in 10 days 2 hours [SCAN: Count=118, Max=171263, Min=15664, Avg=84028.41, 90=155135, 99=158975, 99.9=171263, 99.99=171263] 
2020-03-27 14:26:34:566 407 sec: 4661 operations; 11.2 current ops/sec; est completion in 10 days 2 hours [SCAN: Count=112, Max=159615, Min=15832, Avg=89903.46, 90=142847, 99=158335, 99.9=159615, 99.99=159615] 
2020-03-27 14:26:44:566 417 sec: 4776 operations; 11.5 current ops/sec; est completion in 10 days 2 hours [SCAN: Count=115, Max=159231, Min=15624, Avg=86971.83, 90=156927, 99=159103, 99.9=159231, 99.99=159231] 
2020-03-27 14:26:54:566 427 sec: 4891 operations; 11.5 current ops/sec; est completion in 10 days 2 hours [SCAN: Count=115, Max=171903, Min=15744, Avg=86863.86, 90=157567, 99=158975, 99.9=171903, 99.99=171903] 
2020-03-27 14:27:04:566 437 sec: 5000 operations; 10.9 current ops/sec; est completion in 10 days 2 hours [SCAN: Count=109, Max=163839, Min=15536, Avg=90640.95, 90=142847, 99=162815, 99.9=163839, 99.99=163839] 
2020-03-27 14:27:14:566 447 sec: 5119 operations; 11.9 current ops/sec; est completion in 10 days 2 hours [SCAN: Count=119, Max=158847, Min=15680, Avg=85012.24, 90=157823, 99=158719, 99.9=158847, 99.99=158847] 
2020-03-27 14:27:24:566 457 sec: 5225 operations; 10.6 current ops/sec; est completion in 10 days 2 hours [SCAN: Count=106, Max=159103, Min=15776, Avg=94335.58, 90=157951, 99=158847, 99.9=159103, 99.99=159103] 
2020-03-27 14:27:34:566 467 sec: 5344 operations; 11.9 current ops/sec; est completion in 10 days 2 hours [SCAN: Count=119, Max=159231, Min=15816, Avg=83813.55, 90=157823, 99=158591, 99.9=159231, 99.99=159231] 
2020-03-27 14:27:44:566 477 sec: 5458 operations; 11.4 current ops/sec; est completion in 10 days 2 hours [SCAN: Count=114, Max=158591, Min=15776, Avg=86778.56, 90=142847, 99=158335, 99.9=158591, 99.99=158591] 
2020-03-27 14:27:54:566 487 sec: 5573 operations; 11.5 current ops/sec; est completion in 10 days 2 hours [SCAN: Count=115, Max=158719, Min=15696, Avg=86687.55, 90=157823, 99=158591, 99.9=158719, 99.99=158719] 
2020-03-27 14:28:04:566 497 sec: 5695 operations; 12.2 current ops/sec; est completion in 10 days 2 hours [SCAN: Count=122, Max=160383, Min=15648, Avg=82706.72, 90=142591, 99=158335, 99.9=160383, 99.99=160383] 
2020-03-27 14:28:14:566 507 sec: 5814 operations; 11.9 current ops/sec; est completion in 10 days 2 hours [SCAN: Count=119, Max=158719, Min=15760, Avg=84028.07, 90=156927, 99=158335, 99.9=158719, 99.99=158719] 
2020-03-27 14:28:24:567 517 sec: 5929 operations; 11.5 current ops/sec; est completion in 10 days 2 hours [SCAN: Count=115, Max=158847, Min=15616, Avg=86936.52, 90=157567, 99=158591, 99.9=158847, 99.99=158847] 
2020-03-27 14:28:34:566 527 sec: 6045 operations; 11.6 current ops/sec; est completion in 10 days 2 hours [SCAN: Count=116, Max=158335, Min=15672, Avg=86172.93, 90=142463, 99=158207, 99.9=158335, 99.99=158335] 
2020-03-27 14:28:44:566 537 sec: 6154 operations; 10.9 current ops/sec; est completion in 10 days 2 hours [SCAN: Count=109, Max=158207, Min=15608, Avg=91711.96, 90=157567, 99=158079, 99.9=158207, 99.99=158207] 
2020-03-27 14:28:54:566 547 sec: 6271 operations; 11.7 current ops/sec; est completion in 10 days 2 hours [SCAN: Count=117, Max=158591, Min=15560, Avg=85822.56, 90=156415, 99=158463, 99.9=158591, 99.99=158591] 
