/usr/lib/jvm/java-8-oracle/bin/java -cp /home/gsd/pgs/ycsb/postgrenosql-binding/conf:/home/gsd/pgs/ycsb/conf:/home/gsd/pgs/ycsb/lib/postgresql-9.4.1212.jre7.jar:/home/gsd/pgs/ycsb/lib/json-simple-1.1.1.jar:/home/gsd/pgs/ycsb/lib/postgrenosql-binding-0.18.0-SNAPSHOT.jar:/home/gsd/pgs/ycsb/lib/HdrHistogram-2.1.11.jar:/home/gsd/pgs/ycsb/lib/core-0.18.0-SNAPSHOT.jar:/home/gsd/pgs/ycsb/lib/jackson-mapper-asl-1.9.4.jar:/home/gsd/pgs/ycsb/lib/slf4j-simple-1.7.13.jar:/home/gsd/pgs/ycsb/lib/jackson-core-asl-1.9.4.jar:/home/gsd/pgs/ycsb/lib/htrace-core4-4.1.0-incubating.jar:/home/gsd/pgs/ycsb/lib/slf4j-api-1.7.13.jar site.ycsb.Client -db site.ycsb.postgrenosql.PostgreNoSQLDBClient -s -P workloads/workloadb -P postgrenosql.properties -t
Command line: -db site.ycsb.postgrenosql.PostgreNoSQLDBClient -s -P workloads/workloadb -P postgrenosql.properties -t
YCSB Client 0.18.0-SNAPSHOT

Loading workload...
Starting test.
Maximum execution time specified as: 2100 secs
2020-03-29 08:54:32:604 0 sec: 0 operations; est completion in 0 second 
2020-03-29 08:54:42:588 10 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-03-29 08:54:52:588 20 sec: 0 operations; est completion in 106751991167300 days 15 hours 
Init soe select init_soe(1, CAST( get_ftw_oid() as INTEGER), 1, CAST (get_original_index_oid() as INTEGER))
2020-03-29 08:55:02:588 30 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-03-29 08:55:12:588 40 sec: 0 operations; est completion in 106751991167300 days 15 hours 
Loading oblivious tables.
2020-03-29 08:55:22:588 50 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-03-29 08:55:32:588 60 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-03-29 08:55:42:588 70 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-03-29 08:55:52:588 80 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-03-29 08:56:02:588 90 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-03-29 08:56:12:588 100 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-03-29 08:56:22:588 110 sec: 0 operations; est completion in 106751991167300 days 15 hours 
Load complete
DBWrapper: report latency for each error is false and specific error codes to track for latency are: []
2020-03-29 08:56:32:588 2 sec: 23 operations; 2.3 current ops/sec; est completion in 11 days 11 hours [SCAN: Count=23, Max=184319, Min=7732, Avg=92193.83, 90=166015, 99=184319, 99.9=184319, 99.99=184319] 
2020-03-29 08:56:42:588 12 sec: 127 operations; 10.4 current ops/sec; est completion in 11 days 4 hours [SCAN: Count=104, Max=192383, Min=4648, Avg=96330.38, 90=176127, 99=192127, 99.9=192383, 99.99=192383] 
2020-03-29 08:56:52:588 22 sec: 230 operations; 10.3 current ops/sec; est completion in 11 days 5 hours [SCAN: Count=103, Max=187775, Min=4632, Avg=97172.52, 90=172671, 99=187263, 99.9=187775, 99.99=187775] 
2020-03-29 08:57:02:588 32 sec: 343 operations; 11.3 current ops/sec; est completion in 10 days 21 hours [SCAN: Count=113, Max=188287, Min=4480, Avg=88128.62, 90=162431, 99=181247, 99.9=188287, 99.99=188287] 
2020-03-29 08:57:12:588 42 sec: 446 operations; 10.3 current ops/sec; est completion in 10 days 23 hours [SCAN: Count=103, Max=187519, Min=4740, Avg=97024.83, 90=170239, 99=187391, 99.9=187519, 99.99=187519] 
2020-03-29 08:57:22:588 52 sec: 554 operations; 10.8 current ops/sec; est completion in 10 days 22 hours [SCAN: Count=108, Max=180607, Min=8832, Avg=92233.63, 90=160255, 99=179583, 99.9=180607, 99.99=180607] 
2020-03-29 08:57:32:588 62 sec: 665 operations; 11.1 current ops/sec; est completion in 10 days 20 hours [SCAN: Count=111, Max=187903, Min=4556, Avg=90867.78, 90=158975, 99=185215, 99.9=187903, 99.99=187903] 
2020-03-29 08:57:42:588 72 sec: 767 operations; 10.2 current ops/sec; est completion in 10 days 21 hours [SCAN: Count=102, Max=193407, Min=4388, Avg=97509.78, 90=171135, 99=192255, 99.9=193407, 99.99=193407] 
2020-03-29 08:57:52:588 82 sec: 880 operations; 11.3 current ops/sec; est completion in 10 days 19 hours [SCAN: Count=113, Max=200063, Min=4624, Avg=88564.55, 90=157311, 99=177279, 99.9=200063, 99.99=200063] 
2020-03-29 08:58:02:589 92 sec: 981 operations; 10.1 current ops/sec; est completion in 10 days 21 hours [SCAN: Count=101, Max=199295, Min=4604, Avg=98184.89, 90=168703, 99=187775, 99.9=199295, 99.99=199295] 
2020-03-29 08:58:12:588 102 sec: 1084 operations; 10.3 current ops/sec; est completion in 10 days 22 hours [SCAN: Count=103, Max=193279, Min=4496, Avg=97692.66, 90=172671, 99=188543, 99.9=193279, 99.99=193279] 
2020-03-29 08:58:22:588 112 sec: 1192 operations; 10.8 current ops/sec; est completion in 10 days 21 hours [SCAN: Count=108, Max=198143, Min=4584, Avg=92483.39, 90=173311, 99=197631, 99.9=198143, 99.99=198143] 
2020-03-29 08:58:32:588 122 sec: 1285 operations; 9.3 current ops/sec; est completion in 11 days [SCAN: Count=93, Max=196735, Min=4364, Avg=106765.08, 90=175999, 99=196735, 99.9=196735, 99.99=196735] 
2020-03-29 08:58:42:588 132 sec: 1387 operations; 10.2 current ops/sec; est completion in 11 days [SCAN: Count=102, Max=185087, Min=4620, Avg=98567.33, 90=163199, 99=179839, 99.9=185087, 99.99=185087] 
2020-03-29 08:58:52:588 142 sec: 1491 operations; 10.4 current ops/sec; est completion in 11 days 1 hour [SCAN: Count=104, Max=192639, Min=4516, Avg=96700.1, 90=169343, 99=191999, 99.9=192639, 99.99=192639] 
2020-03-29 08:59:02:588 152 sec: 1596 operations; 10.5 current ops/sec; est completion in 11 days [SCAN: Count=105, Max=180991, Min=4692, Avg=94612.7, 90=168191, 99=180223, 99.9=180991, 99.99=180991] 
2020-03-29 08:59:12:588 162 sec: 1686 operations; 9 current ops/sec; est completion in 11 days 3 hours [SCAN: Count=90, Max=197631, Min=9000, Avg=110491.07, 90=180095, 99=197631, 99.9=197631, 99.99=197631] 
2020-03-29 08:59:22:588 172 sec: 1788 operations; 10.2 current ops/sec; est completion in 11 days 3 hours [SCAN: Count=102, Max=183295, Min=4740, Avg=98226.29, 90=163455, 99=183167, 99.9=183295, 99.99=183295] 
2020-03-29 08:59:32:588 182 sec: 1881 operations; 9.3 current ops/sec; est completion in 11 days 5 hours [SCAN: Count=93, Max=188799, Min=4652, Avg=107793.72, 90=178815, 99=188799, 99.9=188799, 99.99=188799] 
2020-03-29 08:59:42:588 192 sec: 1988 operations; 10.7 current ops/sec; est completion in 11 days 4 hours [SCAN: Count=107, Max=182655, Min=4444, Avg=92700, 90=163455, 99=178175, 99.9=182655, 99.99=182655] 
2020-03-29 08:59:52:588 202 sec: 2086 operations; 9.8 current ops/sec; est completion in 11 days 5 hours [SCAN: Count=98, Max=188415, Min=4608, Avg=103375.1, 90=172415, 99=188415, 99.9=188415, 99.99=188415] 
2020-03-29 09:00:02:588 212 sec: 2195 operations; 10.9 current ops/sec; est completion in 11 days 4 hours [SCAN: Count=109, Max=189823, Min=4728, Avg=91800.95, 90=164223, 99=186111, 99.9=189823, 99.99=189823] 
2020-03-29 09:00:12:588 222 sec: 2306 operations; 11.1 current ops/sec; est completion in 11 days 3 hours [SCAN: Count=111, Max=186623, Min=4540, Avg=89579.03, 90=163583, 99=186239, 99.9=186623, 99.99=186623] 
2020-03-29 09:00:22:588 232 sec: 2411 operations; 10.5 current ops/sec; est completion in 11 days 3 hours [SCAN: Count=105, Max=188671, Min=4700, Avg=94717.75, 90=168319, 99=187135, 99.9=188671, 99.99=188671] 
2020-03-29 09:00:32:588 242 sec: 2508 operations; 9.7 current ops/sec; est completion in 11 days 4 hours [SCAN: Count=97, Max=189439, Min=4716, Avg=102975.96, 90=170751, 99=189439, 99.9=189439, 99.99=189439] 
2020-03-29 09:00:42:588 252 sec: 2613 operations; 10.5 current ops/sec; est completion in 11 days 4 hours [SCAN: Count=105, Max=191103, Min=4856, Avg=96183.26, 90=164479, 99=184703, 99.9=191103, 99.99=191103] 
2020-03-29 09:00:52:588 262 sec: 2707 operations; 9.4 current ops/sec; est completion in 11 days 5 hours [SCAN: Count=94, Max=188799, Min=4664, Avg=105795.7, 90=177151, 99=188799, 99.9=188799, 99.99=188799] 
2020-03-29 09:01:02:588 272 sec: 2811 operations; 10.4 current ops/sec; est completion in 11 days 4 hours [SCAN: Count=104, Max=186367, Min=4672, Avg=96601.56, 90=176639, 99=186239, 99.9=186367, 99.99=186367] 
2020-03-29 09:01:12:588 282 sec: 2917 operations; 10.6 current ops/sec; est completion in 11 days 4 hours [SCAN: Count=106, Max=183935, Min=4700, Avg=94059.17, 90=156799, 99=178303, 99.9=183935, 99.99=183935] 
2020-03-29 09:01:22:588 292 sec: 3006 operations; 8.9 current ops/sec; est completion in 11 days 6 hours [SCAN: Count=89, Max=188159, Min=4596, Avg=111542.2, 90=182015, 99=188159, 99.9=188159, 99.99=188159] 
2020-03-29 09:01:32:588 302 sec: 3109 operations; 10.3 current ops/sec; est completion in 11 days 5 hours [SCAN: Count=103, Max=187903, Min=4612, Avg=97220.64, 90=178175, 99=187903, 99.9=187903, 99.99=187903] 
2020-03-29 09:01:42:588 312 sec: 3203 operations; 9.4 current ops/sec; est completion in 11 days 6 hours [SCAN: Count=94, Max=187775, Min=4724, Avg=106371.43, 90=176639, 99=187775, 99.9=187775, 99.99=187775] 
2020-03-29 09:01:52:588 322 sec: 3303 operations; 10 current ops/sec; est completion in 11 days 6 hours [SCAN: Count=100, Max=188927, Min=5012, Avg=99915.86, 90=168319, 99=187263, 99.9=188927, 99.99=188927] 
2020-03-29 09:02:02:588 332 sec: 3402 operations; 9.9 current ops/sec; est completion in 11 days 7 hours [SCAN: Count=99, Max=187775, Min=8952, Avg=101355.84, 90=168831, 99=187775, 99.9=187775, 99.99=187775] 
2020-03-29 09:02:12:588 342 sec: 3509 operations; 10.7 current ops/sec; est completion in 11 days 6 hours [SCAN: Count=107, Max=187263, Min=4656, Avg=93598.9, 90=169215, 99=182911, 99.9=187263, 99.99=187263] 
2020-03-29 09:02:22:588 352 sec: 3624 operations; 11.5 current ops/sec; est completion in 11 days 5 hours [SCAN: Count=115, Max=187007, Min=4592, Avg=86798.16, 90=160767, 99=186879, 99.9=187007, 99.99=187007] 
2020-03-29 09:02:32:588 362 sec: 3722 operations; 9.8 current ops/sec; est completion in 11 days 6 hours [SCAN: Count=98, Max=186367, Min=4612, Avg=101414.22, 90=168063, 99=186367, 99.9=186367, 99.99=186367] 
2020-03-29 09:02:42:588 372 sec: 3821 operations; 9.9 current ops/sec; est completion in 11 days 6 hours [SCAN: Count=99, Max=191871, Min=4684, Avg=101218.95, 90=164607, 99=191871, 99.9=191871, 99.99=191871] 
2020-03-29 09:02:52:588 382 sec: 3936 operations; 11.5 current ops/sec; est completion in 11 days 5 hours [SCAN: Count=115, Max=190079, Min=4664, Avg=87712.09, 90=173951, 99=188415, 99.9=190079, 99.99=190079] 
2020-03-29 09:03:02:588 392 sec: 4049 operations; 11.3 current ops/sec; est completion in 11 days 5 hours [SCAN: Count=113, Max=186623, Min=4728, Avg=87820.69, 90=164223, 99=186623, 99.9=186623, 99.99=186623] 
2020-03-29 09:03:12:588 402 sec: 4145 operations; 9.6 current ops/sec; est completion in 11 days 5 hours [SCAN: Count=96, Max=187391, Min=9152, Avg=104295.54, 90=175359, 99=187391, 99.9=187391, 99.99=187391] 
2020-03-29 09:03:22:588 412 sec: 4251 operations; 10.6 current ops/sec; est completion in 11 days 5 hours [SCAN: Count=106, Max=187775, Min=4616, Avg=94817.43, 90=165631, 99=187391, 99.9=187775, 99.99=187775] 
2020-03-29 09:03:32:588 422 sec: 4354 operations; 10.3 current ops/sec; est completion in 11 days 5 hours [SCAN: Count=103, Max=184703, Min=4576, Avg=96511.53, 90=169215, 99=177919, 99.9=184703, 99.99=184703] 
2020-03-29 09:03:42:588 432 sec: 4457 operations; 10.3 current ops/sec; est completion in 11 days 5 hours [SCAN: Count=103, Max=188287, Min=4620, Avg=97501.61, 90=175743, 99=184191, 99.9=188287, 99.99=188287] 
2020-03-29 09:03:52:588 442 sec: 4572 operations; 11.5 current ops/sec; est completion in 11 days 4 hours [SCAN: Count=115, Max=197119, Min=4636, Avg=86383.67, 90=155903, 99=182271, 99.9=197119, 99.99=197119] 
2020-03-29 09:04:02:588 452 sec: 4672 operations; 10 current ops/sec; est completion in 11 days 4 hours [SCAN: Count=100, Max=187007, Min=4688, Avg=99782.58, 90=169599, 99=184191, 99.9=187007, 99.99=187007] 
2020-03-29 09:04:12:588 462 sec: 4785 operations; 11.3 current ops/sec; est completion in 11 days 4 hours [SCAN: Count=113, Max=186751, Min=4728, Avg=88553.49, 90=167935, 99=182655, 99.9=186751, 99.99=186751] 
2020-03-29 09:04:22:588 472 sec: 4884 operations; 9.9 current ops/sec; est completion in 11 days 4 hours [SCAN: Count=99, Max=187135, Min=4616, Avg=100925.72, 90=162943, 99=187135, 99.9=187135, 99.99=187135] 
2020-03-29 09:04:32:588 482 sec: 4990 operations; 10.6 current ops/sec; est completion in 11 days 4 hours [SCAN: Count=106, Max=189823, Min=13768, Avg=94519.06, 90=173055, 99=188543, 99.9=189823, 99.99=189823] 
2020-03-29 09:04:42:588 492 sec: 5099 operations; 10.9 current ops/sec; est completion in 11 days 4 hours [SCAN: Count=109, Max=189311, Min=4684, Avg=92275.65, 90=170111, 99=187263, 99.9=189311, 99.99=189311] 
2020-03-29 09:04:52:588 502 sec: 5199 operations; 10 current ops/sec; est completion in 11 days 4 hours [SCAN: Count=100, Max=189951, Min=4772, Avg=99265.54, 90=172927, 99=189823, 99.9=189951, 99.99=189951] 
