/usr/lib/jvm/java-8-oracle/bin/java -cp /home/gsd/pgs/ycsb/postgrenosql-binding/conf:/home/gsd/pgs/ycsb/conf:/home/gsd/pgs/ycsb/lib/postgresql-9.4.1212.jre7.jar:/home/gsd/pgs/ycsb/lib/json-simple-1.1.1.jar:/home/gsd/pgs/ycsb/lib/postgrenosql-binding-0.18.0-SNAPSHOT.jar:/home/gsd/pgs/ycsb/lib/HdrHistogram-2.1.11.jar:/home/gsd/pgs/ycsb/lib/core-0.18.0-SNAPSHOT.jar:/home/gsd/pgs/ycsb/lib/jackson-mapper-asl-1.9.4.jar:/home/gsd/pgs/ycsb/lib/slf4j-simple-1.7.13.jar:/home/gsd/pgs/ycsb/lib/jackson-core-asl-1.9.4.jar:/home/gsd/pgs/ycsb/lib/htrace-core4-4.1.0-incubating.jar:/home/gsd/pgs/ycsb/lib/slf4j-api-1.7.13.jar site.ycsb.Client -db site.ycsb.postgrenosql.PostgreNoSQLDBClient -s -P workloads/workloadb -P postgrenosql.properties -t
Command line: -db site.ycsb.postgrenosql.PostgreNoSQLDBClient -s -P workloads/workloadb -P postgrenosql.properties -t
YCSB Client 0.18.0-SNAPSHOT

Loading workload...
Starting test.
Maximum execution time specified as: 2100 secs
2020-03-29 07:44:17:399 0 sec: 0 operations; est completion in 0 second 
2020-03-29 07:44:27:384 10 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-03-29 07:44:37:384 20 sec: 0 operations; est completion in 106751991167300 days 15 hours 
Init soe select init_soe(1, CAST( get_ftw_oid() as INTEGER), 1, CAST (get_original_index_oid() as INTEGER))
2020-03-29 07:44:47:384 30 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-03-29 07:44:57:384 40 sec: 0 operations; est completion in 106751991167300 days 15 hours 
Loading oblivious tables.
2020-03-29 07:45:07:384 50 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-03-29 07:45:17:384 60 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-03-29 07:45:27:384 70 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-03-29 07:45:37:384 80 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-03-29 07:45:47:384 90 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-03-29 07:45:57:384 100 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-03-29 07:46:07:384 110 sec: 0 operations; est completion in 106751991167300 days 15 hours 
Load complete
DBWrapper: report latency for each error is false and specific error codes to track for latency are: []
2020-03-29 07:46:17:384 2 sec: 23 operations; 2.3 current ops/sec; est completion in 11 days 16 hours [SCAN: Count=23, Max=196863, Min=4876, Avg=94892.78, 90=172799, 99=196863, 99.9=196863, 99.99=196863] 
2020-03-29 07:46:27:384 12 sec: 123 operations; 10 current ops/sec; est completion in 11 days 14 hours [SCAN: Count=100, Max=194431, Min=4420, Avg=100719.22, 90=172543, 99=189311, 99.9=194431, 99.99=194431] 
2020-03-29 07:46:37:384 22 sec: 226 operations; 10.3 current ops/sec; est completion in 11 days 10 hours [SCAN: Count=103, Max=188543, Min=9344, Avg=96846.49, 90=171263, 99=179327, 99.9=188543, 99.99=188543] 
2020-03-29 07:46:47:384 32 sec: 334 operations; 10.8 current ops/sec; est completion in 11 days 4 hours [SCAN: Count=108, Max=184575, Min=4796, Avg=92400.5, 90=171519, 99=184319, 99.9=184575, 99.99=184575] 
2020-03-29 07:46:57:384 42 sec: 437 operations; 10.3 current ops/sec; est completion in 11 days 5 hours [SCAN: Count=103, Max=188543, Min=4792, Avg=96299.07, 90=175103, 99=187519, 99.9=188543, 99.99=188543] 
2020-03-29 07:47:07:384 52 sec: 536 operations; 9.9 current ops/sec; est completion in 11 days 7 hours [SCAN: Count=99, Max=189567, Min=4712, Avg=100678.36, 90=168447, 99=189567, 99.9=189567, 99.99=189567] 
2020-03-29 07:47:17:384 62 sec: 637 operations; 10.1 current ops/sec; est completion in 11 days 7 hours [SCAN: Count=101, Max=198783, Min=4988, Avg=99408.46, 90=176255, 99=192639, 99.9=198783, 99.99=198783] 
2020-03-29 07:47:27:384 72 sec: 735 operations; 9.8 current ops/sec; est completion in 11 days 9 hours [SCAN: Count=98, Max=184447, Min=4608, Avg=102254.43, 90=161407, 99=184447, 99.9=184447, 99.99=184447] 
2020-03-29 07:47:37:384 82 sec: 839 operations; 10.4 current ops/sec; est completion in 11 days 8 hours [SCAN: Count=104, Max=189695, Min=4260, Avg=95593.31, 90=169727, 99=187647, 99.9=189695, 99.99=189695] 
2020-03-29 07:47:47:384 92 sec: 945 operations; 10.6 current ops/sec; est completion in 11 days 7 hours [SCAN: Count=106, Max=184319, Min=4464, Avg=94814.83, 90=172671, 99=184319, 99.9=184319, 99.99=184319] 
2020-03-29 07:47:57:384 102 sec: 1047 operations; 10.2 current ops/sec; est completion in 11 days 7 hours [SCAN: Count=102, Max=197759, Min=4380, Avg=97593.67, 90=172031, 99=187263, 99.9=197759, 99.99=197759] 
2020-03-29 07:48:07:384 112 sec: 1149 operations; 10.2 current ops/sec; est completion in 11 days 7 hours [SCAN: Count=102, Max=204159, Min=4612, Avg=98612.41, 90=169343, 99=184703, 99.9=204159, 99.99=204159] 
2020-03-29 07:48:17:384 122 sec: 1253 operations; 10.4 current ops/sec; est completion in 11 days 7 hours [SCAN: Count=104, Max=201727, Min=4700, Avg=95410.15, 90=167295, 99=186879, 99.9=201727, 99.99=201727] 
