2020-03-29 06:38:51:828 172 sec: 2372 operations; 13.4 current ops/sec; est completion in 8 days 9 hours [SCAN: Count=134, Max=137983, Min=4572, Avg=74800.67, 90=128895, 99=136447, 99.9=137983, 99.99=137983] 
2020-03-29 06:39:01:828 182 sec: 2507 operations; 13.5 current ops/sec; est completion in 8 days 9 hours [SCAN: Count=135, Max=157567, Min=4604, Avg=73220.04, 90=131711, 99=138623, 99.9=157567, 99.99=157567] 
2020-03-29 06:39:11:828 192 sec: 2647 operations; 14 current ops/sec; est completion in 8 days 9 hours [SCAN: Count=140, Max=141055, Min=4548, Avg=72054.21, 90=127615, 99=140671, 99.9=141055, 99.99=141055] 
2020-03-29 06:39:21:828 202 sec: 2786 operations; 13.9 current ops/sec; est completion in 8 days 9 hours [SCAN: Count=139, Max=150143, Min=4528, Avg=71810.53, 90=131071, 99=140287, 99.9=150143, 99.99=150143] 
2020-03-29 06:39:31:828 212 sec: 2919 operations; 13.3 current ops/sec; est completion in 8 days 9 hours [SCAN: Count=133, Max=152575, Min=4516, Avg=75306.08, 90=130495, 99=150655, 99.9=152575, 99.99=152575] 
2020-03-29 06:39:41:828 222 sec: 3048 operations; 12.9 current ops/sec; est completion in 8 days 10 hours [SCAN: Count=129, Max=151295, Min=4576, Avg=77506.84, 90=125695, 99=136319, 99.9=151295, 99.99=151295] 
2020-03-29 06:39:51:828 232 sec: 3180 operations; 13.2 current ops/sec; est completion in 8 days 10 hours [SCAN: Count=132, Max=150527, Min=4436, Avg=75537.36, 90=124287, 99=144895, 99.9=150527, 99.99=150527] 
2020-03-29 06:40:01:828 242 sec: 3306 operations; 12.6 current ops/sec; est completion in 8 days 11 hours [SCAN: Count=126, Max=152959, Min=4564, Avg=79104.81, 90=132095, 99=152447, 99.9=152959, 99.99=152959] 
2020-03-29 06:40:11:828 252 sec: 3448 operations; 14.2 current ops/sec; est completion in 8 days 11 hours [SCAN: Count=142, Max=150015, Min=4616, Avg=70754.01, 90=128703, 99=149503, 99.9=150015, 99.99=150015] 
2020-03-29 06:40:21:828 262 sec: 3594 operations; 14.6 current ops/sec; est completion in 8 days 10 hours [SCAN: Count=146, Max=141311, Min=4180, Avg=68459.81, 90=124479, 99=139135, 99.9=141311, 99.99=141311] 
