2020-03-29 05:28:37:112 171 sec: 2364 operations; 13 current ops/sec; est completion in 8 days 9 hours [SCAN: Count=130, Max=150015, Min=4640, Avg=76676.18, 90=130943, 99=147071, 99.9=150015, 99.99=150015] 
2020-03-29 05:28:47:111 181 sec: 2511 operations; 14.7 current ops/sec; est completion in 8 days 8 hours [SCAN: Count=147, Max=147583, Min=4580, Avg=67739.86, 90=125503, 99=145791, 99.9=147583, 99.99=147583] 
2020-03-29 05:28:57:111 191 sec: 2645 operations; 13.4 current ops/sec; est completion in 8 days 9 hours [SCAN: Count=134, Max=162815, Min=4776, Avg=75012.52, 90=132479, 99=161663, 99.9=162815, 99.99=162815] 
2020-03-29 05:29:07:111 201 sec: 2782 operations; 13.7 current ops/sec; est completion in 8 days 9 hours [SCAN: Count=137, Max=151167, Min=4600, Avg=72711.59, 90=126975, 99=141823, 99.9=151167, 99.99=151167] 
2020-03-29 05:29:17:112 211 sec: 2921 operations; 13.9 current ops/sec; est completion in 8 days 9 hours [SCAN: Count=139, Max=138367, Min=4580, Avg=71347.51, 90=123967, 99=135423, 99.9=138367, 99.99=138367] 
2020-03-29 05:29:27:111 221 sec: 3058 operations; 13.7 current ops/sec; est completion in 8 days 9 hours [SCAN: Count=137, Max=152191, Min=4496, Avg=73642.48, 90=128703, 99=140287, 99.9=152191, 99.99=152191] 
2020-03-29 05:29:37:112 231 sec: 3188 operations; 13 current ops/sec; est completion in 8 days 9 hours [SCAN: Count=130, Max=142463, Min=4384, Avg=76257.89, 90=129215, 99=141695, 99.9=142463, 99.99=142463] 
2020-03-29 05:29:47:111 241 sec: 3321 operations; 13.3 current ops/sec; est completion in 8 days 10 hours [SCAN: Count=133, Max=146303, Min=4604, Avg=75830.18, 90=133119, 99=141823, 99.9=146303, 99.99=146303] 
2020-03-29 05:29:57:112 251 sec: 3457 operations; 13.6 current ops/sec; est completion in 8 days 10 hours [SCAN: Count=136, Max=164095, Min=4584, Avg=73410.93, 90=129151, 99=139263, 99.9=164095, 99.99=164095] 
2020-03-29 05:30:07:112 261 sec: 3596 operations; 13.9 current ops/sec; est completion in 8 days 10 hours [SCAN: Count=139, Max=150655, Min=4528, Avg=72068.49, 90=128319, 99=141823, 99.9=150655, 99.99=150655] 
2020-03-29 05:30:17:111 271 sec: 3744 operations; 14.8 current ops/sec; est completion in 8 days 9 hours [SCAN: Count=148, Max=140415, Min=4532, Avg=66956.5, 90=131839, 99=139263, 99.9=140415, 99.99=140415] 
2020-03-29 05:30:27:111 281 sec: 3874 operations; 13 current ops/sec; est completion in 8 days 9 hours [SCAN: Count=130, Max=153343, Min=4616, Avg=77234.88, 90=131839, 99=151167, 99.9=153343, 99.99=153343] 
2020-03-29 05:30:37:111 291 sec: 4012 operations; 13.8 current ops/sec; est completion in 8 days 9 hours [SCAN: Count=138, Max=152831, Min=4608, Avg=72581.16, 90=129407, 99=151423, 99.9=152831, 99.99=152831] 
2020-03-29 05:30:47:111 301 sec: 4149 operations; 13.7 current ops/sec; est completion in 8 days 9 hours [SCAN: Count=137, Max=142719, Min=4540, Avg=72708.41, 90=125247, 99=137087, 99.9=142719, 99.99=142719] 
2020-03-29 05:30:57:111 311 sec: 4291 operations; 14.2 current ops/sec; est completion in 8 days 9 hours [SCAN: Count=142, Max=151167, Min=4248, Avg=70572.51, 90=125247, 99=146431, 99.9=151167, 99.99=151167] 
2020-03-29 05:31:07:111 321 sec: 4422 operations; 13.1 current ops/sec; est completion in 8 days 10 hours [SCAN: Count=131, Max=151295, Min=4292, Avg=76053.5, 90=129215, 99=141439, 99.9=151295, 99.99=151295] 
2020-03-29 05:31:17:111 331 sec: 4560 operations; 13.8 current ops/sec; est completion in 8 days 9 hours [SCAN: Count=138, Max=140799, Min=4544, Avg=71973.46, 90=129279, 99=139135, 99.9=140799, 99.99=140799] 
2020-03-29 05:31:27:111 341 sec: 4702 operations; 14.2 current ops/sec; est completion in 8 days 9 hours [SCAN: Count=142, Max=138367, Min=4120, Avg=70868.89, 90=126591, 99=138239, 99.9=138367, 99.99=138367] 
2020-03-29 05:31:37:111 351 sec: 4835 operations; 13.3 current ops/sec; est completion in 8 days 9 hours [SCAN: Count=133, Max=150783, Min=4600, Avg=75388.23, 90=130239, 99=146175, 99.9=150783, 99.99=150783] 
2020-03-29 05:31:47:111 361 sec: 4970 operations; 13.5 current ops/sec; est completion in 8 days 10 hours [SCAN: Count=135, Max=162943, Min=4624, Avg=73981.2, 90=127999, 99=152191, 99.9=162943, 99.99=162943] 
2020-03-29 05:31:57:112 371 sec: 5096 operations; 12.6 current ops/sec; est completion in 8 days 10 hours [SCAN: Count=126, Max=153087, Min=4480, Avg=78743.54, 90=129599, 99=151167, 99.9=153087, 99.99=153087] 
2020-03-29 05:32:07:111 381 sec: 5237 operations; 14.1 current ops/sec; est completion in 8 days 10 hours [SCAN: Count=141, Max=142335, Min=4636, Avg=70722.01, 90=124799, 99=141951, 99.9=142335, 99.99=142335] 
2020-03-29 05:32:17:111 391 sec: 5383 operations; 14.6 current ops/sec; est completion in 8 days 10 hours [SCAN: Count=146, Max=141823, Min=4472, Avg=69066.07, 90=128959, 99=139391, 99.9=141823, 99.99=141823] 
2020-03-29 05:32:27:111 401 sec: 5519 operations; 13.6 current ops/sec; est completion in 8 days 10 hours [SCAN: Count=136, Max=148095, Min=4488, Avg=73286.21, 90=128959, 99=138751, 99.9=148095, 99.99=148095] 
2020-03-29 05:32:37:111 411 sec: 5652 operations; 13.3 current ops/sec; est completion in 8 days 10 hours [SCAN: Count=133, Max=144511, Min=4496, Avg=75397.73, 90=130367, 99=142847, 99.9=144511, 99.99=144511] 
2020-03-29 05:32:47:111 421 sec: 5793 operations; 14.1 current ops/sec; est completion in 8 days 10 hours [SCAN: Count=141, Max=165119, Min=4468, Avg=70520.5, 90=128895, 99=149887, 99.9=165119, 99.99=165119] 
2020-03-29 05:32:57:112 431 sec: 5929 operations; 13.6 current ops/sec; est completion in 8 days 10 hours [SCAN: Count=136, Max=144127, Min=4300, Avg=73628.21, 90=129791, 99=139775, 99.9=144127, 99.99=144127] 
2020-03-29 05:33:07:112 441 sec: 6069 operations; 14 current ops/sec; est completion in 8 days 10 hours [SCAN: Count=140, Max=149759, Min=4496, Avg=71432.67, 90=120127, 99=145791, 99.9=149759, 99.99=149759] 
2020-03-29 05:33:17:112 451 sec: 6202 operations; 13.3 current ops/sec; est completion in 8 days 10 hours [SCAN: Count=133, Max=151935, Min=4496, Avg=75368.42, 90=129983, 99=147839, 99.9=151935, 99.99=151935] 
2020-03-29 05:33:27:111 461 sec: 6355 operations; 15.3 current ops/sec; est completion in 8 days 9 hours [SCAN: Count=153, Max=146175, Min=4664, Avg=65511.45, 90=128575, 99=139135, 99.9=146175, 99.99=146175] 
2020-03-29 05:33:37:111 471 sec: 6488 operations; 13.3 current ops/sec; est completion in 8 days 9 hours [SCAN: Count=133, Max=153855, Min=4312, Avg=74875.53, 90=124287, 99=153215, 99.9=153855, 99.99=153855] 
2020-03-29 05:33:47:111 481 sec: 6622 operations; 13.4 current ops/sec; est completion in 8 days 9 hours [SCAN: Count=134, Max=139135, Min=4192, Avg=74671.13, 90=129407, 99=139007, 99.9=139135, 99.99=139135] 
2020-03-29 05:33:57:111 491 sec: 6752 operations; 13 current ops/sec; est completion in 8 days 10 hours [SCAN: Count=130, Max=149887, Min=4536, Avg=76807.32, 90=133503, 99=139391, 99.9=149887, 99.99=149887] 
2020-03-29 05:34:07:112 501 sec: 6894 operations; 14.2 current ops/sec; est completion in 8 days 10 hours [SCAN: Count=142, Max=146687, Min=4564, Avg=70663.3, 90=126079, 99=141695, 99.9=146687, 99.99=146687] 
2020-03-29 05:34:17:112 511 sec: 7033 operations; 13.9 current ops/sec; est completion in 8 days 9 hours [SCAN: Count=139, Max=150015, Min=4300, Avg=71321.24, 90=129215, 99=146303, 99.9=150015, 99.99=150015] 
2020-03-29 05:34:27:112 521 sec: 7178 operations; 14.5 current ops/sec; est completion in 8 days 9 hours [SCAN: Count=145, Max=138751, Min=4104, Avg=68942.5, 90=128319, 99=137599, 99.9=138751, 99.99=138751] 
2020-03-29 05:34:37:111 531 sec: 7306 operations; 12.8 current ops/sec; est completion in 8 days 10 hours [SCAN: Count=128, Max=147199, Min=4452, Avg=77850.5, 90=128959, 99=143359, 99.9=147199, 99.99=147199] 
2020-03-29 05:34:47:111 541 sec: 7447 operations; 14.1 current ops/sec; est completion in 8 days 9 hours [SCAN: Count=141, Max=149887, Min=4488, Avg=71753.62, 90=129535, 99=145919, 99.9=149887, 99.99=149887] 
