/usr/lib/jvm/java-8-oracle/bin/java -cp /home/gsd/pgs/ycsb/postgrenosql-binding/conf:/home/gsd/pgs/ycsb/conf:/home/gsd/pgs/ycsb/lib/postgresql-9.4.1212.jre7.jar:/home/gsd/pgs/ycsb/lib/json-simple-1.1.1.jar:/home/gsd/pgs/ycsb/lib/postgrenosql-binding-0.18.0-SNAPSHOT.jar:/home/gsd/pgs/ycsb/lib/HdrHistogram-2.1.11.jar:/home/gsd/pgs/ycsb/lib/core-0.18.0-SNAPSHOT.jar:/home/gsd/pgs/ycsb/lib/jackson-mapper-asl-1.9.4.jar:/home/gsd/pgs/ycsb/lib/slf4j-simple-1.7.13.jar:/home/gsd/pgs/ycsb/lib/jackson-core-asl-1.9.4.jar:/home/gsd/pgs/ycsb/lib/htrace-core4-4.1.0-incubating.jar:/home/gsd/pgs/ycsb/lib/slf4j-api-1.7.13.jar site.ycsb.Client -db site.ycsb.postgrenosql.PostgreNoSQLDBClient -s -P workloads/workloadb -P postgrenosql.properties -t
Command line: -db site.ycsb.postgrenosql.PostgreNoSQLDBClient -s -P workloads/workloadb -P postgrenosql.properties -t
YCSB Client 0.18.0-SNAPSHOT

Loading workload...
Starting test.
Maximum execution time specified as: 2100 secs
2020-04-15 13:11:50:307 0 sec: 0 operations; est completion in 0 second 
DBWrapper: report latency for each error is false and specific error codes to track for latency are: []
2020-04-15 13:12:00:290 9 sec: 76442 operations; 7644.2 current ops/sec; est completion in 21 minutes [SCAN: Count=76452, Max=11887, Min=70, Avg=127.88, 90=157, 99=226, 99.9=361, 99.99=593] 
2020-04-15 13:12:10:290 19 sec: 155577 operations; 7913.5 current ops/sec; est completion in 21 minutes [SCAN: Count=79134, Max=2071, Min=70, Avg=125.11, 90=166, 99=191, 99.9=227, 99.99=293] 
2020-04-15 13:12:20:290 29 sec: 230251 operations; 7467.4 current ops/sec; est completion in 21 minutes [SCAN: Count=74672, Max=1766, Min=83, Avg=132.44, 90=154, 99=193, 99.9=260, 99.99=272] 
2020-04-15 13:12:30:290 39 sec: 300795 operations; 7054.4 current ops/sec; est completion in 21 minutes [SCAN: Count=70542, Max=7351, Min=77, Avg=140.2, 90=182, 99=286, 99.9=368, 99.99=400] 
2020-04-15 13:12:40:290 49 sec: 351714 operations; 5091.9 current ops/sec; est completion in 22 minutes [SCAN: Count=50919, Max=4959, Min=90, Avg=194.4, 90=271, 99=314, 99.9=372, 99.99=397] 
2020-04-15 13:12:50:290 59 sec: 413146 operations; 6143.2 current ops/sec; est completion in 23 minutes [SCAN: Count=61432, Max=1555, Min=70, Avg=161.37, 90=237, 99=298, 99.9=351, 99.99=379] 
2020-04-15 13:13:00:290 69 sec: 475884 operations; 6273.8 current ops/sec; est completion in 23 minutes [SCAN: Count=62738, Max=2101, Min=77, Avg=157.69, 90=204, 99=237, 99.9=315, 99.99=405] 
2020-04-15 13:13:10:290 79 sec: 533422 operations; 5753.8 current ops/sec; est completion in 23 minutes [SCAN: Count=57537, Max=1367, Min=77, Avg=171.94, 90=271, 99=324, 99.9=380, 99.99=406] 
2020-04-15 13:13:20:290 89 sec: 604676 operations; 7125.4 current ops/sec; est completion in 23 minutes [SCAN: Count=71256, Max=410, Min=68, Avg=138.74, 90=192, 99=284, 99.9=362, 99.99=402] 
2020-04-15 13:13:30:290 99 sec: 682041 operations; 7736.5 current ops/sec; est completion in 22 minutes [SCAN: Count=77362, Max=1324, Min=70, Avg=127.82, 90=152, 99=260, 99.9=309, 99.99=379] 
