/usr/lib/jvm/java-8-oracle/bin/java -cp /home/gsd/pgs/ycsb/postgrenosql-binding/conf:/home/gsd/pgs/ycsb/conf:/home/gsd/pgs/ycsb/lib/postgresql-9.4.1212.jre7.jar:/home/gsd/pgs/ycsb/lib/json-simple-1.1.1.jar:/home/gsd/pgs/ycsb/lib/postgrenosql-binding-0.18.0-SNAPSHOT.jar:/home/gsd/pgs/ycsb/lib/HdrHistogram-2.1.11.jar:/home/gsd/pgs/ycsb/lib/core-0.18.0-SNAPSHOT.jar:/home/gsd/pgs/ycsb/lib/jackson-mapper-asl-1.9.4.jar:/home/gsd/pgs/ycsb/lib/slf4j-simple-1.7.13.jar:/home/gsd/pgs/ycsb/lib/jackson-core-asl-1.9.4.jar:/home/gsd/pgs/ycsb/lib/htrace-core4-4.1.0-incubating.jar:/home/gsd/pgs/ycsb/lib/slf4j-api-1.7.13.jar site.ycsb.Client -db site.ycsb.postgrenosql.PostgreNoSQLDBClient -s -P workloads/workloada -P postgrenosql.properties -t
Command line: -db site.ycsb.postgrenosql.PostgreNoSQLDBClient -s -P workloads/workloada -P postgrenosql.properties -t
YCSB Client 0.18.0-SNAPSHOT

Loading workload...
Starting test.
Maximum execution time specified as: 2100 secs
2020-03-23 07:37:01:989 0 sec: 0 operations; est completion in 0 second 
2020-03-23 07:37:11:973 10 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-03-23 07:37:21:973 20 sec: 0 operations; est completion in 106751991167300 days 15 hours 
Init soe select init_soe(0, CAST( get_ftw_oid() as INTEGER), 1, CAST (get_original_index_oid() as INTEGER))
Loading oblivious tables.
2020-03-23 07:37:31:973 30 sec: 0 operations; est completion in 106751991167300 days 15 hours 
Load complete
DBWrapper: report latency for each error is false and specific error codes to track for latency are: []
2020-03-23 07:37:41:973 7 sec: 612 operations; 61.2 current ops/sec; est completion in 1 day 9 hours [READ: Count=612, Max=21695, Min=11296, Avg=11994.18, 90=12615, 99=13183, 99.9=21695, 99.99=21695] 
2020-03-23 07:37:51:973 17 sec: 1457 operations; 84.5 current ops/sec; est completion in 1 day 9 hours [READ: Count=845, Max=22623, Min=11096, Avg=11793.74, 90=11951, 99=12063, 99.9=22623, 99.99=22623] 
2020-03-23 07:38:01:973 27 sec: 2304 operations; 84.7 current ops/sec; est completion in 1 day 9 hours [READ: Count=847, Max=22447, Min=11208, Avg=11761.28, 90=11935, 99=12135, 99.9=22447, 99.99=22447] 
2020-03-23 07:38:11:973 37 sec: 3151 operations; 84.7 current ops/sec; est completion in 1 day 8 hours [READ: Count=847, Max=22831, Min=11176, Avg=11755.59, 90=11895, 99=12287, 99.9=22831, 99.99=22831] 
2020-03-23 07:38:21:973 47 sec: 4003 operations; 85.2 current ops/sec; est completion in 1 day 8 hours [READ: Count=852, Max=22303, Min=11216, Avg=11705.67, 90=11839, 99=11959, 99.9=22303, 99.99=22303] 
2020-03-23 07:38:31:973 57 sec: 4854 operations; 85.1 current ops/sec; est completion in 1 day 8 hours [READ: Count=851, Max=12047, Min=11256, Avg=11708.04, 90=11831, 99=11927, 99.9=12047, 99.99=12047] 
2020-03-23 07:38:41:973 67 sec: 5707 operations; 85.3 current ops/sec; est completion in 1 day 8 hours [READ: Count=853, Max=12703, Min=11256, Avg=11696.93, 90=11831, 99=12039, 99.9=12703, 99.99=12703] 
2020-03-23 07:38:51:973 77 sec: 6558 operations; 85.1 current ops/sec; est completion in 1 day 8 hours [READ: Count=851, Max=22751, Min=11216, Avg=11716.5, 90=11823, 99=12031, 99.9=22751, 99.99=22751] 
2020-03-23 07:39:01:973 87 sec: 7413 operations; 85.5 current ops/sec; est completion in 1 day 8 hours [READ: Count=855, Max=22751, Min=11200, Avg=11682.94, 90=11807, 99=12319, 99.9=22751, 99.99=22751] 
2020-03-23 07:39:11:973 97 sec: 8263 operations; 85 current ops/sec; est completion in 1 day 8 hours [READ: Count=851, Max=22815, Min=11160, Avg=11737.59, 90=11823, 99=12663, 99.9=22815, 99.99=22815] 
2020-03-23 07:39:21:973 107 sec: 9113 operations; 85 current ops/sec; est completion in 1 day 8 hours [READ: Count=849, Max=22975, Min=11352, Avg=11755.27, 90=11823, 99=13399, 99.9=22975, 99.99=22975] 
2020-03-23 07:39:31:973 117 sec: 9967 operations; 85.39 current ops/sec; est completion in 1 day 8 hours [READ: Count=854, Max=22831, Min=11056, Avg=11695.89, 90=11823, 99=12375, 99.9=22831, 99.99=22831] 
2020-03-23 07:39:41:973 127 sec: 10817 operations; 85.01 current ops/sec; est completion in 1 day 8 hours [READ: Count=850, Max=22911, Min=11352, Avg=11735.84, 90=11815, 99=12319, 99.9=22911, 99.99=22911] 
2020-03-23 07:39:51:973 137 sec: 11670 operations; 85.3 current ops/sec; est completion in 1 day 8 hours [READ: Count=853, Max=22927, Min=11208, Avg=11707.4, 90=11807, 99=11927, 99.9=22927, 99.99=22927] 
2020-03-23 07:40:01:973 147 sec: 12522 operations; 85.2 current ops/sec; est completion in 1 day 8 hours [READ: Count=852, Max=22703, Min=11368, Avg=11725.74, 90=11823, 99=12247, 99.9=22703, 99.99=22703] 
2020-03-23 07:40:11:973 157 sec: 13373 operations; 85.1 current ops/sec; est completion in 1 day 8 hours [READ: Count=851, Max=22639, Min=11280, Avg=11722.15, 90=11823, 99=12167, 99.9=22639, 99.99=22639] 
