2020-03-23 14:08:12:080 166 sec: 10571 operations; 63.7 current ops/sec; est completion in 1 day 19 hours [READ: Count=637, Max=27983, Min=15224, Avg=15669.68, 90=15799, 99=16015, 99.9=27983, 99.99=27983] 
2020-03-23 14:08:22:080 176 sec: 11209 operations; 63.8 current ops/sec; est completion in 1 day 19 hours [READ: Count=638, Max=22287, Min=15192, Avg=15658.82, 90=15815, 99=15919, 99.9=22287, 99.99=22287] 
2020-03-23 14:08:32:080 186 sec: 11846 operations; 63.7 current ops/sec; est completion in 1 day 19 hours [READ: Count=637, Max=27967, Min=15216, Avg=15688.87, 90=15791, 99=16799, 99.9=27967, 99.99=27967] 
2020-03-23 14:08:42:080 196 sec: 12488 operations; 64.2 current ops/sec; est completion in 1 day 19 hours [READ: Count=642, Max=16119, Min=14936, Avg=15571.07, 90=15767, 99=15911, 99.9=16119, 99.99=16119] 
2020-03-23 14:08:52:080 206 sec: 13128 operations; 64 current ops/sec; est completion in 1 day 19 hours [READ: Count=640, Max=21567, Min=15152, Avg=15597.72, 90=15751, 99=15903, 99.9=21567, 99.99=21567] 
2020-03-23 14:09:02:087 216 sec: 13765 operations; 63.7 current ops/sec; est completion in 1 day 19 hours [READ: Count=637, Max=27919, Min=15192, Avg=15698.56, 90=15815, 99=16783, 99.9=27919, 99.99=27919] 
2020-03-23 14:09:12:080 226 sec: 14404 operations; 63.9 current ops/sec; est completion in 1 day 19 hours [READ: Count=639, Max=27791, Min=15160, Avg=15621, 90=15767, 99=16175, 99.9=27791, 99.99=27791] 
2020-03-23 14:09:22:080 236 sec: 15041 operations; 63.7 current ops/sec; est completion in 1 day 19 hours [READ: Count=637, Max=27999, Min=15232, Avg=15683.17, 90=15791, 99=16335, 99.9=27999, 99.99=27999] 
2020-03-23 14:09:32:080 246 sec: 15677 operations; 63.6 current ops/sec; est completion in 1 day 19 hours [READ: Count=636, Max=27967, Min=15152, Avg=15708.27, 90=15799, 99=16607, 99.9=27967, 99.99=27967] 
2020-03-23 14:09:42:080 256 sec: 16315 operations; 63.8 current ops/sec; est completion in 1 day 19 hours [READ: Count=638, Max=27647, Min=15160, Avg=15655.37, 90=15791, 99=16271, 99.9=27647, 99.99=27647] 
2020-03-23 14:09:52:080 266 sec: 16952 operations; 63.7 current ops/sec; est completion in 1 day 19 hours [READ: Count=637, Max=27967, Min=15136, Avg=15668.16, 90=15783, 99=15991, 99.9=27967, 99.99=27967] 
2020-03-23 14:10:02:080 276 sec: 17591 operations; 63.9 current ops/sec; est completion in 1 day 19 hours [READ: Count=639, Max=17407, Min=15152, Avg=15637.31, 90=15791, 99=16399, 99.9=17407, 99.99=17407] 
2020-03-23 14:10:12:080 286 sec: 18231 operations; 64 current ops/sec; est completion in 1 day 19 hours [READ: Count=640, Max=27695, Min=14984, Avg=15618.47, 90=15775, 99=15895, 99.9=27695, 99.99=27695] 
2020-03-23 14:10:22:080 296 sec: 18868 operations; 63.7 current ops/sec; est completion in 1 day 19 hours [READ: Count=637, Max=27807, Min=15128, Avg=15666.14, 90=15783, 99=15943, 99.9=27807, 99.99=27807] 
2020-03-23 14:10:32:080 306 sec: 19506 operations; 63.8 current ops/sec; est completion in 1 day 19 hours [READ: Count=638, Max=27903, Min=14968, Avg=15660.04, 90=15791, 99=16799, 99.9=27903, 99.99=27903] 
2020-03-23 14:10:42:080 316 sec: 20144 operations; 63.8 current ops/sec; est completion in 1 day 19 hours [READ: Count=638, Max=27919, Min=15232, Avg=15665.97, 90=15783, 99=16055, 99.9=27919, 99.99=27919] 
2020-03-23 14:10:52:080 326 sec: 20782 operations; 63.8 current ops/sec; est completion in 1 day 19 hours [READ: Count=638, Max=27967, Min=15256, Avg=15656.03, 90=15783, 99=16103, 99.9=27967, 99.99=27967] 
2020-03-23 14:11:02:080 336 sec: 21419 operations; 63.7 current ops/sec; est completion in 1 day 19 hours [READ: Count=637, Max=27839, Min=15144, Avg=15676.08, 90=15799, 99=16511, 99.9=27839, 99.99=27839] 
2020-03-23 14:11:12:080 346 sec: 22056 operations; 63.7 current ops/sec; est completion in 1 day 19 hours [READ: Count=637, Max=27983, Min=15144, Avg=15674.68, 90=15807, 99=16207, 99.9=27983, 99.99=27983] 
2020-03-23 14:11:22:080 356 sec: 22696 operations; 64 current ops/sec; est completion in 1 day 19 hours [READ: Count=640, Max=16479, Min=15096, Avg=15602.1, 90=15759, 99=16007, 99.9=16479, 99.99=16479] 
