/usr/lib/jvm/java-8-oracle/bin/java -cp /home/gsd/pgs/ycsb/postgrenosql-binding/conf:/home/gsd/pgs/ycsb/conf:/home/gsd/pgs/ycsb/lib/postgresql-9.4.1212.jre7.jar:/home/gsd/pgs/ycsb/lib/json-simple-1.1.1.jar:/home/gsd/pgs/ycsb/lib/postgrenosql-binding-0.18.0-SNAPSHOT.jar:/home/gsd/pgs/ycsb/lib/HdrHistogram-2.1.11.jar:/home/gsd/pgs/ycsb/lib/core-0.18.0-SNAPSHOT.jar:/home/gsd/pgs/ycsb/lib/jackson-mapper-asl-1.9.4.jar:/home/gsd/pgs/ycsb/lib/slf4j-simple-1.7.13.jar:/home/gsd/pgs/ycsb/lib/jackson-core-asl-1.9.4.jar:/home/gsd/pgs/ycsb/lib/htrace-core4-4.1.0-incubating.jar:/home/gsd/pgs/ycsb/lib/slf4j-api-1.7.13.jar site.ycsb.Client -db site.ycsb.postgrenosql.PostgreNoSQLDBClient -s -P workloads/workloada -P postgrenosql.properties -t
Command line: -db site.ycsb.postgrenosql.PostgreNoSQLDBClient -s -P workloads/workloada -P postgrenosql.properties -t
YCSB Client 0.18.0-SNAPSHOT

Loading workload...
Starting test.
Maximum execution time specified as: 2100 secs
2020-03-23 08:47:14:037 0 sec: 0 operations; est completion in 0 second 
2020-03-23 08:47:24:021 10 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-03-23 08:47:34:020 20 sec: 0 operations; est completion in 106751991167300 days 15 hours 
Init soe select init_soe(0, CAST( get_ftw_oid() as INTEGER), 1, CAST (get_original_index_oid() as INTEGER))
Loading oblivious tables.
2020-03-23 08:47:44:020 30 sec: 0 operations; est completion in 106751991167300 days 15 hours 
Load complete
DBWrapper: report latency for each error is false and specific error codes to track for latency are: []
2020-03-23 08:51:14:020 207 sec: 17688 operations; 85.4 current ops/sec; est completion in 1 day 8 hours [READ: Count=854, Max=22847, Min=11312, Avg=11691.94, 90=11799, 99=12487, 99.9=22847, 99.99=22847] 
2020-03-23 08:51:24:020 217 sec: 18543 operations; 85.5 current ops/sec; est completion in 1 day 8 hours [READ: Count=856, Max=22927, Min=11128, Avg=11674.69, 90=11775, 99=11903, 99.9=22927, 99.99=22927] 
2020-03-23 08:51:34:020 227 sec: 19401 operations; 85.8 current ops/sec; est completion in 1 day 8 hours [READ: Count=857, Max=13719, Min=11144, Avg=11641.6, 90=11783, 99=11935, 99.9=13719, 99.99=13719] 
2020-03-23 08:51:44:020 237 sec: 20254 operations; 85.3 current ops/sec; est completion in 1 day 8 hours [READ: Count=853, Max=22799, Min=11304, Avg=11703.2, 90=11799, 99=12263, 99.9=22799, 99.99=22799] 
2020-03-23 08:51:54:020 247 sec: 21110 operations; 85.6 current ops/sec; est completion in 1 day 8 hours [READ: Count=856, Max=12271, Min=11224, Avg=11665.66, 90=11791, 99=11903, 99.9=12271, 99.99=12271] 
2020-03-23 08:52:04:020 257 sec: 21963 operations; 85.3 current ops/sec; est completion in 1 day 8 hours [READ: Count=853, Max=22895, Min=11304, Avg=11708.33, 90=11799, 99=12415, 99.9=22895, 99.99=22895] 
2020-03-23 08:52:14:020 267 sec: 22816 operations; 85.3 current ops/sec; est completion in 1 day 8 hours [READ: Count=853, Max=22719, Min=11288, Avg=11709.59, 90=11799, 99=12511, 99.9=22719, 99.99=22719] 
2020-03-23 08:52:24:020 277 sec: 23668 operations; 85.2 current ops/sec; est completion in 1 day 8 hours [READ: Count=852, Max=22943, Min=11320, Avg=11712.01, 90=11807, 99=12415, 99.9=22943, 99.99=22943] 
2020-03-23 08:52:34:020 287 sec: 24517 operations; 84.9 current ops/sec; est completion in 1 day 8 hours [READ: Count=849, Max=23023, Min=11312, Avg=11762.09, 90=11807, 99=13399, 99.9=23023, 99.99=23023] 
2020-03-23 08:52:44:027 297 sec: 25371 operations; 85.4 current ops/sec; est completion in 1 day 8 hours [READ: Count=854, Max=22783, Min=11280, Avg=11705.22, 90=11807, 99=12367, 99.9=22783, 99.99=22783] 
