/usr/lib/jvm/java-8-oracle/bin/java -cp /home/gsd/pgs/ycsb/postgrenosql-binding/conf:/home/gsd/pgs/ycsb/conf:/home/gsd/pgs/ycsb/lib/postgresql-9.4.1212.jre7.jar:/home/gsd/pgs/ycsb/lib/json-simple-1.1.1.jar:/home/gsd/pgs/ycsb/lib/postgrenosql-binding-0.18.0-SNAPSHOT.jar:/home/gsd/pgs/ycsb/lib/HdrHistogram-2.1.11.jar:/home/gsd/pgs/ycsb/lib/core-0.18.0-SNAPSHOT.jar:/home/gsd/pgs/ycsb/lib/jackson-mapper-asl-1.9.4.jar:/home/gsd/pgs/ycsb/lib/slf4j-simple-1.7.13.jar:/home/gsd/pgs/ycsb/lib/jackson-core-asl-1.9.4.jar:/home/gsd/pgs/ycsb/lib/htrace-core4-4.1.0-incubating.jar:/home/gsd/pgs/ycsb/lib/slf4j-api-1.7.13.jar site.ycsb.Client -db site.ycsb.postgrenosql.PostgreNoSQLDBClient -s -P workloads/workloada -P postgrenosql.properties -t
Command line: -db site.ycsb.postgrenosql.PostgreNoSQLDBClient -s -P workloads/workloada -P postgrenosql.properties -t
YCSB Client 0.18.0-SNAPSHOT

Loading workload...
Starting test.
Maximum execution time specified as: 2100 secs
2020-03-23 10:32:31:997 0 sec: 0 operations; est completion in 0 second 
2020-03-23 10:32:41:981 10 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-03-23 10:32:51:981 20 sec: 0 operations; est completion in 106751991167300 days 15 hours 
Init soe select init_soe(0, CAST( get_ftw_oid() as INTEGER), 1, CAST (get_original_index_oid() as INTEGER))
2020-03-23 10:33:01:981 30 sec: 0 operations; est completion in 106751991167300 days 15 hours 
Loading oblivious tables.
2020-03-23 10:33:11:981 40 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-03-23 10:33:21:981 50 sec: 0 operations; est completion in 106751991167300 days 15 hours 
Load complete
DBWrapper: report latency for each error is false and specific error codes to track for latency are: []
2020-03-23 10:36:41:981 199 sec: 14498 operations; 73.1 current ops/sec; est completion in 1 day 14 hours [READ: Count=731, Max=25711, Min=13176, Avg=13674.45, 90=13799, 99=14079, 99.9=25711, 99.99=25711] 
2020-03-23 10:36:51:981 209 sec: 15225 operations; 72.7 current ops/sec; est completion in 1 day 14 hours [READ: Count=727, Max=25535, Min=13248, Avg=13727.6, 90=13807, 99=14807, 99.9=25535, 99.99=25535] 
2020-03-23 10:37:01:981 219 sec: 15954 operations; 72.9 current ops/sec; est completion in 1 day 14 hours [READ: Count=729, Max=25519, Min=12960, Avg=13711.78, 90=13799, 99=14783, 99.9=25519, 99.99=25519] 
2020-03-23 10:37:11:981 229 sec: 16684 operations; 73.01 current ops/sec; est completion in 1 day 14 hours [READ: Count=730, Max=25423, Min=13248, Avg=13680.78, 90=13791, 99=13919, 99.9=25423, 99.99=25423] 
2020-03-23 10:37:21:981 239 sec: 17413 operations; 72.89 current ops/sec; est completion in 1 day 14 hours [READ: Count=729, Max=25375, Min=13224, Avg=13687.35, 90=13799, 99=14447, 99.9=25375, 99.99=25375] 
2020-03-23 10:37:31:981 249 sec: 18143 operations; 73.01 current ops/sec; est completion in 1 day 14 hours [READ: Count=730, Max=25583, Min=13200, Avg=13696.1, 90=13799, 99=14015, 99.9=25583, 99.99=25583] 
2020-03-23 10:37:41:981 259 sec: 18870 operations; 72.7 current ops/sec; est completion in 1 day 14 hours [READ: Count=727, Max=25631, Min=13208, Avg=13723.86, 90=13815, 99=14671, 99.9=25631, 99.99=25631] 
2020-03-23 10:37:51:981 269 sec: 19599 operations; 72.9 current ops/sec; est completion in 1 day 14 hours [READ: Count=729, Max=25519, Min=13224, Avg=13709.77, 90=13799, 99=14839, 99.9=25519, 99.99=25519] 
2020-03-23 10:38:01:986 279 sec: 20328 operations; 72.9 current ops/sec; est completion in 1 day 14 hours [READ: Count=729, Max=25471, Min=13160, Avg=13701.64, 90=13799, 99=14543, 99.9=25471, 99.99=25471] 
2020-03-23 10:38:11:981 289 sec: 21055 operations; 72.7 current ops/sec; est completion in 1 day 14 hours [READ: Count=727, Max=25583, Min=13088, Avg=13735.54, 90=13799, 99=14743, 99.9=25583, 99.99=25583] 
2020-03-23 10:38:21:981 299 sec: 21784 operations; 72.9 current ops/sec; est completion in 1 day 14 hours [READ: Count=729, Max=25423, Min=13160, Avg=13690.96, 90=13807, 99=14279, 99.9=25423, 99.99=25423] 
2020-03-23 10:38:31:981 309 sec: 22515 operations; 73.09 current ops/sec; est completion in 1 day 14 hours [READ: Count=732, Max=14031, Min=13256, Avg=13661.42, 90=13799, 99=13903, 99.9=14031, 99.99=14031] 
2020-03-23 10:38:41:981 319 sec: 23246 operations; 73.1 current ops/sec; est completion in 1 day 14 hours [READ: Count=730, Max=25439, Min=13112, Avg=13675.78, 90=13783, 99=13895, 99.9=25439, 99.99=25439] 
2020-03-23 10:38:51:981 329 sec: 23975 operations; 72.91 current ops/sec; est completion in 1 day 14 hours [READ: Count=729, Max=25503, Min=13280, Avg=13701.12, 90=13799, 99=14351, 99.9=25503, 99.99=25503] 
2020-03-23 10:39:01:981 339 sec: 24702 operations; 72.7 current ops/sec; est completion in 1 day 14 hours [READ: Count=727, Max=25567, Min=13264, Avg=13733.22, 90=13807, 99=14815, 99.9=25567, 99.99=25567] 
2020-03-23 10:39:11:981 349 sec: 25434 operations; 73.2 current ops/sec; est completion in 1 day 14 hours [READ: Count=732, Max=14415, Min=13224, Avg=13648.78, 90=13783, 99=14151, 99.9=14415, 99.99=14415] 
2020-03-23 10:39:21:981 359 sec: 26160 operations; 72.59 current ops/sec; est completion in 1 day 14 hours [READ: Count=726, Max=25935, Min=13280, Avg=13749.52, 90=13807, 99=14759, 99.9=25935, 99.99=25935] 
2020-03-23 10:39:31:981 369 sec: 26889 operations; 72.9 current ops/sec; est completion in 1 day 14 hours [READ: Count=729, Max=25455, Min=13080, Avg=13702.88, 90=13799, 99=14671, 99.9=25455, 99.99=25455] 
2020-03-23 10:39:41:981 379 sec: 27617 operations; 72.81 current ops/sec; est completion in 1 day 14 hours [READ: Count=728, Max=25663, Min=13136, Avg=13724.8, 90=13807, 99=14727, 99.9=25663, 99.99=25663] 
2020-03-23 10:39:51:981 389 sec: 28344 operations; 72.7 current ops/sec; est completion in 1 day 14 hours [READ: Count=727, Max=25647, Min=13296, Avg=13732.79, 90=13799, 99=14775, 99.9=25647, 99.99=25647] 
2020-03-23 10:40:01:981 399 sec: 29074 operations; 72.99 current ops/sec; est completion in 1 day 14 hours [READ: Count=730, Max=25471, Min=13072, Avg=13678.25, 90=13799, 99=14463, 99.9=25471, 99.99=25471] 
2020-03-23 10:40:11:981 409 sec: 29803 operations; 72.91 current ops/sec; est completion in 1 day 14 hours [READ: Count=729, Max=25551, Min=13280, Avg=13705.66, 90=13791, 99=14143, 99.9=25551, 99.99=25551] 
2020-03-23 10:40:21:981 419 sec: 30533 operations; 73 current ops/sec; est completion in 1 day 14 hours [READ: Count=730, Max=25327, Min=13128, Avg=13674.14, 90=13791, 99=14535, 99.9=25327, 99.99=25327] 
2020-03-23 10:40:31:981 429 sec: 31262 operations; 72.9 current ops/sec; est completion in 1 day 14 hours [READ: Count=729, Max=25503, Min=13296, Avg=13716.71, 90=13807, 99=14263, 99.9=25503, 99.99=25503] 
2020-03-23 10:40:41:981 439 sec: 31992 operations; 72.99 current ops/sec; est completion in 1 day 14 hours [READ: Count=730, Max=25599, Min=12808, Avg=13676.46, 90=13791, 99=14207, 99.9=25599, 99.99=25599] 
2020-03-23 10:40:51:981 449 sec: 32719 operations; 72.7 current ops/sec; est completion in 1 day 14 hours [READ: Count=727, Max=25567, Min=13296, Avg=13734.04, 90=13799, 99=14743, 99.9=25567, 99.99=25567] 
2020-03-23 10:41:01:981 459 sec: 33450 operations; 73.11 current ops/sec; est completion in 1 day 14 hours [READ: Count=731, Max=25487, Min=13096, Avg=13669.06, 90=13783, 99=14087, 99.9=25487, 99.99=25487] 
2020-03-23 10:41:11:981 469 sec: 34179 operations; 72.9 current ops/sec; est completion in 1 day 14 hours [READ: Count=729, Max=25455, Min=13160, Avg=13689.15, 90=13799, 99=13927, 99.9=25455, 99.99=25455] 
2020-03-23 10:41:21:981 479 sec: 34909 operations; 73 current ops/sec; est completion in 1 day 13 hours [READ: Count=730, Max=25439, Min=13136, Avg=13687.12, 90=13791, 99=14623, 99.9=25439, 99.99=25439] 
2020-03-23 10:41:31:981 489 sec: 35639 operations; 73 current ops/sec; est completion in 1 day 13 hours [READ: Count=731, Max=25695, Min=13168, Avg=13673.07, 90=13799, 99=13895, 99.9=25695, 99.99=25695] 
2020-03-23 10:41:41:981 499 sec: 36368 operations; 72.9 current ops/sec; est completion in 1 day 13 hours [READ: Count=728, Max=25599, Min=13144, Avg=13713.62, 90=13791, 99=14807, 99.9=25599, 99.99=25599] 
2020-03-23 10:41:51:981 509 sec: 37098 operations; 72.99 current ops/sec; est completion in 1 day 13 hours [READ: Count=730, Max=25679, Min=13192, Avg=13687.39, 90=13799, 99=14575, 99.9=25679, 99.99=25679] 
2020-03-23 10:42:01:981 519 sec: 37829 operations; 73.1 current ops/sec; est completion in 1 day 13 hours [READ: Count=731, Max=25279, Min=13176, Avg=13662.91, 90=13791, 99=13935, 99.9=25279, 99.99=25279] 
2020-03-23 10:42:11:981 529 sec: 38561 operations; 73.21 current ops/sec; est completion in 1 day 13 hours [READ: Count=732, Max=25487, Min=13112, Avg=13644.63, 90=13791, 99=13887, 99.9=25487, 99.99=25487] 
2020-03-23 10:42:21:981 539 sec: 39290 operations; 72.89 current ops/sec; est completion in 1 day 13 hours [READ: Count=730, Max=25519, Min=13208, Avg=13683.24, 90=13783, 99=14727, 99.9=25519, 99.99=25519] 
2020-03-23 10:42:31:981 549 sec: 40020 operations; 73.01 current ops/sec; est completion in 1 day 13 hours [READ: Count=729, Max=25487, Min=13256, Avg=13697.2, 90=13799, 99=13927, 99.9=25487, 99.99=25487] 
2020-03-23 10:42:41:981 559 sec: 40753 operations; 73.29 current ops/sec; est completion in 1 day 13 hours [READ: Count=733, Max=25583, Min=12976, Avg=13626.68, 90=13783, 99=13967, 99.9=25583, 99.99=25583] 
2020-03-23 10:42:51:981 569 sec: 41483 operations; 73.01 current ops/sec; est completion in 1 day 13 hours [READ: Count=730, Max=25311, Min=13264, Avg=13682.02, 90=13799, 99=14239, 99.9=25311, 99.99=25311] 
2020-03-23 10:43:01:981 579 sec: 42211 operations; 72.79 current ops/sec; est completion in 1 day 13 hours [READ: Count=728, Max=25583, Min=13272, Avg=13712.19, 90=13815, 99=14695, 99.9=25583, 99.99=25583] 
2020-03-23 10:43:11:981 589 sec: 42941 operations; 73.01 current ops/sec; est completion in 1 day 13 hours [READ: Count=730, Max=25407, Min=13272, Avg=13686.18, 90=13799, 99=13903, 99.9=25407, 99.99=25407] 
2020-03-23 10:43:21:981 599 sec: 43672 operations; 73.1 current ops/sec; est completion in 1 day 13 hours [READ: Count=731, Max=15527, Min=13144, Avg=13656.75, 90=13791, 99=14287, 99.9=15527, 99.99=15527] 
2020-03-23 10:43:31:981 609 sec: 44402 operations; 73 current ops/sec; est completion in 1 day 13 hours [READ: Count=730, Max=25519, Min=13160, Avg=13694.68, 90=13791, 99=13983, 99.9=25519, 99.99=25519] 
2020-03-23 10:43:41:981 619 sec: 45128 operations; 72.6 current ops/sec; est completion in 1 day 13 hours [READ: Count=726, Max=25631, Min=13264, Avg=13749.29, 90=13807, 99=14815, 99.9=25631, 99.99=25631] 
2020-03-23 10:43:51:981 629 sec: 45860 operations; 73.2 current ops/sec; est completion in 1 day 13 hours [READ: Count=732, Max=25471, Min=13072, Avg=13652.52, 90=13783, 99=14223, 99.9=25471, 99.99=25471] 
2020-03-23 10:44:01:981 639 sec: 46590 operations; 73 current ops/sec; est completion in 1 day 13 hours [READ: Count=730, Max=25487, Min=13064, Avg=13669.15, 90=13815, 99=14239, 99.9=25487, 99.99=25487] 
2020-03-23 10:44:11:981 649 sec: 47319 operations; 72.9 current ops/sec; est completion in 1 day 13 hours [READ: Count=729, Max=25519, Min=13208, Avg=13702.36, 90=13799, 99=14655, 99.9=25519, 99.99=25519] 
2020-03-23 10:44:21:981 659 sec: 48046 operations; 72.7 current ops/sec; est completion in 1 day 13 hours [READ: Count=727, Max=25615, Min=13288, Avg=13738.7, 90=13807, 99=14759, 99.9=25615, 99.99=25615] 
