/usr/lib/jvm/java-8-oracle/bin/java -cp /home/gsd/pgs/ycsb/postgrenosql-binding/conf:/home/gsd/pgs/ycsb/conf:/home/gsd/pgs/ycsb/lib/postgresql-9.4.1212.jre7.jar:/home/gsd/pgs/ycsb/lib/json-simple-1.1.1.jar:/home/gsd/pgs/ycsb/lib/postgrenosql-binding-0.18.0-SNAPSHOT.jar:/home/gsd/pgs/ycsb/lib/HdrHistogram-2.1.11.jar:/home/gsd/pgs/ycsb/lib/core-0.18.0-SNAPSHOT.jar:/home/gsd/pgs/ycsb/lib/jackson-mapper-asl-1.9.4.jar:/home/gsd/pgs/ycsb/lib/slf4j-simple-1.7.13.jar:/home/gsd/pgs/ycsb/lib/jackson-core-asl-1.9.4.jar:/home/gsd/pgs/ycsb/lib/htrace-core4-4.1.0-incubating.jar:/home/gsd/pgs/ycsb/lib/slf4j-api-1.7.13.jar site.ycsb.Client -db site.ycsb.postgrenosql.PostgreNoSQLDBClient -s -P workloads/workloada -P postgrenosql.properties -t
Command line: -db site.ycsb.postgrenosql.PostgreNoSQLDBClient -s -P workloads/workloada -P postgrenosql.properties -t
YCSB Client 0.18.0-SNAPSHOT

Loading workload...
Starting test.
Maximum execution time specified as: 2100 secs
2020-03-23 03:31:20:746 0 sec: 0 operations; est completion in 0 second 
2020-03-23 03:31:30:729 10 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-03-23 03:31:40:729 20 sec: 0 operations; est completion in 106751991167300 days 15 hours 
Init soe select init_soe(0, CAST( get_ftw_oid() as INTEGER), 1, CAST (get_original_index_oid() as INTEGER))
Loading oblivious tables.
Load complete
DBWrapper: report latency for each error is false and specific error codes to track for latency are: []
2020-03-23 03:35:10:729 202 sec: 40815 operations; 201.8 current ops/sec; est completion in 13 hours 42 minutes [READ: Count=2018, Max=11767, Min=4304, Avg=4940.82, 90=5035, 99=7687, 99.9=11727, 99.99=11767] 
2020-03-23 03:35:20:729 212 sec: 42829 operations; 201.4 current ops/sec; est completion in 13 hours 42 minutes [READ: Count=2014, Max=11895, Min=4520, Avg=4947.71, 90=5031, 99=5699, 99.9=11759, 99.99=11895] 
2020-03-23 03:35:30:729 222 sec: 44823 operations; 199.4 current ops/sec; est completion in 13 hours 43 minutes [READ: Count=1994, Max=11887, Min=4564, Avg=4996.45, 90=5047, 99=7939, 99.9=11759, 99.99=11887] 
2020-03-23 03:35:40:729 232 sec: 46850 operations; 202.7 current ops/sec; est completion in 13 hours 42 minutes [READ: Count=2027, Max=11967, Min=4336, Avg=4917.41, 90=5043, 99=5591, 99.9=11751, 99.99=11967] 
2020-03-23 03:35:50:729 242 sec: 48863 operations; 201.3 current ops/sec; est completion in 13 hours 42 minutes [READ: Count=2013, Max=11839, Min=4284, Avg=4951.04, 90=5051, 99=6491, 99.9=11751, 99.99=11839] 
2020-03-23 03:36:00:729 252 sec: 50875 operations; 201.2 current ops/sec; est completion in 13 hours 42 minutes [READ: Count=2012, Max=11831, Min=4304, Avg=4954.78, 90=5035, 99=7987, 99.9=11775, 99.99=11831] 
2020-03-23 03:36:10:729 262 sec: 52883 operations; 200.8 current ops/sec; est completion in 13 hours 42 minutes [READ: Count=2009, Max=11831, Min=4404, Avg=4962.61, 90=5035, 99=6527, 99.9=11807, 99.99=11831] 
2020-03-23 03:36:20:729 272 sec: 54892 operations; 200.9 current ops/sec; est completion in 13 hours 42 minutes [READ: Count=2009, Max=11815, Min=4528, Avg=4960.68, 90=5031, 99=7319, 99.9=11735, 99.99=11815] 
2020-03-23 03:36:30:729 282 sec: 56924 operations; 203.2 current ops/sec; est completion in 13 hours 41 minutes [READ: Count=2031, Max=11823, Min=4300, Avg=4907.64, 90=5035, 99=6475, 99.9=11735, 99.99=11823] 
2020-03-23 03:36:40:729 292 sec: 58940 operations; 201.6 current ops/sec; est completion in 13 hours 41 minutes [READ: Count=2016, Max=11887, Min=4616, Avg=4942.87, 90=5035, 99=5551, 99.9=11711, 99.99=11887] 
2020-03-23 03:36:50:736 302 sec: 60971 operations; 203.1 current ops/sec; est completion in 13 hours 41 minutes [READ: Count=2032, Max=11807, Min=4392, Avg=4909.29, 90=5023, 99=5639, 99.9=11775, 99.99=11807] 
2020-03-23 03:37:00:729 312 sec: 62992 operations; 202.1 current ops/sec; est completion in 13 hours 41 minutes [READ: Count=2020, Max=11839, Min=4316, Avg=4935.78, 90=5031, 99=6491, 99.9=11791, 99.99=11839] 
2020-03-23 03:37:10:729 322 sec: 65025 operations; 203.3 current ops/sec; est completion in 13 hours 40 minutes [READ: Count=2033, Max=11871, Min=4292, Avg=4909.39, 90=5023, 99=6447, 99.9=11799, 99.99=11871] 
2020-03-23 03:37:20:729 332 sec: 67024 operations; 199.9 current ops/sec; est completion in 13 hours 40 minutes [READ: Count=1999, Max=11831, Min=4472, Avg=4992.95, 90=5027, 99=8055, 99.9=11759, 99.99=11831] 
2020-03-23 03:37:30:729 342 sec: 69038 operations; 201.4 current ops/sec; est completion in 13 hours 40 minutes [READ: Count=2014, Max=11927, Min=4444, Avg=4956.52, 90=5023, 99=7495, 99.9=11815, 99.99=11927] 
2020-03-23 03:37:40:729 352 sec: 71060 operations; 202.2 current ops/sec; est completion in 13 hours 40 minutes [READ: Count=2022, Max=11847, Min=4316, Avg=4937.37, 90=5035, 99=6479, 99.9=11751, 99.99=11847] 
2020-03-23 03:37:50:729 362 sec: 73076 operations; 201.6 current ops/sec; est completion in 13 hours 40 minutes [READ: Count=2016, Max=11791, Min=4564, Avg=4949.36, 90=5023, 99=6471, 99.9=11775, 99.99=11791] 
2020-03-23 03:38:00:729 372 sec: 75096 operations; 202 current ops/sec; est completion in 13 hours 40 minutes [READ: Count=2020, Max=11823, Min=4288, Avg=4942.84, 90=5031, 99=6483, 99.9=11799, 99.99=11823] 
2020-03-23 03:38:10:729 382 sec: 77116 operations; 202 current ops/sec; est completion in 13 hours 39 minutes [READ: Count=2020, Max=11943, Min=4316, Avg=4940.38, 90=5023, 99=7239, 99.9=11767, 99.99=11943] 
2020-03-23 03:38:20:729 392 sec: 79135 operations; 201.9 current ops/sec; est completion in 13 hours 39 minutes [READ: Count=2019, Max=11799, Min=4312, Avg=4944.29, 90=5035, 99=6799, 99.9=11759, 99.99=11799] 
2020-03-23 03:38:30:729 402 sec: 81162 operations; 202.7 current ops/sec; est completion in 13 hours 39 minutes [READ: Count=2027, Max=11807, Min=4308, Avg=4924.82, 90=5023, 99=6511, 99.9=11767, 99.99=11807] 
2020-03-23 03:38:40:729 412 sec: 83176 operations; 201.4 current ops/sec; est completion in 13 hours 39 minutes [READ: Count=2014, Max=11783, Min=4484, Avg=4955.07, 90=5019, 99=7799, 99.9=11767, 99.99=11783] 
2020-03-23 03:38:50:729 422 sec: 85197 operations; 202.1 current ops/sec; est completion in 13 hours 39 minutes [READ: Count=2021, Max=11911, Min=4328, Avg=4939.43, 90=5027, 99=6511, 99.9=11807, 99.99=11911] 
2020-03-23 03:39:00:729 432 sec: 87195 operations; 199.8 current ops/sec; est completion in 13 hours 39 minutes [READ: Count=1998, Max=11863, Min=4380, Avg=4994.22, 90=5047, 99=8019, 99.9=11807, 99.99=11863] 
2020-03-23 03:39:10:729 442 sec: 89203 operations; 200.8 current ops/sec; est completion in 13 hours 39 minutes [READ: Count=2008, Max=11807, Min=4408, Avg=4970.63, 90=5019, 99=7971, 99.9=11743, 99.99=11807] 
2020-03-23 03:39:20:729 452 sec: 91230 operations; 202.7 current ops/sec; est completion in 13 hours 38 minutes [READ: Count=2027, Max=11791, Min=4276, Avg=4925.21, 90=5031, 99=6527, 99.9=11783, 99.99=11791] 
2020-03-23 03:39:30:729 462 sec: 93241 operations; 201.1 current ops/sec; est completion in 13 hours 38 minutes [READ: Count=2011, Max=11919, Min=4604, Avg=4963.17, 90=5023, 99=6523, 99.9=11839, 99.99=11919] 
2020-03-23 03:39:40:729 472 sec: 95244 operations; 200.3 current ops/sec; est completion in 13 hours 38 minutes [READ: Count=2003, Max=11815, Min=4544, Avg=4983.57, 90=5031, 99=7963, 99.9=11759, 99.99=11815] 
2020-03-23 03:39:50:729 482 sec: 97260 operations; 201.6 current ops/sec; est completion in 13 hours 38 minutes [READ: Count=2017, Max=11839, Min=4628, Avg=4949.4, 90=5027, 99=6447, 99.9=11759, 99.99=11839] 
2020-03-23 03:40:00:729 492 sec: 99268 operations; 200.8 current ops/sec; est completion in 13 hours 38 minutes [READ: Count=2007, Max=11855, Min=4512, Avg=4971.72, 90=5031, 99=7983, 99.9=11767, 99.99=11855] 
2020-03-23 03:40:10:729 502 sec: 101286 operations; 201.8 current ops/sec; est completion in 13 hours 38 minutes [READ: Count=2018, Max=11831, Min=4440, Avg=4944.51, 90=5015, 99=6739, 99.9=11791, 99.99=11831] 
2020-03-23 03:40:20:729 512 sec: 103297 operations; 201.1 current ops/sec; est completion in 13 hours 38 minutes [READ: Count=2011, Max=11847, Min=4444, Avg=4964.54, 90=5023, 99=7883, 99.9=11751, 99.99=11847] 
2020-03-23 03:40:30:729 522 sec: 105316 operations; 201.9 current ops/sec; est completion in 13 hours 37 minutes [READ: Count=2019, Max=11799, Min=4568, Avg=4943.65, 90=5023, 99=6407, 99.9=11775, 99.99=11799] 
2020-03-23 03:40:40:729 532 sec: 107330 operations; 201.4 current ops/sec; est completion in 13 hours 37 minutes [READ: Count=2014, Max=11823, Min=4468, Avg=4954.8, 90=5027, 99=6535, 99.9=11767, 99.99=11823] 
2020-03-23 03:40:50:729 542 sec: 109366 operations; 203.6 current ops/sec; est completion in 13 hours 37 minutes [READ: Count=2036, Max=11855, Min=4296, Avg=4903.45, 90=5027, 99=5655, 99.9=11815, 99.99=11855] 
2020-03-23 03:41:00:730 552 sec: 111375 operations; 200.9 current ops/sec; est completion in 13 hours 37 minutes [READ: Count=2009, Max=11839, Min=4608, Avg=4964.42, 90=5047, 99=6471, 99.9=11711, 99.99=11839] 
2020-03-23 03:41:10:729 562 sec: 113384 operations; 200.9 current ops/sec; est completion in 13 hours 37 minutes [READ: Count=2009, Max=11815, Min=4480, Avg=4968.3, 90=5035, 99=7867, 99.9=11703, 99.99=11815] 
2020-03-23 03:41:20:729 572 sec: 115394 operations; 201 current ops/sec; est completion in 13 hours 37 minutes [READ: Count=2010, Max=11847, Min=4388, Avg=4965.6, 90=5035, 99=7923, 99.9=11815, 99.99=11847] 
2020-03-23 03:41:30:729 582 sec: 117412 operations; 201.8 current ops/sec; est completion in 13 hours 36 minutes [READ: Count=2018, Max=11807, Min=4436, Avg=4947.42, 90=5035, 99=6495, 99.9=11759, 99.99=11807] 
2020-03-23 03:41:40:729 592 sec: 119429 operations; 201.7 current ops/sec; est completion in 13 hours 36 minutes [READ: Count=2017, Max=11775, Min=4624, Avg=4948.43, 90=5027, 99=6419, 99.9=11727, 99.99=11775] 
2020-03-23 03:41:50:729 602 sec: 121448 operations; 201.9 current ops/sec; est completion in 13 hours 36 minutes [READ: Count=2019, Max=11807, Min=4432, Avg=4944.5, 90=5023, 99=6395, 99.9=11743, 99.99=11807] 
2020-03-23 03:42:00:729 612 sec: 123481 operations; 203.3 current ops/sec; est completion in 13 hours 36 minutes [READ: Count=2033, Max=11791, Min=4304, Avg=4908.97, 90=5027, 99=6455, 99.9=11719, 99.99=11791] 
2020-03-23 03:42:10:729 622 sec: 125500 operations; 201.9 current ops/sec; est completion in 13 hours 36 minutes [READ: Count=2019, Max=11823, Min=4576, Avg=4944.88, 90=5043, 99=5327, 99.9=11631, 99.99=11823] 
2020-03-23 03:42:20:729 632 sec: 127522 operations; 202.2 current ops/sec; est completion in 13 hours 35 minutes [READ: Count=2022, Max=11847, Min=4516, Avg=4937.33, 90=5031, 99=5243, 99.9=11679, 99.99=11847] 
2020-03-23 03:42:30:729 642 sec: 129566 operations; 204.4 current ops/sec; est completion in 13 hours 35 minutes [READ: Count=2045, Max=13239, Min=4272, Avg=4882.81, 90=5015, 99=6519, 99.9=11791, 99.99=13239] 
2020-03-23 03:42:40:729 652 sec: 131602 operations; 203.6 current ops/sec; est completion in 13 hours 35 minutes [READ: Count=2036, Max=11839, Min=4344, Avg=4901.95, 90=5015, 99=5215, 99.9=11727, 99.99=11839] 
2020-03-23 03:42:50:729 662 sec: 133648 operations; 204.6 current ops/sec; est completion in 13 hours 34 minutes [READ: Count=2045, Max=11727, Min=4248, Avg=4880.73, 90=5023, 99=6543, 99.9=11711, 99.99=11727] 
2020-03-23 03:43:00:729 672 sec: 135655 operations; 200.7 current ops/sec; est completion in 13 hours 34 minutes [READ: Count=2007, Max=11847, Min=4632, Avg=4973.8, 90=5035, 99=7047, 99.9=11767, 99.99=11847] 
2020-03-23 03:43:10:729 682 sec: 137674 operations; 201.9 current ops/sec; est completion in 13 hours 34 minutes [READ: Count=2019, Max=11791, Min=4504, Avg=4943.15, 90=5023, 99=6415, 99.9=11703, 99.99=11791] 
2020-03-23 03:43:20:729 692 sec: 139698 operations; 202.4 current ops/sec; est completion in 13 hours 34 minutes [READ: Count=2024, Max=11799, Min=4564, Avg=4933.72, 90=5019, 99=6379, 99.9=11783, 99.99=11799] 
2020-03-23 03:43:30:729 702 sec: 141706 operations; 200.8 current ops/sec; est completion in 13 hours 34 minutes [READ: Count=2008, Max=11815, Min=4444, Avg=4970.9, 90=5031, 99=7843, 99.9=11783, 99.99=11815] 
2020-03-23 03:43:40:729 712 sec: 143718 operations; 201.2 current ops/sec; est completion in 13 hours 34 minutes [READ: Count=2013, Max=11895, Min=4408, Avg=4960.12, 90=5035, 99=7815, 99.9=11815, 99.99=11895] 
2020-03-23 03:43:50:729 722 sec: 145766 operations; 204.8 current ops/sec; est completion in 13 hours 33 minutes [READ: Count=2047, Max=11799, Min=4276, Avg=4877.17, 90=5031, 99=6495, 99.9=11711, 99.99=11799] 
2020-03-23 03:44:00:729 732 sec: 147790 operations; 202.4 current ops/sec; est completion in 13 hours 33 minutes [READ: Count=2024, Max=11847, Min=4272, Avg=4931.86, 90=5035, 99=6455, 99.9=11751, 99.99=11847] 
2020-03-23 03:44:10:729 742 sec: 149808 operations; 201.8 current ops/sec; est completion in 13 hours 33 minutes [READ: Count=2018, Max=11831, Min=4312, Avg=4947.54, 90=5027, 99=7939, 99.9=11799, 99.99=11831] 
2020-03-23 03:44:20:729 752 sec: 151838 operations; 203 current ops/sec; est completion in 13 hours 33 minutes [READ: Count=2030, Max=11855, Min=4188, Avg=4918.02, 90=5019, 99=7903, 99.9=11791, 99.99=11855] 
2020-03-23 03:44:30:729 762 sec: 153851 operations; 201.3 current ops/sec; est completion in 13 hours 33 minutes [READ: Count=2013, Max=11855, Min=4324, Avg=4958.04, 90=5027, 99=7999, 99.9=11719, 99.99=11855] 
2020-03-23 03:44:40:729 772 sec: 155859 operations; 200.8 current ops/sec; est completion in 13 hours 33 minutes [READ: Count=2008, Max=11871, Min=4620, Avg=4970.93, 90=5035, 99=7047, 99.9=11799, 99.99=11871] 
2020-03-23 03:44:50:729 782 sec: 157875 operations; 201.6 current ops/sec; est completion in 13 hours 32 minutes [READ: Count=2016, Max=11887, Min=4504, Avg=4953.1, 90=5019, 99=6535, 99.9=11735, 99.99=11887] 
2020-03-23 03:45:00:729 792 sec: 159896 operations; 202.1 current ops/sec; est completion in 13 hours 32 minutes [READ: Count=2021, Max=11759, Min=4256, Avg=4938.09, 90=5023, 99=7975, 99.9=11743, 99.99=11759] 
2020-03-23 03:45:10:729 802 sec: 161916 operations; 202 current ops/sec; est completion in 13 hours 32 minutes [READ: Count=2020, Max=11903, Min=4332, Avg=4942.42, 90=5023, 99=6835, 99.9=11775, 99.99=11903] 
2020-03-23 03:45:20:729 812 sec: 163931 operations; 201.5 current ops/sec; est completion in 13 hours 32 minutes [READ: Count=2015, Max=11855, Min=4540, Avg=4953.02, 90=5023, 99=6507, 99.9=11735, 99.99=11855] 
2020-03-23 03:45:30:729 822 sec: 165962 operations; 203.1 current ops/sec; est completion in 13 hours 32 minutes [READ: Count=2031, Max=11863, Min=4488, Avg=4915.3, 90=5023, 99=5163, 99.9=11639, 99.99=11863] 
2020-03-23 03:45:40:729 832 sec: 167996 operations; 203.4 current ops/sec; est completion in 13 hours 31 minutes [READ: Count=2035, Max=11815, Min=4312, Avg=4907.56, 90=5011, 99=5607, 99.9=11719, 99.99=11815] 
2020-03-23 03:45:50:729 842 sec: 170007 operations; 201.1 current ops/sec; est completion in 13 hours 31 minutes [READ: Count=2010, Max=11839, Min=4300, Avg=4964.56, 90=5027, 99=7963, 99.9=11815, 99.99=11839] 
2020-03-23 03:46:00:729 852 sec: 172019 operations; 201.2 current ops/sec; est completion in 13 hours 31 minutes [READ: Count=2012, Max=11839, Min=4412, Avg=4961.88, 90=5019, 99=8011, 99.9=11823, 99.99=11839] 
2020-03-23 03:46:10:729 862 sec: 174037 operations; 201.8 current ops/sec; est completion in 13 hours 31 minutes [READ: Count=2018, Max=12967, Min=4340, Avg=4946.78, 90=5031, 99=6467, 99.9=11791, 99.99=12967] 
2020-03-23 03:46:20:729 872 sec: 176050 operations; 201.3 current ops/sec; est completion in 13 hours 31 minutes [READ: Count=2013, Max=11783, Min=4340, Avg=4960.03, 90=5027, 99=6695, 99.9=11767, 99.99=11783] 
2020-03-23 03:46:30:729 882 sec: 178058 operations; 200.8 current ops/sec; est completion in 13 hours 31 minutes [READ: Count=2008, Max=11871, Min=4436, Avg=4971.92, 90=5035, 99=8015, 99.9=11759, 99.99=11871] 
2020-03-23 03:46:40:729 892 sec: 180108 operations; 205 current ops/sec; est completion in 13 hours 30 minutes [READ: Count=2050, Max=11807, Min=4324, Avg=4868.86, 90=5003, 99=6455, 99.9=11735, 99.99=11807] 
2020-03-23 03:46:50:729 902 sec: 182123 operations; 201.5 current ops/sec; est completion in 13 hours 30 minutes [READ: Count=2015, Max=11855, Min=4380, Avg=4954.19, 90=5027, 99=7967, 99.9=11799, 99.99=11855] 
2020-03-23 03:47:00:729 912 sec: 184162 operations; 203.9 current ops/sec; est completion in 13 hours 30 minutes [READ: Count=2039, Max=11799, Min=4360, Avg=4896.31, 90=5019, 99=5655, 99.9=11711, 99.99=11799] 
2020-03-23 03:47:10:729 922 sec: 186174 operations; 201.2 current ops/sec; est completion in 13 hours 30 minutes [READ: Count=2012, Max=11887, Min=4496, Avg=4960.67, 90=5043, 99=6463, 99.9=11727, 99.99=11887] 
