2020-03-24 13:01:04:724 290 sec: 11616 operations; 40.2 current ops/sec; est completion in 2 days 21 hours [READ: Count=402, Max=28639, Min=24160, Avg=24845.01, 90=25055, 99=26351, 99.9=28639, 99.99=28639] 
2020-03-24 13:01:14:724 300 sec: 12017 operations; 40.1 current ops/sec; est completion in 2 days 21 hours [READ: Count=401, Max=35327, Min=24240, Avg=24904.2, 90=25039, 99=26351, 99.9=35327, 99.99=35327] 
2020-03-24 13:01:24:724 310 sec: 12420 operations; 40.3 current ops/sec; est completion in 2 days 21 hours [READ: Count=403, Max=27151, Min=24064, Avg=24810.38, 90=25071, 99=25487, 99.9=27151, 99.99=27151] 
2020-03-24 13:01:34:724 320 sec: 12823 operations; 40.3 current ops/sec; est completion in 2 days 21 hours [READ: Count=403, Max=34783, Min=24192, Avg=24798.37, 90=24991, 99=25167, 99.9=34783, 99.99=34783] 
2020-03-24 13:01:44:724 330 sec: 13225 operations; 40.2 current ops/sec; est completion in 2 days 21 hours [READ: Count=402, Max=35231, Min=24304, Avg=24865.61, 90=25023, 99=25599, 99.9=35231, 99.99=35231] 
2020-03-24 13:01:54:724 340 sec: 13627 operations; 40.2 current ops/sec; est completion in 2 days 21 hours [READ: Count=402, Max=35199, Min=24176, Avg=24825.71, 90=25023, 99=25583, 99.9=35199, 99.99=35199] 
2020-03-24 13:02:04:724 350 sec: 14028 operations; 40.1 current ops/sec; est completion in 2 days 21 hours [READ: Count=401, Max=35263, Min=24272, Avg=24972.23, 90=25135, 99=27807, 99.9=35263, 99.99=35263] 
2020-03-24 13:02:14:724 360 sec: 14429 operations; 40.1 current ops/sec; est completion in 2 days 21 hours [READ: Count=401, Max=35231, Min=24352, Avg=24909.79, 90=25119, 99=25695, 99.9=35231, 99.99=35231] 
2020-03-24 13:02:24:724 370 sec: 14831 operations; 40.2 current ops/sec; est completion in 2 days 21 hours [READ: Count=402, Max=26303, Min=24304, Avg=24856.72, 90=25103, 99=25807, 99.9=26303, 99.99=26303] 
2020-03-24 13:02:34:724 380 sec: 15232 operations; 40.1 current ops/sec; est completion in 2 days 21 hours [READ: Count=401, Max=35103, Min=24320, Avg=24883.57, 90=25071, 99=25951, 99.9=35103, 99.99=35103] 
2020-03-24 13:02:44:724 390 sec: 15634 operations; 40.2 current ops/sec; est completion in 2 days 21 hours [READ: Count=403, Max=25903, Min=24288, Avg=24846.71, 90=25071, 99=25439, 99.9=25903, 99.99=25903] 
2020-03-24 13:02:54:724 400 sec: 16037 operations; 40.3 current ops/sec; est completion in 2 days 21 hours [READ: Count=402, Max=35103, Min=24192, Avg=24816.82, 90=25007, 99=25951, 99.9=35103, 99.99=35103] 
2020-03-24 13:03:04:724 410 sec: 16439 operations; 40.2 current ops/sec; est completion in 2 days 21 hours [READ: Count=402, Max=35231, Min=24192, Avg=24845.93, 90=25039, 99=26367, 99.9=35231, 99.99=35231] 
2020-03-24 13:03:14:724 420 sec: 16842 operations; 40.3 current ops/sec; est completion in 2 days 21 hours [READ: Count=403, Max=34847, Min=24288, Avg=24829.86, 90=25055, 99=25295, 99.9=34847, 99.99=34847] 
2020-03-24 13:03:24:724 430 sec: 17243 operations; 40.1 current ops/sec; est completion in 2 days 21 hours [READ: Count=401, Max=35327, Min=24288, Avg=24896.78, 90=25055, 99=26783, 99.9=35327, 99.99=35327] 
2020-03-24 13:03:34:724 440 sec: 17645 operations; 40.2 current ops/sec; est completion in 2 days 21 hours [READ: Count=402, Max=36383, Min=24288, Avg=24871.54, 90=25039, 99=25535, 99.9=36383, 99.99=36383] 
2020-03-24 13:03:44:724 450 sec: 18048 operations; 40.3 current ops/sec; est completion in 2 days 21 hours [READ: Count=403, Max=25295, Min=24112, Avg=24769.61, 90=25023, 99=25215, 99.9=25295, 99.99=25295] 
2020-03-24 13:03:54:724 460 sec: 18451 operations; 40.3 current ops/sec; est completion in 2 days 21 hours [READ: Count=403, Max=26735, Min=24160, Avg=24811.77, 90=25023, 99=25695, 99.9=26735, 99.99=26735] 
2020-03-24 13:04:04:724 470 sec: 18853 operations; 40.2 current ops/sec; est completion in 2 days 21 hours [READ: Count=402, Max=35167, Min=24224, Avg=24854.71, 90=25103, 99=25759, 99.9=35167, 99.99=35167] 
2020-03-24 13:04:14:724 480 sec: 19256 operations; 40.3 current ops/sec; est completion in 2 days 21 hours [READ: Count=403, Max=25631, Min=24208, Avg=24787.99, 90=25039, 99=25503, 99.9=25631, 99.99=25631] 
2020-03-24 13:04:24:724 490 sec: 19658 operations; 40.2 current ops/sec; est completion in 2 days 21 hours [READ: Count=402, Max=35839, Min=24192, Avg=24878.91, 90=25039, 99=26735, 99.9=35839, 99.99=35839] 
2020-03-24 13:04:34:724 500 sec: 20061 operations; 40.3 current ops/sec; est completion in 2 days 21 hours [READ: Count=403, Max=35135, Min=24192, Avg=24786.26, 90=25007, 99=25343, 99.9=35135, 99.99=35135] 
