2020-03-24 13:36:28:150 299 sec: 11969 operations; 40.3 current ops/sec; est completion in 2 days 21 hours [READ: Count=403, Max=26271, Min=24288, Avg=24842.02, 90=25103, 99=25423, 99.9=26271, 99.99=26271] 
2020-03-24 13:36:38:150 309 sec: 12371 operations; 40.2 current ops/sec; est completion in 2 days 21 hours [READ: Count=402, Max=25855, Min=24176, Avg=24850.87, 90=25103, 99=25487, 99.9=25855, 99.99=25855] 
2020-03-24 13:36:48:150 319 sec: 12773 operations; 40.2 current ops/sec; est completion in 2 days 21 hours [READ: Count=402, Max=34879, Min=24304, Avg=24853.19, 90=25087, 99=25535, 99.9=34879, 99.99=34879] 
2020-03-24 13:36:58:150 329 sec: 13174 operations; 40.1 current ops/sec; est completion in 2 days 21 hours [READ: Count=401, Max=35871, Min=24320, Avg=24900.03, 90=25087, 99=25983, 99.9=35871, 99.99=35871] 
2020-03-24 13:37:08:150 339 sec: 13574 operations; 40 current ops/sec; est completion in 2 days 21 hours [READ: Count=400, Max=46975, Min=24176, Avg=25005.78, 90=25151, 99=26895, 99.9=46975, 99.99=46975] 
2020-03-24 13:37:18:150 349 sec: 13975 operations; 40.1 current ops/sec; est completion in 2 days 21 hours [READ: Count=402, Max=35455, Min=24272, Avg=24862.51, 90=25087, 99=25551, 99.9=35455, 99.99=35455] 
2020-03-24 13:37:28:150 359 sec: 14378 operations; 40.3 current ops/sec; est completion in 2 days 21 hours [READ: Count=402, Max=35167, Min=24096, Avg=24837.33, 90=25039, 99=25343, 99.9=35167, 99.99=35167] 
2020-03-24 13:37:38:150 369 sec: 14779 operations; 40.1 current ops/sec; est completion in 2 days 21 hours [READ: Count=401, Max=35327, Min=24368, Avg=24914.85, 90=25119, 99=25343, 99.9=35327, 99.99=35327] 
2020-03-24 13:37:48:150 379 sec: 15181 operations; 40.2 current ops/sec; est completion in 2 days 21 hours [READ: Count=402, Max=33503, Min=24192, Avg=24861.71, 90=25103, 99=25359, 99.9=33503, 99.99=33503] 
2020-03-24 13:37:58:150 389 sec: 15583 operations; 40.2 current ops/sec; est completion in 2 days 21 hours [READ: Count=402, Max=27215, Min=24288, Avg=24862.69, 90=25103, 99=25631, 99.9=27215, 99.99=27215] 
2020-03-24 13:38:08:150 399 sec: 15984 operations; 40.1 current ops/sec; est completion in 2 days 21 hours [READ: Count=401, Max=35167, Min=24192, Avg=24885.63, 90=25119, 99=25583, 99.9=35167, 99.99=35167] 
2020-03-24 13:38:18:150 409 sec: 16387 operations; 40.3 current ops/sec; est completion in 2 days 21 hours [READ: Count=403, Max=35231, Min=24096, Avg=24834.9, 90=25071, 99=25215, 99.9=35231, 99.99=35231] 
2020-03-24 13:38:28:150 419 sec: 16788 operations; 40.1 current ops/sec; est completion in 2 days 21 hours [READ: Count=401, Max=35135, Min=24192, Avg=24870.38, 90=25087, 99=25503, 99.9=35135, 99.99=35135] 
2020-03-24 13:38:38:150 429 sec: 17191 operations; 40.3 current ops/sec; est completion in 2 days 21 hours [READ: Count=403, Max=26735, Min=24080, Avg=24846.35, 90=25071, 99=25279, 99.9=26735, 99.99=26735] 
2020-03-24 13:38:48:150 439 sec: 17593 operations; 40.2 current ops/sec; est completion in 2 days 21 hours [READ: Count=402, Max=25455, Min=24256, Avg=24817.63, 90=25071, 99=25327, 99.9=25455, 99.99=25455] 
2020-03-24 13:38:58:150 449 sec: 17995 operations; 40.2 current ops/sec; est completion in 2 days 21 hours [READ: Count=402, Max=27295, Min=24240, Avg=24872.44, 90=25103, 99=25951, 99.9=27295, 99.99=27295] 
2020-03-24 13:39:08:150 459 sec: 18396 operations; 40.1 current ops/sec; est completion in 2 days 21 hours [READ: Count=401, Max=27455, Min=24240, Avg=24899.01, 90=25151, 99=26447, 99.9=27455, 99.99=27455] 
2020-03-24 13:39:18:150 469 sec: 18799 operations; 40.3 current ops/sec; est completion in 2 days 21 hours [READ: Count=403, Max=26031, Min=24240, Avg=24832.97, 90=25071, 99=25263, 99.9=26031, 99.99=26031] 
2020-03-24 13:39:28:150 479 sec: 19200 operations; 40.1 current ops/sec; est completion in 2 days 21 hours [READ: Count=401, Max=35007, Min=24272, Avg=24896.6, 90=25087, 99=25487, 99.9=35007, 99.99=35007] 
2020-03-24 13:39:38:150 489 sec: 19601 operations; 40.1 current ops/sec; est completion in 2 days 21 hours [READ: Count=401, Max=35135, Min=24304, Avg=24908.55, 90=25103, 99=25487, 99.9=35135, 99.99=35135] 
2020-03-24 13:39:48:150 499 sec: 20003 operations; 40.2 current ops/sec; est completion in 2 days 21 hours [READ: Count=402, Max=35007, Min=24272, Avg=24838.35, 90=25055, 99=25375, 99.9=35007, 99.99=35007] 
2020-03-24 13:39:58:150 509 sec: 20406 operations; 40.3 current ops/sec; est completion in 2 days 21 hours [READ: Count=403, Max=34783, Min=24272, Avg=24844.78, 90=25055, 99=25567, 99.9=34783, 99.99=34783] 
2020-03-24 13:40:08:150 519 sec: 20808 operations; 40.2 current ops/sec; est completion in 2 days 21 hours [READ: Count=402, Max=35167, Min=24304, Avg=24857.69, 90=25071, 99=25343, 99.9=35167, 99.99=35167] 
2020-03-24 13:40:18:150 529 sec: 21210 operations; 40.2 current ops/sec; est completion in 2 days 21 hours [READ: Count=402, Max=35231, Min=23936, Avg=24830.15, 90=25071, 99=25263, 99.9=35231, 99.99=35231] 
