2020-03-23 12:57:57:096 166 sec: 10510 operations; 63.3 current ops/sec; est completion in 1 day 19 hours [READ: Count=633, Max=28239, Min=15152, Avg=15780.58, 90=15855, 99=16943, 99.9=28239, 99.99=28239] 
2020-03-23 12:58:07:096 176 sec: 11146 operations; 63.6 current ops/sec; est completion in 1 day 19 hours [READ: Count=636, Max=22111, Min=15096, Avg=15718.06, 90=15863, 99=16655, 99.9=22111, 99.99=22111] 
2020-03-23 12:58:17:096 186 sec: 11780 operations; 63.4 current ops/sec; est completion in 1 day 19 hours [READ: Count=634, Max=27871, Min=15272, Avg=15753.47, 90=15855, 99=16375, 99.9=27871, 99.99=27871] 
2020-03-23 12:58:27:096 196 sec: 12417 operations; 63.7 current ops/sec; est completion in 1 day 19 hours [READ: Count=637, Max=17471, Min=15144, Avg=15674.41, 90=15823, 99=16447, 99.9=17471, 99.99=17471] 
2020-03-23 12:58:37:096 206 sec: 13057 operations; 64 current ops/sec; est completion in 1 day 19 hours [READ: Count=640, Max=22863, Min=15128, Avg=15619.62, 90=15831, 99=16047, 99.9=22863, 99.99=22863] 
2020-03-23 12:58:47:103 216 sec: 13692 operations; 63.5 current ops/sec; est completion in 1 day 19 hours [READ: Count=635, Max=28127, Min=15104, Avg=15724.04, 90=15863, 99=16303, 99.9=28127, 99.99=28127] 
2020-03-23 12:58:57:096 226 sec: 14328 operations; 63.6 current ops/sec; est completion in 1 day 19 hours [READ: Count=636, Max=17199, Min=15224, Avg=15692.81, 90=15847, 99=16135, 99.9=17199, 99.99=17199] 
2020-03-23 12:59:07:096 236 sec: 14970 operations; 64.2 current ops/sec; est completion in 1 day 19 hours [READ: Count=642, Max=17087, Min=14912, Avg=15567.02, 90=15799, 99=16335, 99.9=17087, 99.99=17087] 
2020-03-23 12:59:17:096 246 sec: 15608 operations; 63.8 current ops/sec; est completion in 1 day 19 hours [READ: Count=639, Max=27759, Min=15024, Avg=15646.85, 90=15815, 99=16367, 99.9=27759, 99.99=27759] 
2020-03-23 12:59:27:096 256 sec: 16244 operations; 63.6 current ops/sec; est completion in 1 day 19 hours [READ: Count=635, Max=27919, Min=15208, Avg=15710.77, 90=15855, 99=16479, 99.9=27919, 99.99=27919] 
2020-03-23 12:59:37:096 266 sec: 16880 operations; 63.6 current ops/sec; est completion in 1 day 19 hours [READ: Count=636, Max=20095, Min=15264, Avg=15706.55, 90=15863, 99=16151, 99.9=20095, 99.99=20095] 
2020-03-23 12:59:47:096 276 sec: 17516 operations; 63.6 current ops/sec; est completion in 1 day 19 hours [READ: Count=636, Max=27967, Min=15088, Avg=15721.04, 90=15847, 99=16911, 99.9=27967, 99.99=27967] 
2020-03-23 12:59:57:096 286 sec: 18151 operations; 63.5 current ops/sec; est completion in 1 day 19 hours [READ: Count=635, Max=28015, Min=15232, Avg=15713.86, 90=15839, 99=16431, 99.9=28015, 99.99=28015] 
2020-03-23 13:00:07:096 296 sec: 18785 operations; 63.4 current ops/sec; est completion in 1 day 19 hours [READ: Count=634, Max=27919, Min=15320, Avg=15750.6, 90=15855, 99=16655, 99.9=27919, 99.99=27919] 
2020-03-23 13:00:17:096 306 sec: 19424 operations; 63.9 current ops/sec; est completion in 1 day 19 hours [READ: Count=639, Max=17711, Min=15056, Avg=15652.43, 90=15831, 99=16119, 99.9=17711, 99.99=17711] 
2020-03-23 13:00:27:096 316 sec: 20059 operations; 63.5 current ops/sec; est completion in 1 day 19 hours [READ: Count=636, Max=27887, Min=15224, Avg=15707.06, 90=15847, 99=16463, 99.9=27887, 99.99=27887] 
2020-03-23 13:00:37:096 326 sec: 20696 operations; 63.7 current ops/sec; est completion in 1 day 19 hours [READ: Count=636, Max=27951, Min=15032, Avg=15693.61, 90=15815, 99=16431, 99.9=27951, 99.99=27951] 
2020-03-23 13:00:47:096 336 sec: 21332 operations; 63.6 current ops/sec; est completion in 1 day 19 hours [READ: Count=636, Max=27855, Min=15208, Avg=15706.83, 90=15847, 99=16303, 99.9=27855, 99.99=27855] 
2020-03-23 13:00:57:096 346 sec: 21970 operations; 63.8 current ops/sec; est completion in 1 day 19 hours [READ: Count=638, Max=17919, Min=15072, Avg=15655.47, 90=15839, 99=16431, 99.9=17919, 99.99=17919] 
