/usr/lib/jvm/java-8-oracle/bin/java -cp /home/gsd/pgs/ycsb/postgrenosql-binding/conf:/home/gsd/pgs/ycsb/conf:/home/gsd/pgs/ycsb/lib/postgresql-9.4.1212.jre7.jar:/home/gsd/pgs/ycsb/lib/json-simple-1.1.1.jar:/home/gsd/pgs/ycsb/lib/postgrenosql-binding-0.18.0-SNAPSHOT.jar:/home/gsd/pgs/ycsb/lib/HdrHistogram-2.1.11.jar:/home/gsd/pgs/ycsb/lib/core-0.18.0-SNAPSHOT.jar:/home/gsd/pgs/ycsb/lib/jackson-mapper-asl-1.9.4.jar:/home/gsd/pgs/ycsb/lib/slf4j-simple-1.7.13.jar:/home/gsd/pgs/ycsb/lib/jackson-core-asl-1.9.4.jar:/home/gsd/pgs/ycsb/lib/htrace-core4-4.1.0-incubating.jar:/home/gsd/pgs/ycsb/lib/slf4j-api-1.7.13.jar site.ycsb.Client -db site.ycsb.postgrenosql.PostgreNoSQLDBClient -s -P workloads/workloada -P postgrenosql.properties -t
Command line: -db site.ycsb.postgrenosql.PostgreNoSQLDBClient -s -P workloads/workloada -P postgrenosql.properties -t
YCSB Client 0.18.0-SNAPSHOT

Loading workload...
Starting test.
Maximum execution time specified as: 2100 secs
2020-03-23 09:57:25:859 0 sec: 0 operations; est completion in 0 second 
2020-03-23 09:57:35:842 10 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-03-23 09:57:45:842 20 sec: 0 operations; est completion in 106751991167300 days 15 hours 
Init soe select init_soe(0, CAST( get_ftw_oid() as INTEGER), 1, CAST (get_original_index_oid() as INTEGER))
Loading oblivious tables.
2020-03-23 09:57:55:842 30 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-03-23 09:58:05:842 40 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-03-23 09:58:15:842 50 sec: 0 operations; est completion in 106751991167300 days 15 hours 
Load complete
DBWrapper: report latency for each error is false and specific error codes to track for latency are: []
2020-03-23 10:01:35:842 199 sec: 14492 operations; 72.8 current ops/sec; est completion in 1 day 14 hours [READ: Count=728, Max=25663, Min=13248, Avg=13729.08, 90=13791, 99=14759, 99.9=25663, 99.99=25663] 
2020-03-23 10:01:45:842 209 sec: 15222 operations; 73 current ops/sec; est completion in 1 day 14 hours [READ: Count=730, Max=21135, Min=13256, Avg=13668.77, 90=13791, 99=14191, 99.9=21135, 99.99=21135] 
2020-03-23 10:01:55:842 219 sec: 15955 operations; 73.3 current ops/sec; est completion in 1 day 14 hours [READ: Count=733, Max=25391, Min=12856, Avg=13639.26, 90=13799, 99=14415, 99.9=25391, 99.99=25391] 
2020-03-23 10:02:05:842 229 sec: 16688 operations; 73.3 current ops/sec; est completion in 1 day 14 hours [READ: Count=733, Max=25343, Min=13096, Avg=13620.67, 90=13783, 99=14255, 99.9=25343, 99.99=25343] 
2020-03-23 10:02:15:843 239 sec: 17417 operations; 72.9 current ops/sec; est completion in 1 day 14 hours [READ: Count=730, Max=25503, Min=13240, Avg=13688.75, 90=13799, 99=14303, 99.9=25503, 99.99=25503] 
2020-03-23 10:02:25:842 249 sec: 18148 operations; 73.1 current ops/sec; est completion in 1 day 14 hours [READ: Count=730, Max=14991, Min=13224, Avg=13664.04, 90=13799, 99=14279, 99.9=14991, 99.99=14991] 
2020-03-23 10:02:35:842 259 sec: 18877 operations; 72.9 current ops/sec; est completion in 1 day 14 hours [READ: Count=729, Max=25615, Min=13240, Avg=13699.37, 90=13791, 99=14023, 99.9=25615, 99.99=25615] 
2020-03-23 10:02:45:842 269 sec: 19608 operations; 73.1 current ops/sec; est completion in 1 day 14 hours [READ: Count=731, Max=25567, Min=13048, Avg=13672.9, 90=13775, 99=14119, 99.9=25567, 99.99=25567] 
2020-03-23 10:02:55:848 279 sec: 20337 operations; 72.9 current ops/sec; est completion in 1 day 14 hours [READ: Count=730, Max=25519, Min=13280, Avg=13695.21, 90=13791, 99=14639, 99.9=25519, 99.99=25519] 
2020-03-23 10:03:05:842 289 sec: 21066 operations; 72.9 current ops/sec; est completion in 1 day 14 hours [READ: Count=728, Max=25583, Min=13328, Avg=13705.38, 90=13783, 99=14615, 99.9=25583, 99.99=25583] 
2020-03-23 10:03:15:842 299 sec: 21796 operations; 73 current ops/sec; est completion in 1 day 14 hours [READ: Count=730, Max=25471, Min=13120, Avg=13682.15, 90=13791, 99=13943, 99.9=25471, 99.99=25471] 
2020-03-23 10:03:25:842 309 sec: 22526 operations; 73 current ops/sec; est completion in 1 day 14 hours [READ: Count=730, Max=25471, Min=13296, Avg=13675.67, 90=13799, 99=14143, 99.9=25471, 99.99=25471] 
2020-03-23 10:03:35:842 319 sec: 23257 operations; 73.1 current ops/sec; est completion in 1 day 14 hours [READ: Count=731, Max=25519, Min=13264, Avg=13662.83, 90=13775, 99=14159, 99.9=25519, 99.99=25519] 
2020-03-23 10:03:45:842 329 sec: 23985 operations; 72.8 current ops/sec; est completion in 1 day 14 hours [READ: Count=728, Max=25695, Min=13336, Avg=13710.04, 90=13783, 99=14439, 99.9=25695, 99.99=25695] 
