2020-03-24 14:11:31:210 291 sec: 11679 operations; 40.3 current ops/sec; est completion in 2 days 21 hours [READ: Count=403, Max=35263, Min=24192, Avg=24849.47, 90=25087, 99=25295, 99.9=35263, 99.99=35263] 
2020-03-24 14:11:41:210 301 sec: 12082 operations; 40.3 current ops/sec; est completion in 2 days 21 hours [READ: Count=403, Max=26063, Min=24272, Avg=24810.26, 90=25055, 99=25215, 99.9=26063, 99.99=26063] 
2020-03-24 14:11:51:210 311 sec: 12484 operations; 40.2 current ops/sec; est completion in 2 days 21 hours [READ: Count=402, Max=35455, Min=24288, Avg=24854.27, 90=25055, 99=25311, 99.9=35455, 99.99=35455] 
2020-03-24 14:12:01:210 321 sec: 12886 operations; 40.2 current ops/sec; est completion in 2 days 21 hours [READ: Count=402, Max=32367, Min=24208, Avg=24862.53, 90=25071, 99=26175, 99.9=32367, 99.99=32367] 
2020-03-24 14:12:11:210 331 sec: 13287 operations; 40.1 current ops/sec; est completion in 2 days 21 hours [READ: Count=401, Max=35327, Min=24080, Avg=24891.01, 90=25055, 99=26399, 99.9=35327, 99.99=35327] 
2020-03-24 14:12:21:210 341 sec: 13690 operations; 40.3 current ops/sec; est completion in 2 days 21 hours [READ: Count=403, Max=34911, Min=24288, Avg=24816.36, 90=25039, 99=25167, 99.9=34911, 99.99=34911] 
2020-03-24 14:12:31:210 351 sec: 14092 operations; 40.2 current ops/sec; est completion in 2 days 21 hours [READ: Count=402, Max=35071, Min=24208, Avg=24838.31, 90=25087, 99=25647, 99.9=35071, 99.99=35071] 
2020-03-24 14:12:41:210 361 sec: 14494 operations; 40.2 current ops/sec; est completion in 2 days 21 hours [READ: Count=402, Max=35071, Min=24304, Avg=24868.78, 90=25071, 99=25311, 99.9=35071, 99.99=35071] 
2020-03-24 14:12:51:210 371 sec: 14897 operations; 40.3 current ops/sec; est completion in 2 days 21 hours [READ: Count=403, Max=25423, Min=24272, Avg=24808.71, 90=25023, 99=25183, 99.9=25423, 99.99=25423] 
2020-03-24 14:13:01:210 381 sec: 15298 operations; 40.1 current ops/sec; est completion in 2 days 21 hours [READ: Count=401, Max=35391, Min=24336, Avg=24914.53, 90=25055, 99=26767, 99.9=35391, 99.99=35391] 
2020-03-24 14:13:11:210 391 sec: 15698 operations; 40 current ops/sec; est completion in 2 days 21 hours [READ: Count=400, Max=35295, Min=24096, Avg=24937, 90=25135, 99=26623, 99.9=35295, 99.99=35295] 
2020-03-24 14:13:21:210 401 sec: 16101 operations; 40.3 current ops/sec; est completion in 2 days 21 hours [READ: Count=403, Max=26447, Min=24208, Avg=24817.85, 90=25039, 99=25455, 99.9=26447, 99.99=26447] 
