2020-04-06 13:11:06:396 298 sec: 11879 operations; 40 current ops/sec; est completion in 2 days 21 hours [READ: Count=400, Max=25727, Min=24400, Avg=24978.52, 90=25215, 99=25455, 99.9=25727, 99.99=25727] 
2020-04-06 13:11:16:396 308 sec: 12279 operations; 40 current ops/sec; est completion in 2 days 21 hours [READ: Count=400, Max=35455, Min=24496, Avg=24996.94, 90=25199, 99=26351, 99.9=35455, 99.99=35455] 
2020-04-06 13:11:26:396 318 sec: 12678 operations; 39.9 current ops/sec; est completion in 2 days 21 hours [READ: Count=399, Max=35167, Min=24352, Avg=25021.11, 90=25199, 99=25935, 99.9=35167, 99.99=35167] 
2020-04-06 13:11:36:396 328 sec: 13078 operations; 40 current ops/sec; est completion in 2 days 21 hours [READ: Count=400, Max=35487, Min=24272, Avg=24987.84, 90=25167, 99=25775, 99.9=35487, 99.99=35487] 
2020-04-06 13:11:46:396 338 sec: 13478 operations; 40 current ops/sec; est completion in 2 days 21 hours [READ: Count=400, Max=26271, Min=24352, Avg=24969.28, 90=25199, 99=25951, 99.9=26271, 99.99=26271] 
2020-04-06 13:11:56:396 348 sec: 13878 operations; 40 current ops/sec; est completion in 2 days 21 hours [READ: Count=400, Max=36063, Min=24352, Avg=24985.82, 90=25215, 99=25887, 99.9=36063, 99.99=36063] 
2020-04-06 13:12:06:396 358 sec: 14277 operations; 39.9 current ops/sec; est completion in 2 days 21 hours [READ: Count=399, Max=35167, Min=24384, Avg=25033.26, 90=25183, 99=25599, 99.9=35167, 99.99=35167] 
2020-04-06 13:12:16:396 368 sec: 14676 operations; 39.9 current ops/sec; est completion in 2 days 21 hours [READ: Count=399, Max=35391, Min=24352, Avg=25036.23, 90=25247, 99=26575, 99.9=35391, 99.99=35391] 
2020-04-06 13:12:26:396 378 sec: 15075 operations; 39.9 current ops/sec; est completion in 2 days 21 hours [READ: Count=399, Max=35071, Min=24384, Avg=25028.45, 90=25231, 99=25647, 99.9=35071, 99.99=35071] 
2020-04-06 13:12:36:396 388 sec: 15476 operations; 40.1 current ops/sec; est completion in 2 days 21 hours [READ: Count=401, Max=26399, Min=24304, Avg=24973.03, 90=25215, 99=25567, 99.9=26399, 99.99=26399] 
2020-04-06 13:12:46:396 398 sec: 15875 operations; 39.9 current ops/sec; est completion in 2 days 21 hours [READ: Count=399, Max=35199, Min=24432, Avg=25015.28, 90=25215, 99=26095, 99.9=35199, 99.99=35199] 
2020-04-06 13:12:56:396 408 sec: 16275 operations; 40 current ops/sec; est completion in 2 days 21 hours [READ: Count=400, Max=35199, Min=24432, Avg=24984.54, 90=25215, 99=25631, 99.9=35199, 99.99=35199] 
2020-04-06 13:13:06:396 418 sec: 16673 operations; 39.8 current ops/sec; est completion in 2 days 21 hours [READ: Count=398, Max=35775, Min=24384, Avg=25077.91, 90=25231, 99=35231, 99.9=35775, 99.99=35775] 
2020-04-06 13:13:16:396 428 sec: 17073 operations; 40 current ops/sec; est completion in 2 days 21 hours [READ: Count=400, Max=34975, Min=24400, Avg=25000.82, 90=25215, 99=26255, 99.9=34975, 99.99=34975] 
2020-04-06 13:13:26:396 438 sec: 17472 operations; 39.9 current ops/sec; est completion in 2 days 21 hours [READ: Count=399, Max=35359, Min=24416, Avg=25051.71, 90=25199, 99=27039, 99.9=35359, 99.99=35359] 
2020-04-06 13:13:36:396 448 sec: 17870 operations; 39.8 current ops/sec; est completion in 2 days 21 hours [READ: Count=398, Max=35551, Min=24304, Avg=25082.81, 90=25231, 99=35263, 99.9=35551, 99.99=35551] 
2020-04-06 13:13:46:396 458 sec: 18270 operations; 40 current ops/sec; est completion in 2 days 21 hours [READ: Count=400, Max=27359, Min=24352, Avg=24984.24, 90=25199, 99=25951, 99.9=27359, 99.99=27359] 
2020-04-06 13:13:56:396 468 sec: 18670 operations; 40 current ops/sec; est completion in 2 days 21 hours [READ: Count=400, Max=36031, Min=24112, Avg=24977.94, 90=25183, 99=25743, 99.9=36031, 99.99=36031] 
2020-04-06 13:14:06:396 478 sec: 19070 operations; 40 current ops/sec; est completion in 2 days 21 hours [READ: Count=400, Max=35103, Min=24288, Avg=25011.76, 90=25183, 99=26127, 99.9=35103, 99.99=35103] 
2020-04-06 13:14:16:396 488 sec: 19469 operations; 39.9 current ops/sec; est completion in 2 days 21 hours [READ: Count=399, Max=35519, Min=24416, Avg=25028.59, 90=25183, 99=26911, 99.9=35519, 99.99=35519] 
2020-04-06 13:14:26:396 498 sec: 19870 operations; 40.1 current ops/sec; est completion in 2 days 21 hours [READ: Count=401, Max=35167, Min=24304, Avg=24936.06, 90=25151, 99=25343, 99.9=35167, 99.99=35167] 
2020-04-06 13:14:36:396 508 sec: 20271 operations; 40.1 current ops/sec; est completion in 2 days 21 hours [READ: Count=401, Max=26255, Min=24368, Avg=24947.89, 90=25183, 99=25551, 99.9=26255, 99.99=26255] 
2020-04-06 13:14:46:396 518 sec: 20669 operations; 39.8 current ops/sec; est completion in 2 days 21 hours [READ: Count=398, Max=35359, Min=24448, Avg=25066.07, 90=25215, 99=27535, 99.9=35359, 99.99=35359] 
2020-04-06 13:14:56:396 528 sec: 21069 operations; 40 current ops/sec; est completion in 2 days 21 hours [READ: Count=400, Max=35423, Min=24368, Avg=24963.38, 90=25151, 99=25423, 99.9=35423, 99.99=35423] 
2020-04-06 13:15:06:396 538 sec: 21469 operations; 40 current ops/sec; est completion in 2 days 21 hours [READ: Count=400, Max=35135, Min=24384, Avg=24991.66, 90=25199, 99=25503, 99.9=35135, 99.99=35135] 
2020-04-06 13:15:16:396 548 sec: 21868 operations; 39.9 current ops/sec; est completion in 2 days 21 hours [READ: Count=399, Max=35391, Min=24336, Avg=25034.83, 90=25231, 99=26319, 99.9=35391, 99.99=35391] 
2020-04-06 13:15:26:396 558 sec: 22269 operations; 40.1 current ops/sec; est completion in 2 days 21 hours [READ: Count=401, Max=25519, Min=24432, Avg=24949.41, 90=25199, 99=25391, 99.9=25519, 99.99=25519] 
2020-04-06 13:15:36:396 568 sec: 22669 operations; 40 current ops/sec; est completion in 2 days 21 hours [READ: Count=400, Max=35423, Min=24416, Avg=24982.26, 90=25199, 99=25423, 99.9=35423, 99.99=35423] 
2020-04-06 13:15:46:396 578 sec: 23069 operations; 40 current ops/sec; est completion in 2 days 21 hours [READ: Count=400, Max=35327, Min=24304, Avg=24998.06, 90=25215, 99=26527, 99.9=35327, 99.99=35327] 
2020-04-06 13:15:56:396 588 sec: 23469 operations; 40 current ops/sec; est completion in 2 days 21 hours [READ: Count=400, Max=27327, Min=24352, Avg=24961.32, 90=25183, 99=25919, 99.9=27327, 99.99=27327] 
2020-04-06 13:16:06:396 598 sec: 23869 operations; 40 current ops/sec; est completion in 2 days 21 hours [READ: Count=400, Max=35327, Min=24192, Avg=24977.98, 90=25199, 99=25727, 99.9=35327, 99.99=35327] 
2020-04-06 13:16:16:396 608 sec: 24269 operations; 40 current ops/sec; est completion in 2 days 21 hours [READ: Count=400, Max=26815, Min=24464, Avg=24977.4, 90=25215, 99=26207, 99.9=26815, 99.99=26815] 
