2020-04-06 12:30:53:990 299 sec: 11916 operations; 40.1 current ops/sec; est completion in 2 days 21 hours [READ: Count=401, Max=35103, Min=24304, Avg=24899.39, 90=25135, 99=25551, 99.9=35103, 99.99=35103] 
2020-04-06 12:31:03:990 309 sec: 12317 operations; 40.1 current ops/sec; est completion in 2 days 21 hours [READ: Count=401, Max=25375, Min=24496, Avg=24952, 90=25183, 99=25359, 99.9=25375, 99.99=25375] 
2020-04-06 12:31:13:990 319 sec: 12717 operations; 40 current ops/sec; est completion in 2 days 21 hours [READ: Count=400, Max=35551, Min=24384, Avg=25003.8, 90=25183, 99=26095, 99.9=35551, 99.99=35551] 
2020-04-06 12:31:23:990 329 sec: 13116 operations; 39.9 current ops/sec; est completion in 2 days 21 hours [READ: Count=399, Max=35391, Min=24368, Avg=25019.61, 90=25231, 99=26127, 99.9=35391, 99.99=35391] 
2020-04-06 12:31:33:990 339 sec: 13516 operations; 40 current ops/sec; est completion in 2 days 21 hours [READ: Count=400, Max=35295, Min=24432, Avg=24957.18, 90=25183, 99=25311, 99.9=35295, 99.99=35295] 
2020-04-06 12:31:43:990 349 sec: 13917 operations; 40.1 current ops/sec; est completion in 2 days 21 hours [READ: Count=401, Max=26975, Min=24208, Avg=24932.65, 90=25151, 99=25839, 99.9=26975, 99.99=26975] 
2020-04-06 12:31:53:990 359 sec: 14317 operations; 40 current ops/sec; est completion in 2 days 21 hours [READ: Count=400, Max=35455, Min=24464, Avg=25009.4, 90=25199, 99=26063, 99.9=35455, 99.99=35455] 
2020-04-06 12:32:03:990 369 sec: 14717 operations; 40 current ops/sec; est completion in 2 days 21 hours [READ: Count=400, Max=35167, Min=24112, Avg=24931.54, 90=25119, 99=25311, 99.9=35167, 99.99=35167] 
2020-04-06 12:32:13:990 379 sec: 15118 operations; 40.1 current ops/sec; est completion in 2 days 21 hours [READ: Count=401, Max=32319, Min=24336, Avg=24945.34, 90=25151, 99=25855, 99.9=32319, 99.99=32319] 
2020-04-06 12:32:23:990 389 sec: 15518 operations; 40 current ops/sec; est completion in 2 days 21 hours [READ: Count=400, Max=35199, Min=24384, Avg=24987.2, 90=25183, 99=26031, 99.9=35199, 99.99=35199] 
2020-04-06 12:32:33:990 399 sec: 15918 operations; 40 current ops/sec; est completion in 2 days 21 hours [READ: Count=400, Max=35039, Min=24352, Avg=24949.18, 90=25135, 99=25295, 99.9=35039, 99.99=35039] 
2020-04-06 12:32:43:990 409 sec: 16318 operations; 40 current ops/sec; est completion in 2 days 21 hours [READ: Count=400, Max=35135, Min=24400, Avg=24981.68, 90=25167, 99=25759, 99.9=35135, 99.99=35135] 
2020-04-06 12:32:53:990 419 sec: 16719 operations; 40.1 current ops/sec; est completion in 2 days 21 hours [READ: Count=401, Max=25807, Min=24240, Avg=24953.28, 90=25167, 99=25375, 99.9=25807, 99.99=25807] 
2020-04-06 12:33:03:990 429 sec: 17120 operations; 40.1 current ops/sec; est completion in 2 days 21 hours [READ: Count=401, Max=35007, Min=24320, Avg=24929.36, 90=25119, 99=25295, 99.9=35007, 99.99=35007] 
2020-04-06 12:33:13:990 439 sec: 17520 operations; 40 current ops/sec; est completion in 2 days 21 hours [READ: Count=400, Max=35327, Min=24448, Avg=24956.7, 90=25151, 99=25775, 99.9=35327, 99.99=35327] 
2020-04-06 12:33:23:990 449 sec: 17920 operations; 40 current ops/sec; est completion in 2 days 21 hours [READ: Count=400, Max=35327, Min=24208, Avg=24977.16, 90=25183, 99=26079, 99.9=35327, 99.99=35327] 
2020-04-06 12:33:33:990 459 sec: 18321 operations; 40.1 current ops/sec; est completion in 2 days 21 hours [READ: Count=401, Max=35231, Min=24192, Avg=24958.04, 90=25151, 99=25391, 99.9=35231, 99.99=35231] 
2020-04-06 12:33:43:990 469 sec: 18721 operations; 40 current ops/sec; est completion in 2 days 21 hours [READ: Count=400, Max=35167, Min=24384, Avg=24967.7, 90=25183, 99=25487, 99.9=35167, 99.99=35167] 
2020-04-06 12:33:53:990 479 sec: 19121 operations; 40 current ops/sec; est completion in 2 days 21 hours [READ: Count=400, Max=26511, Min=24160, Avg=24947.08, 90=25183, 99=25503, 99.9=26511, 99.99=26511] 
2020-04-06 12:34:03:990 489 sec: 19522 operations; 40.1 current ops/sec; est completion in 2 days 21 hours [READ: Count=401, Max=35167, Min=24384, Avg=24953.98, 90=25151, 99=25391, 99.9=35167, 99.99=35167] 
