2020-04-06 19:52:21:536 230 sec: 36578 operations; 158.4 current ops/sec; est completion in 17 hours 24 minutes [READ: Count=1584, Max=14255, Min=5668, Avg=6297.9, 90=6391, 99=9279, 99.9=14215, 99.99=14255] 
2020-04-06 19:52:31:536 240 sec: 38160 operations; 158.2 current ops/sec; est completion in 17 hours 25 minutes [READ: Count=1583, Max=14559, Min=5600, Avg=6302.78, 90=6383, 99=9319, 99.9=14415, 99.99=14559] 
2020-04-06 19:52:41:536 250 sec: 39746 operations; 158.6 current ops/sec; est completion in 17 hours 24 minutes [READ: Count=1585, Max=14391, Min=5644, Avg=6290.48, 90=6383, 99=9231, 99.9=14287, 99.99=14391] 
2020-04-06 19:52:51:535 260 sec: 41341 operations; 159.5 current ops/sec; est completion in 17 hours 24 minutes [READ: Count=1595, Max=14351, Min=5416, Avg=6253.35, 90=6367, 99=9287, 99.9=14319, 99.99=14351] 
2020-04-06 19:53:01:535 270 sec: 42930 operations; 158.9 current ops/sec; est completion in 17 hours 24 minutes [READ: Count=1589, Max=14255, Min=5560, Avg=6278.14, 90=6395, 99=9303, 99.9=14159, 99.99=14255] 
2020-04-06 19:53:11:535 280 sec: 44514 operations; 158.4 current ops/sec; est completion in 17 hours 24 minutes [READ: Count=1584, Max=14103, Min=5704, Avg=6292.28, 90=6387, 99=9255, 99.9=14055, 99.99=14103] 
2020-04-06 19:53:21:535 290 sec: 46100 operations; 158.6 current ops/sec; est completion in 17 hours 24 minutes [READ: Count=1586, Max=14183, Min=5768, Avg=6292.75, 90=6391, 99=9119, 99.9=14095, 99.99=14183] 
2020-04-06 19:53:31:535 300 sec: 47692 operations; 159.2 current ops/sec; est completion in 17 hours 24 minutes [READ: Count=1592, Max=14319, Min=5732, Avg=6263.74, 90=6363, 99=9127, 99.9=14023, 99.99=14319] 
2020-04-06 19:53:41:536 310 sec: 49280 operations; 158.8 current ops/sec; est completion in 17 hours 23 minutes [READ: Count=1588, Max=14335, Min=5864, Avg=6278.36, 90=6379, 99=9063, 99.9=13951, 99.99=14335] 
2020-04-06 19:53:51:535 320 sec: 50868 operations; 158.8 current ops/sec; est completion in 17 hours 23 minutes [READ: Count=1588, Max=14359, Min=5488, Avg=6282.19, 90=6375, 99=9295, 99.9=14199, 99.99=14359] 
2020-04-06 19:54:01:535 330 sec: 52464 operations; 159.6 current ops/sec; est completion in 17 hours 23 minutes [READ: Count=1596, Max=14263, Min=5544, Avg=6249.25, 90=6363, 99=9175, 99.9=14191, 99.99=14263] 
2020-04-06 19:54:11:535 340 sec: 54052 operations; 158.8 current ops/sec; est completion in 17 hours 23 minutes [READ: Count=1588, Max=14303, Min=5704, Avg=6279.77, 90=6387, 99=8959, 99.9=14231, 99.99=14303] 
2020-04-06 19:54:21:535 350 sec: 55631 operations; 157.9 current ops/sec; est completion in 17 hours 23 minutes [READ: Count=1579, Max=14415, Min=5800, Avg=6317.11, 90=6391, 99=9263, 99.9=14295, 99.99=14415] 
2020-04-06 19:54:31:536 360 sec: 57226 operations; 159.5 current ops/sec; est completion in 17 hours 23 minutes [READ: Count=1595, Max=14415, Min=5500, Avg=6252.18, 90=6371, 99=9175, 99.9=14287, 99.99=14415] 
2020-04-06 19:54:41:535 370 sec: 58809 operations; 158.3 current ops/sec; est completion in 17 hours 22 minutes [READ: Count=1583, Max=14351, Min=5776, Avg=6302.41, 90=6387, 99=9191, 99.9=14055, 99.99=14351] 
2020-04-06 19:54:51:536 380 sec: 60400 operations; 159.1 current ops/sec; est completion in 17 hours 22 minutes [READ: Count=1592, Max=14263, Min=5544, Avg=6266.26, 90=6379, 99=8967, 99.9=14223, 99.99=14263] 
2020-04-06 19:55:01:536 390 sec: 61982 operations; 158.2 current ops/sec; est completion in 17 hours 22 minutes [READ: Count=1581, Max=14375, Min=5492, Avg=6310.3, 90=6391, 99=9783, 99.9=14359, 99.99=14375] 
2020-04-06 19:55:11:535 400 sec: 63575 operations; 159.3 current ops/sec; est completion in 17 hours 22 minutes [READ: Count=1593, Max=14335, Min=5748, Avg=6267.87, 90=6375, 99=9207, 99.9=14327, 99.99=14335] 
2020-04-06 19:55:21:535 410 sec: 65158 operations; 158.3 current ops/sec; est completion in 17 hours 22 minutes [READ: Count=1583, Max=14343, Min=5764, Avg=6304.59, 90=6391, 99=9303, 99.9=14319, 99.99=14343] 
2020-04-06 19:55:31:536 420 sec: 66749 operations; 159.1 current ops/sec; est completion in 17 hours 22 minutes [READ: Count=1591, Max=14391, Min=5692, Avg=6279.61, 90=6371, 99=9175, 99.9=14367, 99.99=14391] 
2020-04-06 19:55:41:535 430 sec: 68343 operations; 159.4 current ops/sec; est completion in 17 hours 21 minutes [READ: Count=1595, Max=14391, Min=5576, Avg=6264.44, 90=6371, 99=9343, 99.9=14367, 99.99=14391] 
2020-04-06 19:55:51:536 440 sec: 69936 operations; 159.3 current ops/sec; est completion in 17 hours 21 minutes [READ: Count=1592, Max=14439, Min=5708, Avg=6271.45, 90=6371, 99=9095, 99.9=14343, 99.99=14439] 
2020-04-06 19:56:01:536 450 sec: 71527 operations; 159.1 current ops/sec; est completion in 17 hours 21 minutes [READ: Count=1591, Max=20079, Min=5700, Avg=6277.5, 90=6367, 99=9119, 99.9=14479, 99.99=20079] 
2020-04-06 19:56:11:535 460 sec: 73117 operations; 159 current ops/sec; est completion in 17 hours 21 minutes [READ: Count=1590, Max=14407, Min=5604, Avg=6278.87, 90=6379, 99=9199, 99.9=14263, 99.99=14407] 
2020-04-06 19:56:21:535 470 sec: 74708 operations; 159.1 current ops/sec; est completion in 17 hours 21 minutes [READ: Count=1591, Max=14391, Min=5660, Avg=6275.07, 90=6379, 99=9143, 99.9=14279, 99.99=14391] 
2020-04-06 19:56:31:535 480 sec: 76306 operations; 159.8 current ops/sec; est completion in 17 hours 20 minutes [READ: Count=1598, Max=14359, Min=5736, Avg=6251.09, 90=6367, 99=8959, 99.9=14095, 99.99=14359] 
2020-04-06 19:56:41:535 490 sec: 77894 operations; 158.8 current ops/sec; est completion in 17 hours 20 minutes [READ: Count=1588, Max=14447, Min=5740, Avg=6288.57, 90=6375, 99=9231, 99.9=14383, 99.99=14447] 
2020-04-06 19:56:51:535 500 sec: 79473 operations; 157.9 current ops/sec; est completion in 17 hours 20 minutes [READ: Count=1579, Max=14311, Min=5588, Avg=6325.89, 90=6379, 99=9791, 99.9=14231, 99.99=14311] 
2020-04-06 19:57:01:535 510 sec: 81061 operations; 158.8 current ops/sec; est completion in 17 hours 20 minutes [READ: Count=1588, Max=14383, Min=5556, Avg=6287.74, 90=6375, 99=9167, 99.9=14223, 99.99=14383] 
2020-04-06 19:57:11:535 520 sec: 82652 operations; 159.1 current ops/sec; est completion in 17 hours 20 minutes [READ: Count=1591, Max=14423, Min=5532, Avg=6277.13, 90=6383, 99=9271, 99.9=14343, 99.99=14423] 
