2020-04-06 19:12:13:020 230 sec: 36415 operations; 159.5 current ops/sec; est completion in 17 hours 29 minutes [READ: Count=1594, Max=14263, Min=5724, Avg=6255.65, 90=6379, 99=9079, 99.9=14247, 99.99=14263] 
2020-04-06 19:12:23:020 240 sec: 37998 operations; 158.3 current ops/sec; est completion in 17 hours 29 minutes [READ: Count=1583, Max=14407, Min=5816, Avg=6300.29, 90=6403, 99=8171, 99.9=14383, 99.99=14407] 
2020-04-06 19:12:33:020 250 sec: 39600 operations; 160.2 current ops/sec; est completion in 17 hours 28 minutes [READ: Count=1602, Max=14239, Min=5416, Avg=6226.41, 90=6403, 99=9063, 99.9=14127, 99.99=14239] 
2020-04-06 19:12:43:020 260 sec: 41176 operations; 157.6 current ops/sec; est completion in 17 hours 28 minutes [READ: Count=1576, Max=14383, Min=5840, Avg=6328.22, 90=6411, 99=9143, 99.9=14247, 99.99=14383] 
2020-04-06 19:12:53:020 270 sec: 42745 operations; 156.9 current ops/sec; est completion in 17 hours 28 minutes [READ: Count=1569, Max=14511, Min=5736, Avg=6357.41, 90=6411, 99=9487, 99.9=14447, 99.99=14511] 
2020-04-06 19:13:03:020 280 sec: 44316 operations; 157.1 current ops/sec; est completion in 17 hours 28 minutes [READ: Count=1572, Max=14887, Min=5848, Avg=6345.34, 90=6411, 99=9303, 99.9=14311, 99.99=14887] 
2020-04-06 19:13:13:020 290 sec: 45894 operations; 157.8 current ops/sec; est completion in 17 hours 28 minutes [READ: Count=1577, Max=14359, Min=5772, Avg=6324.05, 90=6403, 99=9287, 99.9=14343, 99.99=14359] 
2020-04-06 19:13:23:020 300 sec: 47462 operations; 156.8 current ops/sec; est completion in 17 hours 28 minutes [READ: Count=1568, Max=14455, Min=5808, Avg=6358.32, 90=6423, 99=9407, 99.9=14223, 99.99=14455] 
2020-04-06 19:13:33:020 310 sec: 49051 operations; 158.9 current ops/sec; est completion in 17 hours 28 minutes [READ: Count=1590, Max=14271, Min=5516, Avg=6276.51, 90=6387, 99=9287, 99.9=14247, 99.99=14271] 
2020-04-06 19:13:43:020 320 sec: 50628 operations; 157.7 current ops/sec; est completion in 17 hours 28 minutes [READ: Count=1577, Max=14423, Min=5812, Avg=6324.27, 90=6403, 99=9199, 99.9=14343, 99.99=14423] 
2020-04-06 19:13:53:020 330 sec: 52216 operations; 158.8 current ops/sec; est completion in 17 hours 28 minutes [READ: Count=1587, Max=14223, Min=5756, Avg=6283.82, 90=6391, 99=9319, 99.9=14135, 99.99=14223] 
2020-04-06 19:14:03:020 340 sec: 53794 operations; 157.8 current ops/sec; est completion in 17 hours 28 minutes [READ: Count=1578, Max=14447, Min=5784, Avg=6318.91, 90=6407, 99=9167, 99.9=14423, 99.99=14447] 
2020-04-06 19:14:13:020 350 sec: 55384 operations; 159 current ops/sec; est completion in 17 hours 27 minutes [READ: Count=1590, Max=14327, Min=5660, Avg=6273.06, 90=6387, 99=8863, 99.9=14287, 99.99=14327] 
2020-04-06 19:14:23:020 360 sec: 56948 operations; 156.4 current ops/sec; est completion in 17 hours 27 minutes [READ: Count=1564, Max=14631, Min=5760, Avg=6376.57, 90=6435, 99=11183, 99.9=14303, 99.99=14631] 
2020-04-06 19:14:33:020 370 sec: 58527 operations; 157.9 current ops/sec; est completion in 17 hours 27 minutes [READ: Count=1579, Max=14295, Min=5752, Avg=6315.72, 90=6403, 99=9255, 99.9=14231, 99.99=14295] 
2020-04-06 19:14:43:020 380 sec: 60102 operations; 157.5 current ops/sec; est completion in 17 hours 27 minutes [READ: Count=1575, Max=14319, Min=5824, Avg=6333.41, 90=6415, 99=9247, 99.9=14103, 99.99=14319] 
2020-04-06 19:14:53:020 390 sec: 61683 operations; 158.1 current ops/sec; est completion in 17 hours 27 minutes [READ: Count=1581, Max=14407, Min=5768, Avg=6308.08, 90=6387, 99=9167, 99.9=14255, 99.99=14407] 
