2020-04-06 10:30:42:924 308 sec: 11986 operations; 39.6 current ops/sec; est completion in 2 days 23 hours [READ: Count=396, Max=27183, Min=24496, Avg=25262.22, 90=25647, 99=26079, 99.9=27183, 99.99=27183] 
2020-04-06 10:30:52:924 318 sec: 12381 operations; 39.5 current ops/sec; est completion in 2 days 23 hours [READ: Count=395, Max=37695, Min=24352, Avg=25275.18, 90=25679, 99=26255, 99.9=37695, 99.99=37695] 
2020-04-06 10:31:02:923 328 sec: 12777 operations; 39.6 current ops/sec; est completion in 2 days 23 hours [READ: Count=396, Max=28207, Min=24304, Avg=25243.31, 90=25647, 99=26287, 99.9=28207, 99.99=28207] 
2020-04-06 10:31:12:924 338 sec: 13171 operations; 39.4 current ops/sec; est completion in 2 days 23 hours [READ: Count=394, Max=34591, Min=24592, Avg=25331.33, 90=25759, 99=27935, 99.9=34591, 99.99=34591] 
2020-04-06 10:31:22:924 348 sec: 13565 operations; 39.4 current ops/sec; est completion in 2 days 23 hours [READ: Count=394, Max=70015, Min=24368, Avg=25376.22, 90=25631, 99=26335, 99.9=70015, 99.99=70015] 
2020-04-06 10:31:32:924 358 sec: 13960 operations; 39.5 current ops/sec; est completion in 2 days 23 hours [READ: Count=395, Max=26207, Min=24512, Avg=25279.25, 90=25631, 99=25935, 99.9=26207, 99.99=26207] 
2020-04-06 10:31:42:924 368 sec: 14356 operations; 39.6 current ops/sec; est completion in 2 days 23 hours [READ: Count=396, Max=33023, Min=24464, Avg=25285.31, 90=25647, 99=27135, 99.9=33023, 99.99=33023] 
2020-04-06 10:31:52:923 378 sec: 14751 operations; 39.5 current ops/sec; est completion in 2 days 23 hours [READ: Count=395, Max=27439, Min=24448, Avg=25252.03, 90=25615, 99=26319, 99.9=27439, 99.99=27439] 
2020-04-06 10:32:02:924 388 sec: 15147 operations; 39.6 current ops/sec; est completion in 2 days 23 hours [READ: Count=396, Max=32351, Min=24512, Avg=25243.39, 90=25583, 99=26159, 99.9=32351, 99.99=32351] 
2020-04-06 10:32:12:923 398 sec: 15542 operations; 39.5 current ops/sec; est completion in 2 days 23 hours [READ: Count=395, Max=32639, Min=24512, Avg=25290.51, 90=25631, 99=27455, 99.9=32639, 99.99=32639] 
2020-04-06 10:32:22:924 408 sec: 15938 operations; 39.6 current ops/sec; est completion in 2 days 23 hours [READ: Count=396, Max=26719, Min=24448, Avg=25262.1, 90=25631, 99=26015, 99.9=26719, 99.99=26719] 
2020-04-06 10:32:32:923 418 sec: 16334 operations; 39.6 current ops/sec; est completion in 2 days 23 hours [READ: Count=396, Max=25967, Min=24368, Avg=25189.17, 90=25519, 99=25791, 99.9=25967, 99.99=25967] 
2020-04-06 10:32:42:924 428 sec: 16730 operations; 39.6 current ops/sec; est completion in 2 days 22 hours [READ: Count=396, Max=29807, Min=24512, Avg=25267.68, 90=25615, 99=28079, 99.9=29807, 99.99=29807] 
2020-04-06 10:32:52:923 438 sec: 17127 operations; 39.7 current ops/sec; est completion in 2 days 22 hours [READ: Count=397, Max=34687, Min=24400, Avg=25179.04, 90=25487, 99=25871, 99.9=34687, 99.99=34687] 
2020-04-06 10:33:02:923 448 sec: 17524 operations; 39.7 current ops/sec; est completion in 2 days 22 hours [READ: Count=397, Max=35647, Min=24432, Avg=25185.33, 90=25439, 99=25935, 99.9=35647, 99.99=35647] 
2020-04-06 10:33:12:924 458 sec: 17921 operations; 39.7 current ops/sec; est completion in 2 days 22 hours [READ: Count=397, Max=31071, Min=24432, Avg=25126.03, 90=25423, 99=27151, 99.9=31071, 99.99=31071] 
2020-04-06 10:33:22:924 468 sec: 18319 operations; 39.8 current ops/sec; est completion in 2 days 22 hours [READ: Count=398, Max=29247, Min=24464, Avg=25113.05, 90=25423, 99=25839, 99.9=29247, 99.99=29247] 
2020-04-06 10:33:32:923 478 sec: 18718 operations; 39.9 current ops/sec; est completion in 2 days 22 hours [READ: Count=399, Max=25663, Min=24176, Avg=25028.43, 90=25343, 99=25583, 99.9=25663, 99.99=25663] 
2020-04-06 10:33:42:924 488 sec: 19116 operations; 39.8 current ops/sec; est completion in 2 days 22 hours [READ: Count=398, Max=32991, Min=24320, Avg=25113.95, 90=25423, 99=27311, 99.9=32991, 99.99=32991] 
2020-04-06 10:33:52:923 498 sec: 19514 operations; 39.8 current ops/sec; est completion in 2 days 22 hours [READ: Count=398, Max=35551, Min=24432, Avg=25152.92, 90=25375, 99=26143, 99.9=35551, 99.99=35551] 
2020-04-06 10:34:02:923 508 sec: 19911 operations; 39.7 current ops/sec; est completion in 2 days 22 hours [READ: Count=397, Max=26943, Min=24496, Avg=25148.11, 90=25471, 99=25967, 99.9=26943, 99.99=26943] 
2020-04-06 10:34:12:924 518 sec: 20309 operations; 39.8 current ops/sec; est completion in 2 days 22 hours [READ: Count=398, Max=27071, Min=24496, Avg=25127.88, 90=25391, 99=26207, 99.9=27071, 99.99=27071] 
2020-04-06 10:34:22:924 528 sec: 20705 operations; 39.6 current ops/sec; est completion in 2 days 22 hours [READ: Count=396, Max=35839, Min=24496, Avg=25221.88, 90=25455, 99=28911, 99.9=35839, 99.99=35839] 
2020-04-06 10:34:32:923 538 sec: 21102 operations; 39.7 current ops/sec; est completion in 2 days 22 hours [READ: Count=397, Max=26143, Min=24512, Avg=25145.69, 90=25423, 99=25711, 99.9=26143, 99.99=26143] 
2020-04-06 10:34:42:923 548 sec: 21500 operations; 39.8 current ops/sec; est completion in 2 days 22 hours [READ: Count=398, Max=35359, Min=24512, Avg=25151.26, 90=25423, 99=26767, 99.9=35359, 99.99=35359] 
2020-04-06 10:34:52:923 558 sec: 21896 operations; 39.6 current ops/sec; est completion in 2 days 22 hours [READ: Count=396, Max=35391, Min=24576, Avg=25217.7, 90=25471, 99=29343, 99.9=35391, 99.99=35391] 
2020-04-06 10:35:02:924 568 sec: 22294 operations; 39.8 current ops/sec; est completion in 2 days 22 hours [READ: Count=398, Max=25887, Min=24416, Avg=25122.53, 90=25455, 99=25679, 99.9=25887, 99.99=25887] 
2020-04-06 10:35:12:924 578 sec: 22691 operations; 39.7 current ops/sec; est completion in 2 days 22 hours [READ: Count=397, Max=26831, Min=24448, Avg=25172.57, 90=25503, 99=26015, 99.9=26831, 99.99=26831] 
2020-04-06 10:35:22:923 588 sec: 23090 operations; 39.9 current ops/sec; est completion in 2 days 22 hours [READ: Count=399, Max=35647, Min=24192, Avg=25020.43, 90=25311, 99=26575, 99.9=35647, 99.99=35647] 
2020-04-06 10:35:32:923 598 sec: 23489 operations; 39.9 current ops/sec; est completion in 2 days 22 hours [READ: Count=399, Max=26719, Min=24512, Avg=25061.27, 90=25343, 99=25679, 99.9=26719, 99.99=26719] 
2020-04-06 10:35:42:923 608 sec: 23887 operations; 39.8 current ops/sec; est completion in 2 days 22 hours [READ: Count=398, Max=27583, Min=24352, Avg=25066.85, 90=25327, 99=26911, 99.9=27583, 99.99=27583] 
2020-04-06 10:35:52:923 618 sec: 24286 operations; 39.9 current ops/sec; est completion in 2 days 22 hours [READ: Count=399, Max=29279, Min=24208, Avg=25055.78, 90=25359, 99=26495, 99.9=29279, 99.99=29279] 
2020-04-06 10:36:02:924 628 sec: 24684 operations; 39.8 current ops/sec; est completion in 2 days 22 hours [READ: Count=398, Max=35615, Min=24384, Avg=25097.65, 90=25327, 99=25567, 99.9=35615, 99.99=35615] 
2020-04-06 10:36:12:924 638 sec: 25083 operations; 39.9 current ops/sec; est completion in 2 days 22 hours [READ: Count=399, Max=35455, Min=24544, Avg=25087.02, 90=25327, 99=26255, 99.9=35455, 99.99=35455] 
2020-04-06 10:36:22:923 648 sec: 25481 operations; 39.8 current ops/sec; est completion in 2 days 22 hours [READ: Count=398, Max=34751, Min=24304, Avg=25068.4, 90=25311, 99=25711, 99.9=34751, 99.99=34751] 
2020-04-06 10:36:32:924 658 sec: 25880 operations; 39.9 current ops/sec; est completion in 2 days 22 hours [READ: Count=399, Max=27071, Min=24336, Avg=25060.11, 90=25359, 99=25967, 99.9=27071, 99.99=27071] 
2020-04-06 10:36:42:923 668 sec: 26277 operations; 39.7 current ops/sec; est completion in 2 days 22 hours [READ: Count=397, Max=35519, Min=24608, Avg=25193.59, 90=25439, 99=27807, 99.9=35519, 99.99=35519] 
2020-04-06 10:36:52:923 678 sec: 26674 operations; 39.7 current ops/sec; est completion in 2 days 22 hours [READ: Count=397, Max=35519, Min=24512, Avg=25154.96, 90=25359, 99=28095, 99.9=35519, 99.99=35519] 
2020-04-06 10:37:02:924 688 sec: 27072 operations; 39.8 current ops/sec; est completion in 2 days 22 hours [READ: Count=398, Max=25823, Min=24464, Avg=25070.51, 90=25343, 99=25743, 99.9=25823, 99.99=25823] 
2020-04-06 10:37:12:924 698 sec: 27469 operations; 39.7 current ops/sec; est completion in 2 days 22 hours [READ: Count=397, Max=36223, Min=24480, Avg=25223.7, 90=25455, 99=28671, 99.9=36223, 99.99=36223] 
2020-04-06 10:37:22:924 708 sec: 27866 operations; 39.7 current ops/sec; est completion in 2 days 22 hours [READ: Count=397, Max=29295, Min=24272, Avg=25120.91, 90=25439, 99=27007, 99.9=29295, 99.99=29295] 
2020-04-06 10:37:32:924 718 sec: 28264 operations; 39.8 current ops/sec; est completion in 2 days 22 hours [READ: Count=398, Max=35487, Min=24480, Avg=25146.73, 90=25407, 99=25807, 99.9=35487, 99.99=35487] 
2020-04-06 10:37:42:924 728 sec: 28661 operations; 39.7 current ops/sec; est completion in 2 days 22 hours [READ: Count=397, Max=35327, Min=24528, Avg=25133.34, 90=25375, 99=26399, 99.9=35327, 99.99=35327] 
2020-04-06 10:37:52:924 738 sec: 29058 operations; 39.7 current ops/sec; est completion in 2 days 22 hours [READ: Count=397, Max=35231, Min=24528, Avg=25202.1, 90=25423, 99=27823, 99.9=35231, 99.99=35231] 
2020-04-06 10:38:02:924 748 sec: 29456 operations; 39.8 current ops/sec; est completion in 2 days 22 hours [READ: Count=398, Max=35423, Min=24496, Avg=25116.96, 90=25375, 99=25647, 99.9=35423, 99.99=35423] 
2020-04-06 10:38:12:923 758 sec: 29854 operations; 39.8 current ops/sec; est completion in 2 days 22 hours [READ: Count=398, Max=27471, Min=24480, Avg=25108.86, 90=25375, 99=25967, 99.9=27471, 99.99=27471] 
2020-04-06 10:38:22:923 768 sec: 30250 operations; 39.6 current ops/sec; est completion in 2 days 22 hours [READ: Count=396, Max=36063, Min=24448, Avg=25196.08, 90=25471, 99=26847, 99.9=36063, 99.99=36063] 
2020-04-06 10:38:32:923 778 sec: 30648 operations; 39.8 current ops/sec; est completion in 2 days 22 hours [READ: Count=398, Max=35103, Min=24384, Avg=25112.74, 90=25375, 99=25727, 99.9=35103, 99.99=35103] 
2020-04-06 10:38:42:923 788 sec: 31045 operations; 39.7 current ops/sec; est completion in 2 days 22 hours [READ: Count=397, Max=35743, Min=24496, Avg=25190.75, 90=25407, 99=27343, 99.9=35743, 99.99=35743] 
2020-04-06 10:38:52:923 798 sec: 31443 operations; 39.8 current ops/sec; est completion in 2 days 22 hours [READ: Count=398, Max=26399, Min=24576, Avg=25083.58, 90=25391, 99=25871, 99.9=26399, 99.99=26399] 
2020-04-06 10:39:02:923 808 sec: 31842 operations; 39.9 current ops/sec; est completion in 2 days 22 hours [READ: Count=399, Max=26271, Min=24464, Avg=25050.61, 90=25343, 99=25743, 99.9=26271, 99.99=26271] 
2020-04-06 10:39:12:923 818 sec: 32241 operations; 39.9 current ops/sec; est completion in 2 days 22 hours [READ: Count=399, Max=27375, Min=24384, Avg=25067.57, 90=25343, 99=25935, 99.9=27375, 99.99=27375] 
2020-04-06 10:39:22:923 828 sec: 32639 operations; 39.8 current ops/sec; est completion in 2 days 22 hours [READ: Count=398, Max=33791, Min=24416, Avg=25067.56, 90=25327, 99=25759, 99.9=33791, 99.99=33791] 
2020-04-06 10:39:32:923 838 sec: 33037 operations; 39.8 current ops/sec; est completion in 2 days 22 hours [READ: Count=398, Max=38207, Min=24288, Avg=25120.72, 90=25359, 99=25647, 99.9=38207, 99.99=38207] 
2020-04-06 10:39:42:923 848 sec: 33435 operations; 39.8 current ops/sec; est completion in 2 days 22 hours [READ: Count=398, Max=35231, Min=24512, Avg=25090.71, 90=25327, 99=26255, 99.9=35231, 99.99=35231] 
2020-04-06 10:39:52:923 858 sec: 33834 operations; 39.9 current ops/sec; est completion in 2 days 22 hours [READ: Count=399, Max=26527, Min=24496, Avg=25035.77, 90=25279, 99=25727, 99.9=26527, 99.99=26527] 
2020-04-06 10:40:02:923 868 sec: 34232 operations; 39.8 current ops/sec; est completion in 2 days 22 hours [READ: Count=398, Max=35487, Min=24208, Avg=25114.73, 90=25327, 99=27551, 99.9=35487, 99.99=35487] 
2020-04-06 10:40:12:923 878 sec: 34631 operations; 39.9 current ops/sec; est completion in 2 days 22 hours [READ: Count=399, Max=35167, Min=24416, Avg=25078.54, 90=25359, 99=26431, 99.9=35167, 99.99=35167] 
2020-04-06 10:40:22:923 888 sec: 35029 operations; 39.8 current ops/sec; est completion in 2 days 22 hours [READ: Count=398, Max=35007, Min=24464, Avg=25058.99, 90=25295, 99=26095, 99.9=35007, 99.99=35007] 
2020-04-06 10:40:32:923 898 sec: 35428 operations; 39.9 current ops/sec; est completion in 2 days 22 hours [READ: Count=399, Max=35103, Min=24352, Avg=25069.55, 90=25327, 99=25775, 99.9=35103, 99.99=35103] 
2020-04-06 10:40:42:923 908 sec: 35826 operations; 39.8 current ops/sec; est completion in 2 days 22 hours [READ: Count=398, Max=35455, Min=24496, Avg=25134.61, 90=25311, 99=28223, 99.9=35455, 99.99=35455] 
2020-04-06 10:40:52:923 918 sec: 36225 operations; 39.9 current ops/sec; est completion in 2 days 22 hours [READ: Count=399, Max=35231, Min=24352, Avg=25024.96, 90=25263, 99=25583, 99.9=35231, 99.99=35231] 
2020-04-06 10:41:02:923 928 sec: 36623 operations; 39.8 current ops/sec; est completion in 2 days 22 hours [READ: Count=398, Max=35039, Min=24528, Avg=25087.96, 90=25295, 99=26767, 99.9=35039, 99.99=35039] 
2020-04-06 10:41:12:923 938 sec: 37022 operations; 39.9 current ops/sec; est completion in 2 days 22 hours [READ: Count=399, Max=35391, Min=24384, Avg=25041.84, 90=25295, 99=26959, 99.9=35391, 99.99=35391] 
2020-04-06 10:41:22:923 948 sec: 37420 operations; 39.8 current ops/sec; est completion in 2 days 22 hours [READ: Count=398, Max=35455, Min=24432, Avg=25093.99, 90=25311, 99=26815, 99.9=35455, 99.99=35455] 
2020-04-06 10:41:32:923 958 sec: 37819 operations; 39.9 current ops/sec; est completion in 2 days 22 hours [READ: Count=399, Max=28927, Min=24336, Avg=25084.77, 90=25311, 99=26431, 99.9=28927, 99.99=28927] 
2020-04-06 10:41:42:923 968 sec: 38217 operations; 39.8 current ops/sec; est completion in 2 days 22 hours [READ: Count=398, Max=35199, Min=24512, Avg=25069.17, 90=25295, 99=26415, 99.9=35199, 99.99=35199] 
