# NRows Mean     Lower    Upper   
   1880 5.60     -3.71    14.91   
   1890 9.80     2.84     16.76   
   1900 10.40    2.03     18.77   
   1910 5.40     1.96     8.84    
   1920 23.40    -18.38   65.18   
   1930 3.40     0.53     6.27    
   1940 4.80     -0.50    10.10   
   1950 6.20     2.42     9.98    
   1960 4.20     0.61     7.79    
   1970 5.40     -0.46    11.26   
   1980 4.20     0.46     7.94    
   1990 2.20     -1.54    5.94    
   2000 5.80     4.27     7.33    
   2010 2.80     -0.94    6.54    
   2020 1.80     -1.63    5.23    
   2030 1.80     0.27     3.33    
   2040 3.60     -0.60    7.80    
   2050 2.20     0.08     4.32    
   2060 3.00     -0.52    6.52    
   2070 12.40    -6.83    31.63   
   2080 1.20     -1.09    3.49    
   2090 1.00     -0.48    2.48    
   2100 11.20    -8.31    30.71   
   2110 0.40     -0.36    1.16    
   2120 0.20     -0.18    0.58    
   2130 4.20     -3.81    12.21   
   2140 0.20     -0.18    0.58    
   2150 36.60    -33.19   106.39  
   2160 1.40     -0.82    3.62    
   2170 0.00     0.00     0.00    
   2180 3.00     -0.13    6.13    
   2190 0.00     0.00     0.00    
   2200 1.60     -1.00    4.20    
   2210 2.80     -0.94    6.54    
   2220 0.20     -0.18    0.58    
   2230 0.00     0.00     0.00    
   2240 2.60     -2.36    7.56    
   2250 0.60     -0.54    1.74    
   2260 0.60     -0.54    1.74    
   2270 0.60     -0.54    1.74    
   2280 0.80     -0.73    2.33    
   2290 2.20     -1.99    6.39    
   2300 4.20     -2.47    10.87   
   2310 2.20     -0.52    4.92    
   2320 2.60     -0.62    5.82    
   2330 3.80     -2.98    10.58   
   2340 1.40     -1.27    4.07    
   2350 2.40     -0.47    5.27    
   2360 2.00     -1.81    5.81    
   2370 0.80     -0.31    1.91    
   2380 2.60     -0.57    5.77    
   2390 5.40     0.82     9.98    
WARNING! More run are needed to calculate a 0.950000 confidence interval of with 5 accuracy.
A total of 5 runs were executed but the ideal size is 398398771628556114984960.000000.
