# NRows Mean     Lower    Upper   
   1750 58.00    -41.75   157.75  
   1760 36.20    -28.62   101.02  
   1770 31.80    -24.64   88.24   
   1780 42.00    -29.37   113.37  
   1790 36.80    -30.55   104.15  
   1800 42.60    -32.59   117.79  
   1810 35.20    -31.92   102.32  
   1820 31.00    -25.29   87.29   
   1830 32.20    -19.36   83.76   
   1840 35.40    -16.66   87.46   
   1850 43.20    -23.35   109.75  
   1860 34.80    -13.08   82.68   
   1870 39.20    -17.68   96.08   
   1880 32.00    -15.26   79.26   
   1890 25.60    -10.99   62.19   
   1900 33.20    -18.61   85.01   
   1910 24.40    -14.94   63.74   
   1920 29.20    -14.00   72.40   
   1930 18.80    -10.03   47.63   
   1940 24.80    -9.34    58.94   
   1950 17.60    -6.86    42.06   
   1960 29.40    -16.89   75.69   
   1970 16.40    -9.13    41.93   
   1980 21.20    -4.95    47.35   
   1990 13.60    -5.63    32.83   
   2000 25.40    -10.83   61.63   
   2010 19.60    -16.36   55.56   
   2020 26.00    -9.04    61.04   
   2030 21.20    -9.82    52.22   
   2040 14.20    -4.27    32.67   
   2050 18.40    -7.50    44.30   
   2060 19.20    -9.23    47.63   
   2070 1305.40  -1177.52 3788.32 
   2080 17.00    -4.45    38.45   
   2090 23.00    -14.96   60.96   
   2100 19.00    -9.06    47.06   
   2110 10.40    -6.71    27.51   
   2120 18.00    -12.22   48.22   
   2130 14.20    -8.83    37.23   
   2140 19.40    -13.47   52.27   
   2150 23.40    -11.68   58.48   
   2160 18.40    -7.50    44.30   
   2170 18.00    -12.22   48.22   
   2180 14.40    -7.40    36.20   
   2190 18.60    -14.08   51.28   
   2200 18.20    -9.51    45.91   
   2210 12.80    -4.08    29.68   
   2220 19.00    -10.21   48.21   
   2230 19.40    -13.47   52.27   
   2240 16.00    -13.10   45.10   
   2250 11.00    -7.25    29.25   
   2260 15.00    -9.54    39.54   
   2270 17.80    -7.02    42.62   
   2280 10.00    -5.15    25.15   
   2290 11.40    -6.36    29.16   
   2300 16.20    -5.76    38.16   
   2310 13.60    -6.71    33.91   
   2320 11.60    -7.79    30.99   
   2330 15.20    -9.72    40.12   
   2340 10.20    -6.54    26.94   
   2350 11.80    -4.20    27.80   
   2360 9.80     -4.97    24.57   
   2370 9.80     -4.97    24.57   
   2380 10.60    -4.21    25.41   
   2390 11.20    -4.70    27.10   
   2400 17.80    0.14     35.46   
   2410 0.60     -0.54    1.74    
   2420 1.80     -1.63    5.23    
   2430 1.20     -1.09    3.49    
   2440 5.80     -5.26    16.86   
   2450 2.60     -2.36    7.56    
   2460 1.80     -1.63    5.23    
   2470 1.80     -1.63    5.23    
WARNING! More run are needed to calculate a 0.950000 confidence interval of with 5 accuracy.
A total of 5 runs were executed but the ideal size is 398398771628560074407936.000000.
