# NRows Mean     Lower    Upper   
      4 3.78     3.77     3.78    
      6 4.95     4.94     4.96    
      8 9.74     9.72     9.76    
     10 11.80    11.63    11.96   
     12 13.70    13.69    13.71   
     14 15.70    15.67    15.73   
     16 24.88    24.87    24.89   
