# NRows Mean     Lower    Upper   
      4 1.12     1.12     1.13    
      6 1.34     1.33     1.34    
      8 2.44     2.44     2.44    
      10 2.89     2.88     2.91    
     12 3.78     3.76     3.79    
     14 4.57     4.55     4.58    
     16 6.31     6.30     6.32    
