# size forestoram lowbound highbound PathORAM lowbound highbound
1024 121.01 120.62 121.41 301.99 301.28 302.71
4096 168.53 168.23 168.83 382.48 380.47 384.49
16384 218.16 216.95 219.37 466.38 463.49 469.28
65536 261.94 259.76 264.12 549.00 547.55 550.45
262144 297.11 291.17 303.05 657.53 655.22 659.85
1048576 390.60 388.76 392.43 766.25 755.56 776.95
