# NRows Mean   Lower  Upper 
   16 264.07 263.76 264.38
   64 201.62 201.44 201.80
  256 102.53 102.31 102.76
 1024  84.68  83.54  85.82
 4096  72.92  72.86  72.98
16384  63.62  63.51  63.73
65536  40.16  40.14  40.17
