# NRows Mean     Lower    Upper   
   1710 18320.80 3327.44  33314.16
   1720 8899.60  -283.74  18082.94
   1730 36114.00 22716.04 49511.96
   1740 18242.80 3235.05  33250.55
   1750 4129.40  4106.69  4152.11 
   1760 31798.20 9677.89  53918.51
   1770 27741.80 5038.49  50445.11
   1780 4111.80  4106.63  4116.97 
   1790 31586.20 9656.23  53516.17
   1800 27358.20 5192.25  49524.15
   1810 4110.00  4079.52  4140.48 
   1820 24869.00 580.83   49157.17
   1830 26169.00 3717.81  48620.19
   1840 12689.20 -3635.15 29013.55
   1850 24354.00 708.34   47999.66
   1860 26345.60 3559.34  49131.86
   1870 12771.80 -3788.75 29332.35
   1880 21762.20 767.07   42757.33
   1890 29285.80 8374.59  50197.01
   1900 12669.60 -3697.06 29036.26
   1910 21546.40 707.66   42385.14
   1920 24379.40 4976.50  43782.30
   1930 17425.40 -1988.80 36839.60
   1940 21546.40 719.11   42373.69
   1950 21450.80 5815.46  37086.14
   1960 20041.60 1862.53  38220.67
   1970 11418.60 -2474.42 25311.62
   1980 31982.60 14504.23 49460.97
   1990 11512.40 5493.92  17530.88
   2000 20094.00 1316.33  38871.67
   2010 31874.20 14433.61 49314.79
   2020 11591.80 5458.69  17724.91
   2030 20189.20 1303.65  39074.75
   2040 24372.20 4975.28  43769.12
   2050 19244.40 640.88   37847.92
   2060 12745.00 -3707.68 29197.68
   2070 32445.20 9716.72  55173.68
   2080 17441.00 -1992.93 36874.93
   2090 14756.20 -5547.12 35059.52
   2100 31770.60 9702.10  53839.10
   2110 14839.40 26.60    29652.20
   2120 17073.00 -2373.53 36519.53
   2130 24237.40 668.44   47806.36
   2140 21898.60 789.52   43007.68
   2150 8760.00  3114.14  14405.86
   2160 32886.20 10314.31 55458.09
   2170 21839.80 741.01   42938.59
   2180 8753.60  3102.67  14404.53
   2190 33167.80 10418.70 55916.90
   2200 20874.40 522.61   41226.19
   2210 9748.60  2494.63  17002.57
   2220 30218.80 9469.60  50968.00
   2230 17165.40 -1648.26 35979.06
   2240 14613.80 -5497.21 34724.81
   2250 32065.40 9722.53  54408.27
   2260 14494.80 511.86   28477.74
   2270 17393.60 -1823.70 36610.90
   2280 21961.40 554.35   43368.45
   2290 24620.20 5069.88  44170.52
   2300 14547.00 483.80   28610.20
   2310 16198.00 3163.26  29232.74
   2320 33445.20 15135.89 51754.51
   2330 14342.20 469.76   28214.64
   2340 16281.00 3223.25  29338.75
   2350 25678.20 5148.31  46208.09
   2360 22190.20 590.86   43789.54
   2370 8798.20  3033.07  14563.33
   2380 33205.80 10347.09 56064.51
   2390 16805.20 -2437.51 36047.91
   2400 12209.80 -3260.05 27679.65
   2410 10957.60 -9936.15 31851.35
   2420 821.40   -744.83  2387.63 
   2430 811.20   -735.58  2357.98 
   2440 10926.80 -9908.22 31761.82
   2450 821.60   -745.01  2388.21 
   2460 822.60   -745.92  2391.12 
   2470 11018.60 -9991.47 32028.67
WARNING! More run are needed to calculate a 0.950000 confidence interval of with 5 accuracy.
A total of 5 runs were executed but the ideal size is 398398771628560074407936.000000.
