885.87	1.12 1.12 1.13
746.71	1.34 1.33 1.34
408.45	2.44 2.44 2.44
344.30	2.89 2.88 2.91
264.00	3.78 3.76 3.79
218.48	4.57 4.55 4.58
158.10	6.31 6.30 6.32
