# NRows Mean     Lower    Upper   
   1690 1206.60  1136.46  1276.74 
   1700 1139.80  1096.76  1182.84 
   1710 1134.20  989.13   1279.27 
   1720 1177.00  1066.84  1287.16 
   1730 1135.20  1065.13  1205.27 
   1740 1193.40  1083.60  1303.20 
   1750 1142.20  1074.59  1209.81 
   1760 1171.40  1062.15  1280.65 
   1770 1161.20  1093.99  1228.41 
   1780 1186.20  1058.05  1314.35 
   1790 1206.00  1117.10  1294.90 
   1800 1306.40  1177.03  1435.77 
   1810 1271.40  1107.36  1435.44 
   1820 1267.00  1111.16  1422.84 
   1830 1290.00  1195.66  1384.34 
   1840 1300.60  1240.49  1360.71 
   1850 1243.00  1139.32  1346.68 
   1860 1140.80  1059.93  1221.67 
   1870 1268.80  1224.27  1313.33 
   1880 1351.20  1298.76  1403.64 
   1890 1261.40  1212.55  1310.25 
   1900 1168.40  1032.85  1303.95 
   1910 1159.60  991.80   1327.40 
   1920 1169.40  1121.74  1217.06 
   1930 1304.40  1185.96  1422.84 
   1940 1189.00  1114.37  1263.63 
   1950 1381.60  1150.02  1613.18 
   1960 1208.80  1171.92  1245.68 
   1970 1221.00  1031.67  1410.33 
   1980 1160.40  1000.98  1319.82 
   1990 1176.20  1130.45  1221.95 
   2000 1244.20  1129.78  1358.62 
   2010 1326.80  1151.34  1502.26 
   2020 1189.60  1128.08  1251.12 
   2030 1163.20  1058.53  1267.87 
   2040 1165.60  1035.29  1295.91 
   2050 1196.80  1105.30  1288.30 
   2060 1206.20  1087.34  1325.06 
   2070 1329.80  1128.79  1530.81 
   2080 1352.80  1295.30  1410.30 
   2090 1174.20  1012.76  1335.64 
WARNING! More run are needed to calculate a 0.950000 confidence interval of with 5 accuracy.
A total of 5 runs were executed but the ideal size is 164255303041132733136896.000000.
