# size forestoram lowbound highbound PathORAM lowbound highbound
10 29.89 29.81 29.97 98.71 98.45 98.96
12 42.33 42.29 42.36 126.79 126.17 127.41
14 55.51 55.36 55.66 157.70 157.27 158.14
16 69.48 69.39 69.58 186.41 185.62 187.21
