4	27.934	27.887	27.849	27.969	27.902
6	28.188	28.075	28.170	28.071	28.168
8	28.845	28.839	28.917	28.837	28.905
10	32.641	32.650	32.736	32.532	32.707
12	49.843	49.821	49.764	49.812	49.8191
14	128.841	128.761	128.582	128.504	128.509
16	486.686	486.659	486.397	486.773	487.450
